cod_mrc,an_profil,an_donnee,PRC1420,PRC1520,PRC1620,PRC2220,PRC2320,PRC2020,PFRAT0121,PFRAT0220,PRC3320,PRC3420,nom_mrc
AR011,2016,2016,0.7985,0.1379,0.0165,0.0472,131563,116489,93143,1.5316,2015,1784,Hors MRC - Les Iles de la Madeleine
AR020,2016,2016,0.8144,0.1383,0.0077,0.0397,100521,85329,81540,1.769,1781,1512,Le Rocher-Perce
AR030,2016,2016,0.8165,0.1274,0.0047,0.0514,148673,124388,117102,1.2499,1858,1554,La Cote-de-Gaspe
AR040,2016,2016,0.8303,0.1271,0.0124,0.0302,101951,87547,83864,1.7277,1787,1526,La Haute-Gaspesie
AR050,2016,2016,0.8014,0.1102,0.0325,0.0559,131409,112017,84439,1.3633,1793,1528,Bonaventure
AR060,2016,2016,0.8113,0.1078,0.0252,0.0557,138273,114069,96716,1.3391,1866,1539,Avignon
AR070,2016,2016,0.6229,0.2604,0.1012,0.0155,104284,85440,99024,1.4847,1575,1291,La Matapedia
AR080,2016,2016,0.7337,0.2013,0.049,0.016,135365,105737,136815,1.5337,2087,1630,La Matanie
AR090,2016,2016,0.7705,0.1046,0.097,0.0278,128037,104506,122772,1.4655,1890,1538,La Mitis
AR100,2016,2016,0.8217,0.1342,0.0255,0.0186,194734,145717,202675,1.1738,2356,1753,Rimouski-Neigette
AR110,2016,2016,0.7273,0.1015,0.1247,0.0464,110067,89809,96211,1.6631,1831,1494,Les Basques
AR120,2016,2016,0.7443,0.1682,0.0542,0.0332,171873,129367,177717,1.3368,2313,1741,Riviere-du-Loup
AR130,2016,2016,0.7058,0.117,0.108,0.0692,111609,91566,99286,1.5277,1710,1403,Temiscouata
AR140,2016,2016,0.6756,0.1247,0.1786,0.0211,138138,113451,134940,1.3657,1888,1550,Kamouraska
AR150,2016,2016,0.7519,0.2004,0.023,0.0247,152669,119366,140905,1.5055,2300,1799,Charlevoix-Est
AR160,2016,2016,0.6469,0.1747,0.0487,0.1296,218494,177193,169972,1.0817,2379,1929,Charlevoix
AR170,2016,2016,0.6776,0.1093,0.169,0.0441,119820,101382,104172,1.2605,1513,1280,L'Islet
AR180,2016,2016,0.6946,0.1205,0.1246,0.0603,151529,121270,143957,1.2966,1982,1582,Montmagny
