cod_ra,an_profil,an_donnee,PRC1470,PRC1570,PRC1670,PRC2270,PRC2370,PRC2070,PFRAT0171,PFRAT0270,PRC3370,PRC3470,desc_ra
RAD01,2016,2016,0.7492,0.1501,0.0731,0.0276,150242,117741,144948,1.3622,2069,1619,Bas-Saint-Laurent
RAD02,2016,2016,0.7678,0.1752,0.0311,0.026,181797,135508,202107,1.2442,2271,1692,Saguenay--Lac-Saint-Jean
RAD03,2016,2016,0.7946,0.1662,0.0123,0.027,271885,196831,338259,1.1063,3051,2209,Capitale-Nationale
RAD04,2016,2016,0.7665,0.1532,0.0495,0.0308,156939,112388,164814,1.4816,2343,1678,Mauricie
RAD05,2016,2016,0.7528,0.1398,0.0687,0.0387,211591,151636,232608,1.0352,2227,1595,Estrie
RAD06,2016,2016,0.7984,0.1922,0.0001,0.0093,418185,224186,585195,0.9017,3844,2061,Montréal
RAD07,2016,2016,0.8172,0.1285,0.0178,0.0366,241626,195070,250300,1.0942,2604,2101,Outaouais
RAD08,2016,2016,0.7866,0.1674,0.0268,0.0192,180851,134413,160400,1.2365,2259,1677,Abitibi-Témiscamingue
RAD09,2016,2016,0.674,0.3117,0.003,0.0114,165106,125680,202359,1.3686,2265,1724,Côte-Nord
RAD10,2016,2016,0.6912,0.2949,0.0018,0.0121,140460,103024,190895,1.569,2323,1704,Nord-du-Québec
RAD11,2016,2016,0.811,0.1241,0.0167,0.0482,125630,106747,92849,1.4628,1846,1567,Gaspésie--Îles-de-la-Madeleine
RAD12,2016,2016,0.7262,0.1419,0.1013,0.0306,195188,159588,198039,1.0982,2166,1771,Chaudière-Appalaches
RAD13,2016,2016,0.8228,0.1492,0.0032,0.0248,319708,252328,389201,1.0356,3129,2470,Laval
RAD14,2016,2016,0.8172,0.1067,0.0441,0.032,231057,197535,223110,1.0696,2494,2132,Lanaudière
RAD15,2016,2016,0.8096,0.121,0.0207,0.0487,258515,210616,231860,0.9379,2464,2007,Laurentides
RAD16,2016,2016,0.7812,0.1276,0.0701,0.0211,276545,218052,310918,0.9434,2633,2076,Montérégie
RAD17,2016,2016,0.6416,0.181,0.1496,0.0277,165633,128945,201924,1.1262,1893,1472,Centre-du-Québec
