cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC3200,PRC3202,PRC3201,PRC3203,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC0200,PRC3900,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population
02005,2016,2015,234872024.14,0,6298138,0,3861833,0,6164328,0,2860378,0,1001455,0,0,0,472179,0,1158074,0,6041344,0,5930801,0,0,0,0,1330626,29302260,9336340,340363,0,0,0,0,0,0,0,0.0257,0,1712,0,0,0,1175,0,0,0,0.6265,0.464,0.1625,0.0766,0.1879,0.1091,0.0552,0.6586,0.0085,0.0253,0,0,1681,0,0,0,0.2126,0.3186,Perce,2 000 @ 9 999,V,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,3206
02010,2016,2015,54901273,0,1582909,0,1018863,0,1509763,0,515642,0,503221,0,18487,0,21302,0,373763,0,1532090,0,245692,0,0,0,0,112359,4387905,238584,401282,0,0,0,0,0,0,0,0.0276,0,2117,0,0,0,1492,0,0,0,0.6748,0.3415,0.3333,0.0141,0.2476,0.0635,0.2658,0.4634,0.0124,0.0045,0,0,344,0,0,0,0.0809,0.0544,Sainte-Therese-de-Gaspe,1 @ 1 999,M,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,1059
02015,2016,2015,182242809.95,0,5948796,0,3117494,0,5665371,0,2111753,0,1005741,0,117753,0,410243,0,1827327,0,5031348,0,5501673,0,0,0,0,1666429,42215129,12983902,1104790,0,0,0,0,0,0,0,0.027,0,2406,0,0,0,1599,0,0,0,0.5503,0.3727,0.1775,0.0724,0.3225,0.0548,0.195,0.6551,0.013,0.0302,0,0,2694,0,0,0,0.312,0.3076,Grande-Riviere,2 000 @ 9 999,V,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,3406
02028,2016,2015,447083481.23,0,15656250,0,7243686,0,14302761,0,4776838,0,2466848,0,146636,0,637292,0,2260710,0,16619512,0,7939308,0,0,0,0,2405968,110665246,16457530,1869969,0,0,0,0,0,0,0,0.0368,0,3492,0,0,0,1652,0,0,0,0.5065,0.334,0.1725,0.0446,0.1581,0.2909,0.1307,0.59,0.0014,0.0178,0,0,1683,0,0,0,0.1699,0.1487,Chandler,2 000 @ 9 999,V,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,7506
02047,2016,2015,111422005.32,0,3114024,0,1561659,0,2842706,0,987495,0,574164,0,0,0,56516,0,925881,0,3214303,0,725057,0,0,0,0,576038,13432736,1193380,425939,0,0,0,0,0,0,0,0.0288,0,1351,0,0,0,698,0,0,0,0.5494,0.3474,0.202,0.0199,0.3257,0.1051,0.1498,0.5129,0.0141,0.0065,0,0,305,0,0,0,0.1811,0.0888,Port-Daniel--Gascons,2 000 @ 9 999,M,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,2410
03005,2016,2015,1282087447,0,27221594,0,16008928,0,25604481,0,11452145,0,4556783,0,1364285,0,1969308,0,1810136,0,27685823,0,42126984,0,0,0,0,5629824,147464284,52408035,6577167,0,0,0,0,0,0,0,0.0205,0,2400,0,0,0,1618,0,0,0,0.6252,0.4473,0.178,0.0769,0.0707,0.2272,0.2569,0.6419,0.0293,0.0329,0,0,3841,0,0,0,0.2217,0.3554,Gaspe,10 000 @ 24 999,V,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,15071
03010,2016,2015,34784605.575,0,3575764,0,633277,0,2179080,0,335893,0,297384,0,37603,0,5885,0,451757,0,2003153,0,3484134,0,0,0,0,1003270,25620311,10754199,1777076,0,0,0,0,0,0,0,0.0565,0,2082,0,0,0,758,0,0,0,0.2906,0.1541,0.1365,0.0027,0.2073,0.4994,0.8155,0.7754,0.0146,0.1002,0,0,3691,0,0,0,0.4763,0.4198,Cloridorme,1 @ 1 999,CT,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,709
03015,2016,2015,11298198,0,334402,0,190087,0,305489,0,125198,0,64889,0,0,0,4207,0,66938,0,397292,0,0,0,0,0,0,13044,1507815,0,111312,0,0,0,0,0,0,0,0.0352,0,1219,0,0,0,658,0,0,0,0.6222,0.4098,0.2124,0.0138,0.2191,0.1449,0.3644,0.5892,0.0251,0,0,0,0,0,0,0,0.0395,0,Petite-Vallee,1 @ 1 999,M,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,171
03020,2016,2015,77958547.786,0,2133301,0,1072673,0,1730635,0,545269,0,527404,0,16090,0,99030,0,334023,0,2021265,0,791265,0,0,0,0,327121,10976721,1221356,517830,0,0,0,0,0,0,0,0.0257,0,2191,0,0,0,1283,0,0,0,0.6198,0.3151,0.3047,0.0572,0.193,0.13,0.2992,0.5745,0.0254,0.0101,0,0,865,0,0,0,0.1879,0.1113,Grande-Vallee,1 @ 1 999,M,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,1105
03025,2016,2015,18395441.658,0,1859314,0,818770,0,1839443,0,643043,0,175727,0,1148,0,65986,0,567827,0,2095137,0,68200,0,0,0,0,1728,4265568,0,273060,0,0,0,0,0,0,0,0.1138,0,2796,0,0,0,1602,0,0,0,0.4451,0.3496,0.0955,0.0359,0.3087,0.2103,0.1484,0.291,0.0136,0.0037,0,0,91,0,0,0,0.001,0,Murdochville,1 @ 1 999,V,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,703
