cod_classe_pop,an_profil,an_donnee,PRC1410,PRC1510,PRC1610,PRC2210,PRC2310,PRC2010,PFRAT0111,PFRAT0210,PRC3310,PRC3410,desc_classe_pop
CP01,2016,2016,0.6612,0.0802,0.205,0.0536,160340,141698,139926,0.9728,1571,1389,1 @ 1 999
CP02,2016,2016,0.7572,0.1194,0.0848,0.0386,219460,180476,201182,1.0168,2253,1855,2 000 @ 9 999
CP03,2016,2016,0.8311,0.1287,0.0164,0.0238,298622,236423,294515,1.0187,3064,2426,10 000 @ 24 999
CP04,2016,2016,0.7977,0.1676,0.0138,0.0209,262750,198595,308917,1.0455,2777,2099,25 000 @ 99 999
CP05,2016,2016,0.8013,0.181,0.0022,0.0155,299992,197300,429789,1.0137,3064,2015,100 000 et plus
