an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003
2019,2019,AG010,Îles-de-la-Madeleine,AG,12832,10 000 @ 24 999,,,11,Gaspésie--Îles-de-la-Madeleine,,,,1020023191.000000,,937232700.000000,,749097100.000000,,131177800.000000,,12870900.000000,,44086900.000000,,0.799300,,0.140000,,0.013700,,0.047000,,,0.000000,93460.000000,0.000000,,10914.000000
2019,2019,AG230,Québec,AG,579420,100 000 et plus,,,03,Capitale-Nationale,,,,79060736326.590000,,72949020440.000000,,57198413398.000000,,14195616502.000000,,265148500.000000,,1289842040.000000,,0.784100,,0.194600,,0.003600,,0.017700,,,0.000000,433169.000000,0.000000,,182517.000000
2019,2019,AG410,Cookshire-Eaton,AG,6197,2 000 @ 9 999,,,05,Estrie,,,,652641126.985000,,645977796.000000,,322201992.000000,,168627348.000000,,150491917.000000,,4656539.000000,,0.498800,,0.261000,,0.233000,,0.007200,,,0.000000,186256.000000,0.000000,,3504.000000
2019,2019,AG582,Longueuil,AG,426379,100 000 et plus,,,16,Montérégie,,,,59305470306.500000,,57707381550.000000,,47663834150.000000,,9087100000.000000,,115935500.000000,,840511900.000000,,0.826000,,0.157500,,0.002000,,0.014600,,,0.000000,426996.000000,0.000000,,138890.000000
2019,2019,AG660,Montréal,AG,1999883,100 000 et plus,,,06,Montréal,,,,321210133083.372000,,300120705107.600000,,239622804451.680000,,57750322847.360000,,24275264.000000,,2723302544.560000,,0.798400,,0.192400,,0.000100,,0.009100,,,0.000000,627947.000000,0.000000,,511524.000000
2019,2019,AG770,Sainte-Marguerite--Estérel,AG,3186,2 000 @ 9 999,,,15,Laurentides,,,,958162676.120000,,956601458.000000,,775437928.000000,,89544872.000000,,836451.000000,,90782207.000000,,0.810600,,0.093600,,0.000900,,0.094900,,,0.000000,172860.000000,0.000000,,5543.000000
2019,2019,AG780,Sainte-Agathe-des-Monts,AG,11026,10 000 @ 24 999,,,15,Laurentides,,,,1932715963.500000,,1858619900.000000,,1473027900.000000,,258514100.000000,,662400.000000,,126415500.000000,,0.792500,,0.139100,,0.000400,,0.068000,,,0.000000,202188.000000,0.000000,,9559.000000
2019,2019,AG781,Mont-Tremblant,AG,10052,10 000 @ 24 999,,,15,Laurentides,,,,4182263108.040000,,4148352082.000000,,2602058426.000000,,1127460944.000000,,21569516.000000,,397263196.000000,,0.627300,,0.271800,,0.005200,,0.095800,,,0.000000,335305.000000,0.000000,,12473.000000
2019,2019,AG790,Mont-Laurier,AG,14983,10 000 @ 24 999,,,15,Laurentides,,,,1535031063.000000,,1425819900.000000,,999966200.000000,,314869200.000000,,38502100.000000,,72482400.000000,,0.701300,,0.220800,,0.027000,,0.050800,,,0.000000,191186.000000,0.000000,,8029.000000
2019,2019,AG791,Rivière-Rouge,AG,5533,2 000 @ 9 999,,,15,Laurentides,,,,755015197.495000,,691298338.000000,,572072787.000000,,44805822.000000,,9344823.000000,,65074906.000000,,0.827500,,0.064800,,0.013500,,0.094100,,,0.000000,139045.000000,0.000000,,5430.000000
