an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,RF31010101,RF01010104,RF31010102,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_8978,POSTE_8958,POSTE_4669,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401
2020,2019,01042,Grosse-Ile,M,465,1 @ 1 999,AR011,Hors MRC - Les Iles de la Madeleine,11,Gaspesie--Iles-de-la-Madeleine,,,30672368.500000,,825967.000000,,530346.000000,,822738.000000,,530346.000000,,0.000000,,,,29063.000000,,182895.000000,,855032.000000,,228730.000000,,,228730.000000,321200.000000,3022414.000000,488600.000000,247014.000000,,,,,,,,0.027900,0.043000,1503.000000,816.000000,2319.000000,,3167.000000,1719.000000,4886.000000,1056.000000,450.000000,1506.000000,,1964.000000,837.000000,2801.000000,0.644600,0.644600,0.000000,0.035300,0.222300,0.097800,0.300200,0.602600,0.003700,0.007500,,0.014100,402.000000,354.000000,756.000000,,847.000000,745.000000,1592.000000,0.309200,0.161700,1.337000,1.971700,1047.000000,498.000000,1545.000000,180.000000,254.000000
2020,2019,02005,Perce,V,3041,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,231715703.575000,,8061054.000000,,4614357.000000,,7123274.000000,,3582343.000000,,1032014.000000,,,,486062.000000,,983263.000000,,7123931.000000,,5154406.000000,,,5154406.000000,1639792.000000,56747089.000000,9679298.000000,1372583.000000,,,,,,,,0.030700,,1986.000000,,,,3138.000000,,,1394.000000,,,,2033.000000,,,0.647800,0.502900,0.144900,0.068200,0.138000,0.145900,0.192700,0.748500,0.042800,0.022200,,,1437.000000,,,,2271.000000,,,0.223900,0.170600,1.914500,,1688.000000,,,183.000000,212.000000
2020,2019,02010,Sainte-Therese-de-Gaspe,M,1012,1 @ 1 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,58428638.500000,,1491613.000000,,1007095.000000,,1491613.000000,,581320.000000,,425775.000000,,16201.000000,,15884.000000,,350339.000000,,1604223.000000,,544495.000000,,,544495.000000,149250.000000,6076964.000000,1230108.000000,461478.000000,,,,,,,,0.027200,,2224.000000,,,,2826.000000,,,1492.000000,,,,1792.000000,,,0.675200,0.389700,0.285400,0.010600,0.234900,0.079300,0.309400,0.471800,0.056200,0.009300,,,763.000000,,,,969.000000,,,0.104300,0.202400,1.708100,,1576.000000,,,156.000000,160.000000
2020,2019,02015,Grande-Riviere,V,3444,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,207862210.500000,,5503270.000000,,3505670.000000,,5429440.000000,,2541205.000000,,964465.000000,,191699.000000,,458428.000000,,983470.000000,,5625106.000000,,5703049.000000,,,5703049.000000,1694342.000000,41125630.000000,10010678.000000,300191.000000,,,,,,,,0.026100,,2624.000000,,,,2848.000000,,,1781.000000,,,,1837.000000,,,0.645700,0.468000,0.177600,0.084400,0.181100,0.088800,0.055300,0.624900,0.028400,0.027400,,,2754.000000,,,,2989.000000,,,0.285900,0.243400,1.794600,,1620.000000,,,172.000000,181.000000
2020,2019,02028,Chandler,V,7478,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,487886392.000000,,11742947.000000,,7527037.000000,,11608205.000000,,5146084.000000,,2380953.000000,,170584.000000,,614491.000000,,1665272.000000,,14339386.000000,,14543740.000000,,,14543740.000000,2238489.000000,101110952.000000,15511852.000000,1432385.000000,,,,,,,,0.029000,,2961.000000,,,,3369.000000,,,1701.000000,,,,1790.000000,,,0.648400,0.443300,0.205100,0.052900,0.143500,0.155200,0.123400,0.521900,0.029500,0.029800,,,3039.000000,,,,3458.000000,,,0.189300,0.153400,1.559800,,1502.000000,,,149.000000,201.000000
2020,2019,02047,Port-Daniel--Gascons,M,2244,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,224558025.640000,,4666067.000000,,3407275.000000,,4637368.000000,,2896356.000000,,510919.000000,,,,38900.000000,,832344.000000,,4744414.000000,,6616140.000000,,,6616140.000000,330994.000000,23236666.000000,4215500.000000,1415938.000000,,,,,,,,0.021100,,2019.000000,,,,3389.000000,,,1531.000000,,,,2434.000000,,,0.734700,0.624600,0.110200,0.008400,0.179500,0.077400,0.305300,0.577900,0.172500,0.029500,,,2815.000000,,,,4726.000000,,,0.078400,0.181400,0.713700,,908.000000,,,68.000000,146.000000
2020,2019,03005,Gaspe,V,14793,10 000 @ 24 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,1381185510.500000,,35088808.000000,,18631896.000000,,29635516.000000,,13911326.000000,,4720570.000000,,,,2428356.000000,,1854246.000000,,32631583.000000,,47950040.000000,,,47950040.000000,7438764.000000,161146370.000000,57427249.000000,9568416.000000,,,,,,,,0.023600,,2937.000000,,,,3885.000000,,,1872.000000,,,,2218.000000,,,0.628700,0.469400,0.159300,0.081900,0.062600,0.226800,0.322900,0.590300,0.029800,0.034700,,,4316.000000,,,,5709.000000,,,0.231300,0.356400,1.257500,,1705.000000,,,115.000000,158.000000
2020,2019,03010,Cloridorme,CT,660,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,34568083.900000,,1459366.000000,,712553.000000,,1450403.000000,,361165.000000,,351388.000000,,66258.000000,,40773.000000,,526912.000000,,1612602.000000,,2735029.000000,,,2735029.000000,1419010.000000,17889391.000000,5835489.000000,169789.000000,,,,,,,,0.044700,,1661.000000,,,,3235.000000,,,865.000000,,,,1491.000000,,,0.491300,0.249000,0.242300,0.028100,0.363300,0.117300,0.117100,0.702400,0.000800,0.079100,,,2938.000000,,,,5722.000000,,,0.597500,0.326200,2.104300,,1485.000000,,,192.000000,264.000000
2020,2019,03015,Petite-Vallee,M,165,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,11726908.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2020,2019,03020,Grande-Vallee,M,1082,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,83055942.565000,,2650524.000000,,1129459.000000,,2623700.000000,,613148.000000,,516311.000000,,16374.000000,,104862.000000,,418461.000000,,3029266.000000,,1360134.000000,,,1360134.000000,456376.000000,11573870.000000,1826954.000000,213582.000000,,,,,,,,0.036300,,3257.000000,,,,4329.000000,,,1340.000000,,,,1623.000000,,,0.430500,0.233700,0.196800,0.040000,0.159500,0.370100,0.081400,0.502800,0.010000,0.016400,,,1470.000000,,,,1954.000000,,,0.164500,0.157900,1.405800,,1509.000000,,,128.000000,214.000000
