an_profil,an_donnee,cod_cp,desc_cp,PRC1410,PRC1510,PRC1610,PRC2210,PRC2310,PRC2010,PFRAT0111
2023,2023,CP01,1 @ 1 999,0.627900,0.082300,0.240600,0.049200,224062.000000,206433.000000,210064.000000
2023,2023,CP02,2 000 @ 9 999,0.733400,0.108100,0.123100,0.035400,312747.000000,255656.000000,300633.000000
2023,2023,CP03,10 000 @ 24 999,0.825000,0.130600,0.020100,0.024300,465487.000000,363868.000000,471014.000000
2023,2023,CP04,25 000 @ 99 999,0.811100,0.153600,0.017500,0.017800,409034.000000,311122.000000,494050.000000
2023,2023,CP05,100 000 et plus,0.815000,0.167100,0.003200,0.014700,433182.000000,298674.000000,667509.000000
