an_profil,an_donnee,cod_ra,desc_ra,PRC1470,PRC1570,PRC1670,PRC2270,PRC2370,PRC2070,PFRAT0171
2023,2023,RAD01,Bas-Saint-Laurent,0.734300,0.161600,0.081400,0.022700,188104.000000,147889.000000,191992.000000
2023,2023,RAD02,Saguenay--Lac-Saint-Jean,0.758000,0.177800,0.041000,0.023200,209134.000000,156604.000000,243732.000000
2023,2023,RAD03,Capitale-Nationale,0.792800,0.170800,0.013500,0.022800,315616.000000,234296.000000,428075.000000
2023,2023,RAD04,Mauricie,0.760900,0.151300,0.058500,0.029200,212979.000000,152947.000000,235470.000000
2023,2023,RAD05,Estrie,0.756700,0.119300,0.087300,0.036800,329746.000000,254212.000000,379631.000000
2023,2023,RAD06,Montréal,0.820000,0.169300,0.000100,0.010600,658013.000000,373976.000000,993387.000000
2023,2023,RAD07,Outaouais,0.813000,0.133600,0.019900,0.033600,371551.000000,297954.000000,403613.000000
2023,2023,RAD08,Abitibi-Témiscamingue,0.784600,0.167300,0.030200,0.017900,246840.000000,180672.000000,229066.000000
2023,2023,RAD09,Côte-Nord,0.669800,0.314800,0.003400,0.012000,172283.000000,127265.000000,220057.000000
2023,2023,RAD10,Nord-du-Québec,0.660400,0.327700,0.003900,0.008100,167485.000000,120575.000000,211439.000000
2023,2023,RAD11,Gaspésie--Îles-de-la-Madeleine,0.787600,0.154800,0.014500,0.043100,169161.000000,140066.000000,133156.000000
2023,2023,RAD12,Chaudière-Appalaches,0.710000,0.151100,0.106000,0.032900,235968.000000,193046.000000,261025.000000
2023,2023,RAD13,Laval,0.826200,0.149800,0.003900,0.020200,490124.000000,390165.000000,622899.000000
2023,2023,RAD14,Lanaudière,0.812000,0.099900,0.059400,0.028700,360840.000000,302163.000000,361560.000000
2023,2023,RAD15,Laurentides,0.816600,0.118600,0.023800,0.041000,406401.000000,329891.000000,380988.000000
2023,2023,RAD16,Montégie,0.776800,0.118400,0.087300,0.017500,448726.000000,355160.000000,537017.000000
2023,2023,RAD17,Centre-du-Québec,0.606500,0.170400,0.198200,0.024900,236854.000000,185812.000000,320544.000000
