"Nom","Prénom","Parti","Nom-Co","Prénom-Co","Titre ","Poste no"
"BERGERON","Richard","Projet Montréal - Équipe Bergeron",,,,"0"
"BLAIS","Claude","Indépendant",,,,"0"
"BRÛLÉ","Michel","Intégrité Montréal",,,,"0"
"CODERRE","Denis","Équipe Denis Coderre pour Montréal",,,,"0"
"CÔTÉ","Marcel","Coalition Montréal - Marcel Côté",,,,"0"
"HAMIDA","Louai","Indépendant",,,,"0"
"JOLY","Mélanie","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"0"
"MATONDOT","Paunel Paterne","Indépendant",,,,"0"
"SAURIOL","Clément","Indépendant",,,,"0"
"SONOKPON","Kofi","Indépendant",,,,"0"
"TULASNE","Patricia","Indépendant",,,,"0"
"YOUNG","Joseph","Indépendant",,,,"0"
"ALLARD","Claude","Intégrité Montréal",,,,"1"
"BASTIEN","Pierre","Projet Montréal - Équipe Bergeron",,,,"1"
"BELLELI","Hasmig","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"1"
"BRUNET","Etienne","Coalition Montréal - Marcel Côté",,,,"1"
"GAGNIER","Pierre","Équipe Denis Coderre pour Montréal",,,,"1"
"GRONDIN","Dominique","Indépendant",,,,"1.1"
"HOTTE","Nathalie","Équipe Denis Coderre pour Montréal",,,,"1.1"
"LEGENDRE","Sophie-Anne","Projet Montréal - Équipe Bergeron",,,,"1.1"
"LEMIEUX","Mario","Intégrité Montréal",,,,"1.1"
"MOLYNEUX","Louis-Gilles","Coalition Montréal - Marcel Côté",,,,"1.1"
"NYANGONO","Nathalie","Indépendant",,,,"1.1"
"PAGÉ","Lorraine","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"1.1"
"BAZINET","Martin","Projet Montréal - Équipe Bergeron",,,,"1.2"
"DESROCHERS","Pierre","Équipe Denis Coderre pour Montréal",,,,"1.2"
"LAPOINTE","Jean-Jacques","Coalition Montréal - Marcel Côté",,,,"1.2"
"RAINVILLE","Martin Félip","Intégrité Montréal",,,,"1.2"
"DUCHARME","Julie","Intégrité Montréal",,,,"1.3"
