Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
RIVERA,Julio,Projet Montréal - Équipe Valérie Plante,,,,14.11
LAMONTAGNE,Julie,Projet Montréal - Équipe Valérie Plante,,,,14.20
SALEM,Aref,Équipe Denis Coderre pour Montréal,,,,14.20
BIRON,Michèle D.,Équipe Denis Coderre pour Montréal,,,,14.21
BITAR,Elias,Vrai changement pour Montréal,,,,14.21
GONDAL,Jamil Ahmad,Indépendant,,,,14.21
HAKIM,Rafik,Projet Montréal - Équipe Valérie Plante,,,,14.21
BISSONNET,Michel,Équipe Denis Coderre pour Montréal,,,,15.00
CARON,Julie,Projet Montréal - Équipe Valérie Plante,,,,15.00
DI PAOLA,Tommaso,Indépendant,,,,15.00
EL KORBI,Arij-Abrar,Projet Montréal - Équipe Valérie Plante,,,,15.10
LATTANZIO,Patricia R.,Équipe Denis Coderre pour Montréal,,,,15.10
CAPUANO,Giovanni,Projet Montréal - Équipe Valérie Plante,,,,15.11
TREMBLAY,Lili-Anne,Équipe Denis Coderre pour Montréal,,,,15.11
FREJ,Oualid,Projet Montréal - Équipe Valérie Plante,,,,15.20
PERRI,Dominic,Équipe Denis Coderre pour Montréal,,,,15.20
ALDONZAR,Nickenson,Indépendant,,,,15.21
BATTISTA,Mario,Équipe Denis Coderre pour Montréal,,,,15.21
DRUELLE,Anick,Projet Montréal - Équipe Valérie Plante,,,,15.21
DORAIS,Benoit,Projet Montréal - Équipe Valérie Plante,,,,16.00
MÉRINEAU,Denise,Équipe Denis Coderre pour Montréal,,,,16.00
DOYLE,Daniel,Équipe Denis Coderre pour Montréal,,,,16.10
SAUVÉ,Craig,Projet Montréal - Équipe Valérie Plante,,,,16.10
TANOLI,Taimur,Coalition Montréal,,,,16.10
TSUKALAS,Thomas,Indépendant,,,,16.10
PICHER,Nicole,Équipe Denis Coderre pour Montréal,,,,16.11
THIÉBAUT,Sophie,Projet Montréal - Équipe Valérie Plante,,,,16.11
AUDETTE,Marc-Antoine,Équipe Denis Coderre pour Montréal,,,,16.20
SIGOUIN,Anne-Marie,Projet Montréal - Équipe Valérie Plante,,,,16.20
OUAMABIA,Claudia Olga,Équipe Denis Coderre pour Montréal,,,,16.21
VAILLANCOURT,Alain,Projet Montréal - Équipe Valérie Plante,,,,16.21
CHAPPAZ,Michèle,Projet Montréal - Équipe Valérie Plante,,,,17.00
PARENTEAU,Jean-François,Équipe Denis Coderre pour Montréal,,,,17.00
PARENT,Marie-Josée,Équipe Denis Coderre pour Montréal,,,,17.10
PEDRO,Nathalie,Projet Montréal - Équipe Valérie Plante,,,,17.10
BOIVIN,Jean-Pierre,Projet Montréal - Équipe Valérie Plante,,,,17.11
L'HEUREUX,Pierre,Équipe Denis Coderre pour Montréal,,,,17.11
BÉGIN,Gabriel,Projet Montréal - Équipe Valérie Plante,,,,17.12
TREMBLAY,Véronique,Équipe Denis Coderre pour Montréal,,,,17.12
BRUNET,Marie-Eve,Équipe Denis Coderre pour Montréal,,,,17.20
DOWNEY,Sterling,Projet Montréal - Équipe Valérie Plante,,,,17.20
GAGNON,Luc,Projet Montréal - Équipe Valérie Plante,,,,17.21
GUY,Ann,Équipe Denis Coderre pour Montréal,,,,17.21
ARIAL,Tracey,Équipe Denis Coderre pour Montréal,,,,17.22
MAUGER,Marie-Andrée,Projet Montréal - Équipe Valérie Plante,,,,17.22
FORTIER,Jean,Coalition Montréal,SYMON,K. John,Colistier,18.10
KILANI,Liyousa,Indépendant,,,,18.10
SHANAHAN,Steve,Vrai changement pour Montréal,,,,18.10
SHARIFIAN,Jabiz,Projet Montréal - Équipe Valérie Plante,,,,18.10
WONG,Cathy,Équipe Denis Coderre pour Montréal,,,,18.10
BEAUDRY,Robert,Projet Montréal - Équipe Valérie Plante,,,,18.20
BERGERON,Richard,Équipe Denis Coderre pour Montréal,,,,18.20
GAUDREAU,Daniel,Vrai changement pour Montréal,,,,18.20
MAINVILLE,Pierre,Équipe Denis Coderre pour Montréal,,,,18.30
PLANTE,Valérie,Projet Montréal - Équipe Valérie Plante,MAUZEROLLE,Sophie,Colistière,18.30
URBANOWICZ,Artur Adam,Vrai changement pour Montréal,,,,18.30
FUMAGALLI,Giuliana,Projet Montréal - Équipe Valérie Plante,,,,19.00
SAMSON,Anie,Équipe Denis Coderre pour Montréal,,,,19.00
ALRABI,Rana,Projet Montréal - Équipe Valérie Plante,,,,19.10
BENJAMIN,Frantz,Équipe Denis Coderre pour Montréal,,,,19.10
