Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
BERNARDO,Beverly,Indépendant,,,,0.00
CODERRE,Denis,Ensemble Montréal - Équipe Denis Coderre,,,,0.00
DUVAL,Jean,Indépendant,,,,0.00
HOLNESS,Balarama,Mouvement Montréal,,,,0.00
HU,Fang,Indépendant,,,,0.00
JULES,Widler,Indépendant,,,,0.00
MÉNARD,Luc,Montréal 2021,,,,0.00
MOURKES,Dimitri,Indépendant,,,,0.00
PLANTE,Valérie,Projet Montréal - Équipe Valérie Plante,,,,0.00
THIBODEAU,Gilbert,Action Montréal - Équipe Gilbert Thibodeau,,,,0.00
CHÉRY THÉODAT,Kassandre,Mouvement Montréal,,,,1.00
HUOT,Chantal,Ensemble Montréal - Équipe Denis Coderre,,,,1.00
THUILLIER,Émilie,Projet Montréal - Équipe Valérie Plante,,,,1.00
COLELLA,Gaetana,Ensemble Montréal - Équipe Denis Coderre,,,,1.10
NORMAND,Jérôme,Projet Montréal - Équipe Valérie Plante,,,,1.10
TOMARAS,Dimitrios,Mouvement Montréal,,,,1.10
MCCARTY,Briana,Mouvement Montréal,,,,1.20
PARIZEAU,Hadrien,Ensemble Montréal - Équipe Denis Coderre,,,,1.20
ROY,Julie,Projet Montréal - Équipe Valérie Plante,,,,1.20
GOULET,Nathalie,Projet Montréal - Équipe Valérie Plante,,,,1.30
LESSARD,Eric,Action Montréal - Équipe Gilbert Thibodeau,,,,1.30
NORMANDIN,Yves,Ensemble Montréal - Équipe Denis Coderre,,,,1.30
ATIE,Rana,Indépendant,,,,1.40
GIANNOU,Effie,Ensemble Montréal - Équipe Denis Coderre,,,,1.40
KABONGO,Anne-Marie,Projet Montréal - Équipe Valérie Plante,,,,1.40
PROPHÈTE,Jean David,Mouvement Montréal,,,,1.40
BEIS,Dimitrios (Jim),Ensemble Montréal - Équipe Denis Coderre,,,,10.00
CRUZ-GUTIERREZ,Patricio,Projet Montréal - Équipe Valérie Plante,,,,10.00
SOHAIL,Nadeem,Mouvement Montréal,,,,10.00
LANGEVIN,Benoit,Ensemble Montréal - Équipe Denis Coderre,,,,10.10
LIAMINI,Mokhtar,Projet Montréal - Équipe Valérie Plante,,,,10.10
PATERSON,Nic,Mouvement Montréal,,,,10.10
BÉLANGER,Matthieu,Projet Montréal - Équipe Valérie Plante,,,,10.11
LEROUX,Louise,Ensemble Montréal - Équipe Denis Coderre,,,,10.11
MALIK,Ahmed,Mouvement Montréal,,,,10.11
CAZAC,Irina,Projet Montréal - Équipe Valérie Plante,,,,10.20
CLÉMENT-TALBOT,Catherine,Ensemble Montréal - Équipe Denis Coderre,,,,10.20
LANNI,Marilyn,Mouvement Montréal,,,,10.20
PEREZ,Mirian,Projet Montréal - Équipe Valérie Plante,,,,10.21
TARAKJIAN,Chahi (Sharkie),Ensemble Montréal - Équipe Denis Coderre,,,,10.21
TARIQ,Nayab,Mouvement Montréal,,,,10.21
KARABAJAK,Shant,Ensemble Montréal - Équipe Denis Coderre,,,,11.00
RABOUIN,Luc,Projet Montréal - Équipe Valérie Plante,,,,11.00
VAZQUEZ,Daniel,Mouvement Montréal,,,,11.00
BERNIER-EMOND,Mélissa,Ensemble Montréal - Équipe Denis Coderre,,,,11.10
PLOURDE,Marie,Projet Montréal - Équipe Valérie Plante,,,,11.10
ZAEZJEV,Alexandre,Mouvement Montréal,,,,11.10
BOLDUC,Maggie,Mouvement Montréal,,,,11.11
ROULEAU,Benoit,Ensemble Montréal - Équipe Denis Coderre,,,,11.11
STERLIN,Marie,Projet Montréal - Équipe Valérie Plante,,,,11.11
CÔTÉ-TURCOTTE,Juliette,Indépendant,,,,11.20
GIGUÈRE,Marianne,Projet Montréal - Équipe Valérie Plante,,,,11.20
KOWALSKI,Olivia,Ensemble Montréal - Équipe Denis Coderre,,,,11.20
PARENT,Laurence,Projet Montréal - Équipe Valérie Plante,,,,11.21
VALLÉE,Hugo,Ensemble Montréal - Équipe Denis Coderre,,,,11.21
NORRIS,Alex,Projet Montréal - Équipe Valérie Plante,,,,11.30
ORÉ,Martin,Ensemble Montréal - Équipe Denis Coderre,,,,11.30
SANOGO,Bougadari,Action Montréal - Équipe Gilbert Thibodeau,,,,11.30
TESSIER,John,Mouvement Montréal,,,,11.30
LESSARD,Rebecca,Mouvement Montréal,,,,11.31
SZARAZ,Jean-Pierre,Ensemble Montréal - Équipe Denis Coderre,,,,11.31
VILAIN,Maeva,Projet Montréal - Équipe Valérie Plante,,,,11.31
BOURGEOIS,Caroline,Projet Montréal - Équipe Valérie Plante,,,,12.00
LAPERRIÈRE,Lyne,Ensemble Montréal - Équipe Denis Coderre,,,,12.00
SOUNAN,Charles,Mouvement Montréal,,,,12.00
CHRISTENSEN,Lisa,Projet Montréal - Équipe Valérie Plante,,,,12.10
GIRARD,Vincent,Ensemble Montréal - Équipe Denis Coderre,,,,12.10
SAADE,Paulo,Mouvement Montréal,,,,12.10
CHANDONNET,Louis,Action Montréal - Équipe Gilbert Thibodeau,,,,12.11
COLIN,Daphney,Projet Montréal - Équipe Valérie Plante,,,,12.11
LALIBERTÉ,Patrick,Ensemble Montréal - Équipe Denis Coderre,,,,12.11
JOURNEAU,Virginie,Projet Montréal - Équipe Valérie Plante,,,,12.20
MORRIS,Glenda,Ensemble Montréal - Équipe Denis Coderre,,,,12.20
BARIL,Marie-Claude,Projet Montréal - Équipe Valérie Plante,,,,12.21
MCSWEEN,Daniel,Ensemble Montréal - Équipe Denis Coderre,,,,12.21
DURANDISSE,Henri-Robert,Projet Montréal - Équipe Valérie Plante,,,,12.30
MICHEL,Marie-Carmel,Action Montréal - Équipe Gilbert Thibodeau,,,,12.30
RAPANÀ,Giovanni,Ensemble Montréal - Équipe Denis Coderre,,,,12.30
PAGLIA,Joseph,Projet Montréal - Équipe Valérie Plante,,,,12.31
PIERRE-ANTOINE,Nathalie,Ensemble Montréal - Équipe Denis Coderre,,,,12.31
GRONDIN,Gilles,Ensemble Montréal - Équipe Denis Coderre,,,,13.00
LIMOGES,François,Projet Montréal - Équipe Valérie Plante,,,,13.00
BLANCO,Josefina,Projet Montréal - Équipe Valérie Plante,,,,13.10
CONSTANTIN,Robert,Mouvement Montréal,,,,13.10
DAHMAN,Sallim,Ensemble Montréal - Équipe Denis Coderre,,,,13.10
ALNEUS,Ericka,Projet Montréal - Équipe Valérie Plante,,,,13.20
DHAHER,Manel,Mouvement Montréal,,,,13.20
DIAMADOPOULOU,Emilia,Ensemble Montréal - Équipe Denis Coderre,,,,13.20
THIBODEAU,Gilbert,Action Montréal - Équipe Gilbert Thibodeau,CUSSON,Karine,Colistière,13.20
MERCIER,Roxane,Ensemble Montréal - Équipe Denis Coderre,,,,13.30
OLLIVIER,Dominique,Projet Montréal - Équipe Valérie Plante,,,,13.30
GODBOUT,Vianney,Ensemble Montréal - Équipe Denis Coderre,,,,13.40
PAUZÉ,Jocelyn,Projet Montréal - Équipe Valérie Plante,,,,13.40
DESOUSA,Alan,Ensemble Montréal - Équipe Denis Coderre,,,,14.00
GUILLOTTE,Blaise,Projet Montréal - Équipe Valérie Plante,,,,14.00
TESSIER,Philippe,Indépendant,,,,14.00
ZAKARIA,Nassif,Mouvement Montréal,,,,14.00
GOITIANDIA MOORE,Tania,Projet Montréal - Équipe Valérie Plante,,,,14.10
MEO,Shana,Mouvement Montréal,,,,14.10
NAZARIAN,Vana,Ensemble Montréal - Équipe Denis Coderre,,,,14.10
COHEN,Jacques,Ensemble Montréal - Équipe Denis Coderre,,,,14.11
MAISONNEUVE,Valérie,Projet Montréal - Équipe Valérie Plante,,,,14.11
MANSOOR,Mohammad-Afaaq,Projet Montréal - Équipe Valérie Plante,,,,14.20
SALEM,Aref,Ensemble Montréal - Équipe Denis Coderre,,,,14.20
GAGNIER,Annie,Ensemble Montréal - Équipe Denis Coderre,,,,14.21
TREMBLAY-PERRON,Dominik,Projet Montréal - Équipe Valérie Plante,,,,14.21
BISSONNET,Michel,Ensemble Montréal - Équipe Denis Coderre,,,,15.00
GAETAN,Nerlande,Projet Montréal - Équipe Valérie Plante,,,,15.00
TREMBLAY,Lili-Anne,Mouvement Montréal,,,,15.00
AYALA,Paulina,Mouvement Montréal,,,,15.10
BOUKHARI,Dallal,Indépendant,,,,15.10
DRATLER,Nathan,Projet Montréal - Équipe Valérie Plante,,,,15.10
GENTILE,Angela,Ensemble Montréal - Équipe Denis Coderre,,,,15.10
BENKHALED,Leila,Projet Montréal - Équipe Valérie Plante,,,,15.11
EL KORBI,Arij,Ensemble Montréal - Équipe Denis Coderre,,,,15.11
VALVANO,Giovanni,Mouvement Montréal,,,,15.11
CONCIATORI,Franco,Mouvement Montréal,,,,15.20
LARREA,Andres,Projet Montréal - Équipe Valérie Plante,,,,15.20
PERRI,Dominic,Ensemble Montréal - Équipe Denis Coderre,,,,15.20
BATTISTA,Mario,Indépendant,,,,15.21
DE LAROCHELLIÈRE,Suzanne,Ensemble Montréal - Équipe Denis Coderre,,,,15.21
LAHLOU,Djamel,Mouvement Montréal,,,,15.21
VENTULIERI,Dante,Projet Montréal - Équipe Valérie Plante,,,,15.21
CLARKE,Keeton,Mouvement Montréal,,,,16.00
DORAIS,Benoit,Projet Montréal - Équipe Valérie Plante,,,,16.00
VERRIER,Francine,Ensemble Montréal - Équipe Denis Coderre,,,,16.00
HENRY-KING,Stephanie,Mouvement Montréal,,,,16.10
HOLLINGER,Heidi,Ensemble Montréal - Équipe Denis Coderre,,,,16.10
SAUVÉ,Craig,Projet Montréal - Équipe Valérie Plante,,,,16.10
ALAM,Romean,Ensemble Montréal - Équipe Denis Coderre,,,,16.11
DE GRUYTER,Patrick,Indépendant,,,,16.11
LI,Tan Shan,Projet Montréal - Équipe Valérie Plante,,,,16.11
RAHMAN,Nafija,Mouvement Montréal,,,,16.11
DONALD,Sam,Mouvement Montréal,,,,16.20
GIGUÈRE,Mario,Action Montréal - Équipe Gilbert Thibodeau,,,,16.20
MARTEL,Michel,Ensemble Montréal - Équipe Denis Coderre,,,,16.20
