,"BLACK, Christine","MASSICOTTE, Jacques","MIBEL, Kerlande","TEFFAHA, Rached","Nombre de bulletins valides","Nombre de bulletins rejet̩s","Total des bulletins"
"081-901","83","5","33","0","121","6","127"
"081-902","52","7","14","1","74","2","76"
"081-903","35","0","12","0","47","1","48"
"081-904","59","3","5","1","68","1","69"
"081-905","43","1","9","0","53","0","53"
"081-906","12","0","10","2","24","2","26"
"081-907","53","3","9","1","66","0","66"
"081-908","33","4","17","4","58","0","58"
"081-909","31","1","18","0","50","0","50"
"081-910","62","3","13","0","78","1","79"
"081-911","45","6","20","1","72","3","75"
"081-912","52","4","13","1","70","5","75"
"081-913","51","0","16","1","68","0","68"
"081-914","79","0","10","2","91","1","92"
"081-915","53","2","15","2","72","3","75"
"081-916","38","4","12","0","54","2","56"
"081-917","32","2","9","0","43","1","44"
"081-040","58","34","3","1","96","4","100"
"081-041","41","3","20","3","67","1","68"
"081-042","56","6","26","1","89","2","91"
"081-043","42","6","9","5","62","2","64"
"081-044","54","12","24","4","94","5","99"
"081-045","42","1","20","6","69","4","73"
"081-046","19","1","14","0","34","1","35"
"081-047","48","6","13","0","67","0","67"
"081-048","49","4","17","5","75","0","75"
"081-049","30","2","26","0","58","1","59"
"081-050","49","3","17","2","71","0","71"
"081-051","48","4","14","2","68","1","69"
"081-052","60","4","12","0","76","1","77"
"081-053","57","3","22","1","83","0","83"
"081-054","49","3","17","5","74","1","75"
"081-055","38","0","12","1","51","0","51"
"081-056","32","5","18","0","55","0","55"
"081-057","27","7","13","0","47","2","49"
"081-058","64","13","12","2","91","2","93"
"081-059","37","11","21","3","72","0","72"
"081-060","28","4","16","1","49","1","50"
"081-061","56","7","23","2","88","0","88"
"081-062","57","9","17","2","85","0","85"
"081-063","70","13","14","0","97","0","97"
"081-064","59","8","20","1","88","2","90"
"081-065","46","6","20","0","72","1","73"
"081-001","39","7","30","2","78","3","81"
"081-002","55","3","47","2","107","1","108"
"081-003","68","4","26","0","98","1","99"
"081-004","106","3","16","0","125","3","128"
"081-005","30","11","3","2","46","1","47"
"081-006","71","5","16","3","95","3","98"
"081-007","31","3","12","4","50","0","50"
"081-008","30","3","2","0","35","0","35"
"081-009","107","7","9","0","123","2","125"
"081-010","91","2","12","0","105","0","105"
"081-011","27","8","17","2","54","2","56"
"081-012","48","5","24","4","81","0","81"
"081-013","45","5","15","1","66","3","69"
"081-014","46","15","20","0","81","1","82"
"081-015","44","1","12","1","58","3","61"
"081-016","71","2","8","1","82","0","82"
"081-017","39","5","14","2","60","1","61"
"081-018","37","0","15","1","53","0","53"
"081-019","29","3","22","1","55","1","56"
"081-020","45","1","4","3","53","0","53"
"081-021","49","3","17","5","74","2","76"
"081-022","57","1","20","0","78","0","78"
"081-023","45","0","6","2","53","2","55"
"081-024","45","3","2","2","52","1","53"
"081-025","23","6","15","2","46","1","47"
"081-026","49","1","20","2","72","1","73"
"081-027","61","4","16","2","83","1","84"
"081-028","39","3","24","8","74","0","74"
"081-029","45","2","31","2","80","3","83"
"081-030","31","7","28","1","67","1","68"
"081-031","35","5","29","1","70","0","70"
"081-032","61","6","39","1","107","3","110"
"081-033","46","3","24","2","75","0","75"
"081-034","34","4","34","1","73","1","74"
"081-035","64","6","10","1","81","2","83"
"081-036","32","8","20","2","62","1","63"
"081-037","42","1","23","4","70","2","72"
"081-038","40","1","17","3","61","1","62"
"081-039","29","3","11","3","46","0","46"
"082-901","71","2","8","0","81","0","81"
"082-902","54","4","7","0","65","2","67"
"082-903","48","1","8","2","59","1","60"
"082-904","84","3","11","1","99","0","99"
"082-905","42","3","20","0","65","0","65"
"082-906","50","3","17","1","71","2","73"
"082-907","6","3","12","0","21","0","21"
"082-908","32","1","11","0","44","0","44"
"082-909","57","4","13","0","74","3","77"
