"Bureau de vote","Antonio (Tony) DI DIO","Patricia R.  LATTANZIO   ","Giuseppe (Joe) MORMINA","Roberta PERESSINI","Nombre de bulletins valides","Nombre de bulletins rejet̩s","Total des bulletins"
901,1,15,0,0,16,0,16
902,2,42,0,1,45,0,45
903,0,40,0,3,43,0,43
904,2,28,0,4,34,1,35
905,2,45,0,2,49,0,49
906,0,31,2,3,36,0,36
907,4,48,0,2,54,0,54
908,2,68,0,3,73,0,73
909,7,65,7,3,82,0,82
910,2,15,1,1,19,0,19
911,4,21,5,2,32,1,33
912,4,25,2,0,31,1,32
"151-01",2,52,2,4,60,0,60
"151-02",1,72,2,1,76,0,76
"151-03",7,34,2,2,45,1,46
"151-04",2,38,0,2,42,3,45
"151-05",4,50,2,2,58,1,59
"151-06",8,54,2,4,68,0,68
"151-07",5,57,4,2,68,1,69
"151-08",6,21,1,0,28,0,28
"151-09",10,52,0,4,66,1,67
"151-10",6,29,1,4,40,1,41
"151-11",8,101,5,11,125,0,125
"151-12",2,52,2,1,57,0,57
"151-13",5,60,1,4,70,0,70
"151-14",7,47,0,4,58,0,58
"151-15",16,25,0,1,42,0,42
"151-16",6,40,2,5,53,2,55
"151-17",8,38,1,2,49,0,49
"151-18",6,68,0,1,75,0,75
"151-19",12,96,1,6,115,3,118
"151-20",5,33,0,2,40,2,42
"151-21",6,48,0,0,54,1,55
"151-22",1,43,2,4,50,2,52
"151-23",5,64,6,1,76,1,77
"151-24",4,38,2,1,45,0,45
"151-25",7,47,0,2,56,1,57
"151-26",0,53,2,1,56,0,56
"151-27",1,47,0,4,52,0,52
"151-28",1,18,0,2,21,0,21
"151-29",6,71,0,1,78,4,82
"151-30",3,67,0,0,70,0,70
"151-31",2,44,5,1,52,2,54
"151-32",2,52,5,2,61,0,61
"151-33",5,65,5,2,77,3,80
"151-34",16,18,1,0,35,0,35
"151-35",17,35,0,0,52,0,52
"151-36",7,18,2,1,28,0,28
"151-37",8,34,8,1,51,0,51
"151-38",1,41,0,3,45,0,45
"151-39",7,51,0,5,63,1,64
"151-40",6,41,1,4,52,0,52
"151-41",1,18,0,2,21,0,21
"151-42",1,21,1,1,24,0,24
"151-43",1,27,3,3,34,2,36
"151-44",1,22,1,4,28,1,29
"151-45",0,53,1,2,56,0,56
"151-46",3,27,2,1,33,0,33
"151-47",6,40,9,4,59,0,59
"151-48",5,33,3,0,41,0,41
"151-49",0,83,0,1,84,4,88
