"Poste","Bureau de vote","Caroline Bourgeois ","Manuel Guedes","Marius Minier","Nombre de bulletins valides","Nombre de bulletins rejetés","Total des bulletins"
,,"Projet Montréal - Équipe Valérie Plante","Ensemble Montréal","Indépendant",,,
"12,00","121-001",19,44,3,66,2,68
"12,00","121-002",5,14,0,19,1,20
"12,00","121-003",15,8,2,25,0,25
"12,00","121-004",7,21,1,29,2,31
"12,00","121-005",5,22,0,27,0,27
"12,00","121-006",3,18,1,22,0,22
"12,00","121-007",16,30,2,48,0,48
"12,00","121-008",7,14,0,21,0,21
"12,00","121-009",13,31,0,44,1,45
"12,00","121-010",4,22,0,26,0,26
"12,00","121-011",5,15,0,20,1,21
"12,00","121-012",6,5,0,11,0,11
"12,00","121-013",8,32,1,41,2,43
"12,00","121-014",9,27,0,36,0,36
"12,00","121-015",6,15,0,21,0,21
"12,00","121-016",9,22,1,32,0,32
"12,00","121-017",8,21,0,29,1,30
"12,00","121-018",3,15,0,18,0,18
"12,00","121-019",6,23,2,31,0,31
"12,00","121-020",18,24,0,42,0,42
"12,00","121-021",3,21,0,24,1,25
"12,00","121-022",11,18,0,29,1,30
"12,00","121-023",22,21,2,45,0,45
"12,00","121-024",13,31,0,44,1,45
"12,00","121-025",6,24,0,30,2,32
"12,00","121-026",3,24,1,28,0,28
"12,00","121-027",9,24,0,33,0,33
"12,00","121-028",7,18,4,29,0,29
"12,00","121-029",13,14,0,27,0,27
"12,00","121-030",16,18,2,36,0,36
"12,00","121-031",11,14,0,25,0,25
"12,00","121-032",13,24,1,38,0,38
"12,00","121-033",3,16,0,19,0,19
"12,00","121-034",8,17,1,26,0,26
"12,00","121-035",10,8,0,18,0,18
"12,00","121-036",27,11,1,39,0,39
"12,00","121-037",35,32,2,69,1,70
"12,00","121-038",6,21,1,28,0,28
"12,00","121-039",12,23,0,35,0,35
"12,00","121-040",16,13,0,29,0,29
"12,00","121-041",13,15,1,29,0,29
"12,00","121-042",7,19,1,27,0,27
"12,00","121-043",7,18,0,25,2,27
"12,00","121-044",15,21,2,38,1,39
"12,00","121-045",12,20,0,32,0,32
"12,00","121-046",7,7,0,14,0,14
"12,00","121-047",19,12,8,39,0,39
"12,00","121-048",6,11,0,17,0,17
"12,00","121-049",17,7,2,26,0,26
"12,00","121-050",22,5,1,28,0,28
"12,00","121-051",15,10,1,26,0,26
"12,00","121-052",20,12,3,35,0,35
"12,00","121-053",21,7,4,32,0,32
"12,00","121-054",25,14,2,41,0,41
"12,00","121-055",18,13,3,34,1,35
"12,00","121-056",16,14,4,34,0,34
"12,00","121-057",16,3,2,21,0,21
"12,00","121-058",9,8,3,20,0,20
"12,00","121-059",19,7,1,27,0,27
"12,00","121-060",14,7,0,21,0,21
"12,00","121-061",22,21,3,46,0,46
"12,00","121-062",44,22,2,68,0,68
"12,00","121-063",22,19,2,43,1,44
"12,00","121-064",36,9,4,49,1,50
"12,00","121-065",28,15,0,43,0,43
"12,00","121-066",10,8,0,18,0,18
"12,00","121-067",17,2,1,20,1,21
"12,00","121-068",21,18,2,41,0,41
"12,00","121-069",15,13,3,31,1,32
"12,00","121-070",19,9,2,30,1,31
"12,00","121-071",23,5,2,30,0,30
"12,00","121-072",6,5,4,15,0,15
"12,00","121-073",20,9,1,30,0,30
"12,00","121-074",22,11,1,34,0,34
"12,00","121-075",30,6,2,38,0,38
"12,00","121-076",10,5,0,15,1,16
"12,00","121-077",15,13,0,28,0,28
"12,00","121-078",28,5,3,36,0,36
"12,00","121-079",23,11,2,36,0,36
"12,00","121-080",17,6,0,23,0,23
"12,00","121-081",18,4,0,22,0,22
"12,00","121-082",11,4,3,18,0,18
"12,00","121-083",15,24,3,42,0,42
"12,00","121-084",28,18,2,48,0,48
"12,00","121-085",30,18,2,50,0,50
"12,00","121-086",28,15,1,44,0,44
"12,00","121-087",22,7,0,29,0,29
"12,00","121-088",30,16,2,48,0,48
"12,00","121-089",23,13,2,38,0,38
"12,00","121-090",22,22,7,51,0,51
"12,00","121-091",37,10,2,49,1,50
"12,00","121-092",33,7,0,40,0,40
"12,00","121-093",41,10,4,55,1,56
"12,00","121-094",18,4,4,26,0,26
"12,00","121-095",11,13,0,24,0,24
"12,00","121-096",23,10,0,33,0,33
"12,00","121-097",24,15,4,43,0,43
"12,00","121-098",13,10,1,24,0,24
"12,00","121-099",18,9,8,35,0,35
"12,00","121-901",15,35,0,50,0,50
"12,00","121-902",13,33,0,46,0,46
"12,00","121-903",1,19,0,20,0,20
"12,00","121-904",9,23,2,34,0,34
"12,00","121-905",12,17,2,31,1,32
"12,00","121-906",13,16,3,32,0,32
"12,00","121-907",17,20,3,40,0,40
"12,00","121-908",7,26,0,33,0,33
"12,00","121-909",41,16,5,62,0,62
"12,00","121-910",37,18,1,56,2,58
"12,00","121-911",26,19,4,49,2,51
"12,00","121-912",18,21,0,39,0,39
"12,00","121-913",30,16,1,47,1,48
"12,00","121-914",19,17,0,36,2,38
"12,00","121-915",17,17,3,37,0,37
"12,00","121-916",22,16,1,39,0,39
"12,00","121-917",12,15,1,28,0,28
"12,00","122-001",8,9,4,21,1,22
"12,00","122-002",17,7,4,28,0,28
"12,00","122-003",20,11,6,37,2,39
"12,00","122-004",4,10,0,14,0,14
"12,00","122-005",21,12,7,40,0,40
"12,00","122-006",12,17,5,34,1,35
"12,00","122-007",6,8,6,20,1,21
"12,00","122-008",19,6,12,37,2,39
