"Poste ","Bureau de vote","Marc-Antoine Desjardins","Luc Rabouin","Jean-Pierre Szaraz","Nombre de bulletins valides","Nombre de bulletins rejetés","Total des bulletins"
,,"Vrai changement pour Montréal","Projet Montréal – Équipe Valérie Plante","Ensemble Montréal",,,
"11,00","111-001A",14,16,3,33,0,33
"11,00","111-001B",4,29,11,44,0,44
"11,00","111-002",6,26,8,40,0,40
"11,00","111-003",3,26,5,34,0,34
"11,00","111-004",2,16,5,23,0,23
"11,00","111-005",4,38,15,57,0,57
"11,00","111-006",2,36,14,52,0,52
"11,00","111-007",5,28,7,40,1,41
"11,00","111-008",4,27,5,36,0,36
"11,00","111-009",5,21,5,31,2,33
"11,00","111-010",6,26,9,41,0,41
"11,00","111-011",1,30,6,37,0,37
"11,00","111-012",6,19,6,31,2,33
"11,00","111-013",9,45,9,63,0,63
"11,00","111-014",5,19,8,32,0,32
"11,00","111-015",2,50,6,58,0,58
"11,00","111-016",9,19,8,36,1,37
"11,00","111-017",9,34,3,46,1,47
"11,00","111-018",9,35,15,59,3,62
"11,00","111-019",16,65,8,89,2,91
"11,00","111-020",8,38,12,58,0,58
"11,00","111-021",6,53,9,68,0,68
"11,00","111-022",1,22,1,24,0,24
"11,00","111-023",6,35,9,50,0,50
"11,00","111-024",5,33,7,45,0,45
"11,00","111-025",11,47,12,70,0,70
"11,00","111-026",4,29,13,46,1,47
"11,00","111-027",11,35,9,55,1,56
"11,00","111-028",7,19,4,30,3,33
"11,00","111-029",6,54,3,63,0,63
"11,00","111-030",6,42,7,55,0,55
"11,00","111-031",2,45,4,51,1,52
"11,00","111-032",6,25,4,35,1,36
"11,00","111-033",8,19,15,42,0,42
"11,00","111-034",13,28,10,51,0,51
"11,00","111-035",3,25,8,36,2,38
"11,00","111-036",8,26,9,43,2,45
"11,00","111-037",2,17,2,21,3,24
"11,00","111-038",1,23,2,26,1,27
"11,00","111-039",7,46,4,57,2,59
"11,00","111-040",3,63,4,70,1,71
"11,00","111-041",4,29,13,46,1,47
"11,00","111-042",5,41,10,56,1,57
"11,00","111-043",1,28,1,30,0,30
"11,00","111-044",2,27,9,38,1,39
"11,00","111-045",4,22,4,30,0,30
"11,00","111-046",6,62,7,75,0,75
"11,00","111-047",5,39,9,53,1,54
"11,00","111-048",1,37,6,44,0,44
"11,00","111-049",4,37,6,47,0,47
"11,00","111-050",11,50,10,71,1,72
"11,00","111-051",7,35,6,48,1,49
"11,00","111-052",8,40,5,53,0,53
"11,00","111-053",4,35,17,56,2,58
"11,00","111-054",8,30,7,45,1,46
"11,00","111-055",9,29,9,47,0,47
"11,00","111-056",7,51,7,65,1,66
"11,00","111-057",12,39,8,59,0,59
"11,00","111-058",6,36,6,48,0,48
"11,00","111-059",13,28,2,43,0,43
"11,00","111-060",12,32,11,55,0,55
"11,00","111-061",13,47,3,63,0,63
"11,00","111-062",16,44,1,61,1,62
"11,00","111-063",5,27,9,41,0,41
"11,00","111-064",8,31,6,45,0,45
"11,00","111-065",8,32,6,46,0,46
"11,00","111-066",9,36,11,56,2,58
"11,00","111-067",8,50,5,63,1,64
"11,00","111-068",6,31,9,46,0,46
"11,00","111-069",11,22,12,45,1,46
"11,00","111-070",10,35,17,62,2,64
"11,00","111-071",0,42,5,47,1,48
"11,00","111-072",4,50,12,66,0,66
"11,00","111-073",4,14,7,25,0,25
"11,00","111-074",10,36,10,56,1,57
"11,00","111-075",7,37,11,55,0,55
"11,00","111-076",7,31,9,47,2,49
