"Poste","Bureau de vote","Josué Corvil","Reginald Pierre","Nadine Raymond","Nombre de bulletins valides","Nombre de bulletins rejetés","Total des bulletins"
,,"Ensemble Montréal","Indépendant","Projet Montréal - Équipe Valérie Plante",,,
"19,10","191-001",5,0,24,29,0,29
,"191-002",10,11,18,39,0,39
,"191-003",15,2,41,58,0,58
,"191-004",12,1,21,34,0,34
,"191-005",16,9,11,36,0,36
,"191-006",15,21,4,40,0,40
,"191-007",6,20,10,36,0,36
,"191-008",7,12,10,29,0,29
,"191-009",12,11,4,27,1,28
,"191-010",18,6,14,38,0,38
,"191-011",25,12,12,49,4,53
,"191-012",11,19,11,41,1,42
,"191-013",9,5,14,28,0,28
,"191-014",19,7,7,33,2,35
,"191-015",20,9,20,49,0,49
,"191-016",22,4,10,36,0,36
,"191-017",20,6,8,34,1,35
,"191-018",19,23,20,62,5,67
,"191-019",17,39,18,74,2,76
,"191-020",6,10,3,19,0,19
,"191-021",9,12,6,27,0,27
,"191-022",15,17,7,39,2,41
,"191-023",24,18,12,54,2,56
,"191-024",5,12,18,35,0,35
,"191-025",6,9,6,21,3,24
,"191-026",9,4,8,21,0,21
,"191-027",25,7,8,40,0,40
,"191-028",9,6,5,20,0,20
,"191-029",15,5,19,39,1,40
,"191-030",16,23,10,49,2,51
,"191-031",32,21,13,66,0,66
,"191-032",25,20,19,64,1,65
,"191-033",12,17,7,36,0,36
,"191-034",19,10,9,38,1,39
,"191-035",17,12,16,45,1,46
,"191-036",17,6,17,40,0,40
,"191-037",11,22,23,56,1,57
,"191-038",35,13,24,72,2,74
,"191-039",11,3,7,21,0,21
,"191-040",18,4,18,40,0,40
,"191-041",22,5,16,43,0,43
,"191-042",11,10,11,32,1,33
,"191-043",0,2,5,7,0,7
,"191-044",12,0,17,29,1,30
,"191-045",23,7,28,58,0,58
,"191-046",2,2,4,8,1,9
,"191-047",13,10,6,29,2,31
,"191-048",17,5,10,32,0,32
,"191-049",16,7,6,29,2,31
,"191-050",13,2,7,22,0,22
,"191-051",19,2,9,30,0,30
,"191-052",8,0,1,9,0,9
,"191-901",0,2,3,5,0,5
,"191-902",12,18,3,33,0,33
,"191-903",14,6,33,53,0,53
,"191-904",18,7,10,35,0,35
,"191-905",14,4,5,23,0,23
,"191-906",15,4,3,22,3,25
,"191-907",24,14,10,48,1,49
,"191-908",32,17,31,80,0,80
,"191-909",21,10,10,41,0,41
,"191-910",17,5,4,26,0,26
,"191-911",6,9,8,23,1,24
