"Cote/Titre","Dates","Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN)","Mention de crédits"
"VM97,S3,D15,P042","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-042.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P043","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-043.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P044","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-044.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P045","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-045.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P046","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-046.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P047","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-047.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P048","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-048.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P049","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-049.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P050","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-050.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P051","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-051.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P052","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-052.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P053","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-053.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P054","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-054.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P055","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-055.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P056","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-056.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P057","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-057.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P058","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-058.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P059","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-059.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P060","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-060.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P061","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-061.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P062","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-062.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P063","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-063.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P064","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-064.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P065","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-065.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P066","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-066.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P067","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-067.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P068","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-068.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P069","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-069.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P070","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-070.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P071","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-071.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P072","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-072.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P073","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-073.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P074","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-074.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P075","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-075.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P076","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-076.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P077","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-077.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P078","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-078.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P079","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-079.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P080","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-080.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P081","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-081.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P082","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-082.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P083","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-083.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P084","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-084.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P085","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-085.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P086","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-086.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P087","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-087.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P088","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-088.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P089","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-089.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P090","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-090.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P091","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-091.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P092","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-092.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P093","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-093.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P094","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-094.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P095","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-095.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P096","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-096.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P097","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-097.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P098","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-098.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P099","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-099.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P100","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-100.TIF","Archives de la Ville de Montréal"
