Cote/Titre,Dates,Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN),Mention de crédits
"VM97,S3,D08,P040",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-040.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P041",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-041.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P042",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-042.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P043",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-043.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P044",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-044.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P045",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-045.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P046",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-046.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P047",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-047.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P048",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-048.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P049",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-049.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P050",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-050.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P051",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-051.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P052",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-052.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P053",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-053.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P054",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-054.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P055",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-055.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P056",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-056.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P057",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-057.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P058",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-058.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P059",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-059.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P060",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-060.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P061",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-061.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P062",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-062.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P063",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-063.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P064",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-064.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P065",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-065.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P066",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-066.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P067",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-067.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P068",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-068.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P069",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-069.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P070",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-070.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P071",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-071.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P072",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-072.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P073",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-073.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P074",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-074.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P075",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-075.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P076",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-076.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P077",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-077.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P078",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-078.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P079",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-079.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P080",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-080.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P081",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-081.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P082",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-082.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P083",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-083.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P084",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-084.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P085",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-085.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P086",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-086.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P087",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-087.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P088",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-088.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P089",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-089.TIF,Archives de la Ville de Montréal
