"Cote/Titre","Dates","Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN)","Mention de crédits"
"Carte index générale","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_00-CarteIndex.jpg","Archives de la Ville de Montréal"
"VM97,S3,D02,P09-155","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_09-155.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P09-157","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_09-157.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P10-157","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_10-157.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P10-159","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_10-159.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P10-161","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_10-161.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P10-163","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_10-163.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P10-165","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_10-165.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P11-097","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_11-097.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P11-099","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_11-099.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P11-101","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_11-101.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P11-103","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_11-103.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P12-097","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_12-097.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P12-099","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_12-099.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P12-101","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_12-101.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P12-103","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_12-103.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P12-105","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_12-105.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-031","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-031.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-033","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-033.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-037","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-037.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-039","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-039.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-041","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-041.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-043","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-043.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-045","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-045.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P13-047","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_13-047.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P14-031","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_14-031.TIF","Archives de la Ville de Montréal"
"VM97,S3,D02,P14-033","1958","http://depot.ville.montreal.qc.ca/vues-aeriennes-1958/VM97-3_02_14-033.TIF","Archives de la Ville de Montréal"
