Date,Instance_politique ,Resolution,Nom,Genre,Titre_du_poste,Organisme
2015-06-03,comité exécutif,CE15 1109,Jacques Marleau,H,membre,Comité de gestion du régime de retraite des employés syndiqués de la Communauté urbaine de Montréal
2015-06-03,comité exécutif,CE15 1109,Jacques Marleau,H,membre,Commission du régime de retraite des fonctionnaires de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Catherine Bangs,F,membre,Commission du régime de retraite des fonctionnaires de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Gilbert Tougas,H,membre,Commission du régime de retraite des fonctionnaires de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Jacques Marleau,H,membre,Commision du régime de retraite des employés manuels de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Danny Boudreault,H,membre,Commision du régime de retraite des employés manuels de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Gilbert Tougas,H,membre,Commision du régime de retraite des employés manuels de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Dida Berku,F,membre,Commission du régime de retraite des pompiers de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Jacques Marleau,H,membre,Commission du régime de retraite des pompiers de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Alain Langlois,H,membre,Commission du régime de retraite des pompiers de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Jacques Marleau,H,membre,Commission du régime de retraite des professionnels de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Francine Laverdière,F,membre,Commission du régime de retraite des professionnels de la Ville de Montréal
2015-06-03,comité exécutif,CE15 1109,Anne Bergeron,F,membre,Comité de retraite du régime complémentaire de retraite de l'Association de pompiers de LaSalle
2015-06-03,comité exécutif,CE15 1105,Chantal Rouleau,F,représentante,Alliance des villes des Grands Lacs et du Saint-Laurent
2015-06-03,comité exécutif,CE15 1105,Denis Coderre,H,vice-président,Alliance des villes des Grands Lacs et du Saint-Laurent
2015-06-10,comité exécutif,CE15 1182,Johanne Brunet,F,présidente du CA,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Julie Chaurette,F,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Fabien Cournoyer,H,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Linton S. Garner,H,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Robert Juneau,H,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Alain Lapointe,H,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Ana Nunes,F,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-10,comité exécutif,CE15 1182,Marie-José Roux Fauteux,F,membre du conseil d'administration,Société d'habitation et de développement de Montréal
2015-06-15,conseil municipal,CM15 0745,Aurélie Lebrun,F,membre,Conseil des Montréalaises
2015-06-15,conseil municipal,CM15 0745,Marianne Carle-Marsan,F,membre,Conseil des Montréalaises
2015-06-15,conseil municipal,CM15 0745,Cathy Wong,F,membre,Conseil des Montréalaises
2015-06-15,conseil municipal,CM15 0745,Marianne Carle-Marsan,F,vice-présidente,Conseil des Montréalaises
2015-06-15,conseil municipal,CM15 0745,Cathy Wong,F,présidente,Conseil des Montréalaises
2015-06-15,conseil municipal,CM15 0841,Valérie Plante,F,vice-présidente,Conseil municipal
2015-06-15,conseil municipal,CM15 0840,Christine Gosselin,F,vice-présidente,"Commission sur la culture, le patrimoine et les sports"
2015-06-15,conseil municipal,CM15 0840,Laurence Lavigne Lalonde,F,vice-présidente,Commission sur le développement éconimique et urbain et l'habitation
2015-06-15,conseil municipal,CM15 0840,Éric Alan Caldwell,H,membre,Commission sur le développement éconimique et urbain et l'habitation
2015-06-15,conseil municipal,CM15 0840,Marianne Giguère,F,membre,Commission sur l'examen des contrats
2015-06-15,conseil municipal,CM15 0840,Sylvain Ouellet,H,membre,Commission sur les finances et l'administration
2015-06-15,conseil municipal,CM15 0840,Érika Duchesne,F,vice-présidente,Commission sur l'inspecteur général
2015-06-15,conseil municipal,CM15 0840,Éric Alan Caldwell,H,membre,Commission sur l'inspecteur général
2015-06-15,conseil municipal,CM15 0840,François Limoges,H,vice-président,Commission de la présidence du conseil
2015-06-15,conseil municipal,CM15 0840,Craig Sauvé,H,membre,Commission de la présidence du conseil
2015-06-15,conseil municipal,CM15 0840,Marianne Giguère,F,vice-présidente,Commission sur les transports et les travaux publics
2015-06-15,conseil municipal,CM15 0834,Kunze Li,H,membre,Conseil jeunesse de Montréal
2015-06-18,conseil d'agglomération,CG15 0436,Alex Norris,H,vice-président,Commission de la sécurité publique
2015-06-18,conseil d'agglomération,CG15 0435,Alexandre Bouchard,H,membre du conseil d'administration,Centre local de développement (CLD) d'Anjou
2015-06-18,conseil d'agglomération,CG15 0435,Sylvain Leduc,H,membre du conseil d'administration,Centre local de développement (CLD) d'Anjou
2015-06-18,conseil d'agglomération,CG15 0434,André Leclerc,H,membre du conseil d'administration,Bureau du taxi de Montréal
2015-06-18,conseil d'agglomération,CG15 0434,Renée Almicar,F,membre du conseil d'administration,Bureau du taxi de Montréal
2015-06-18,conseil d'agglomération,CG15 0434,Claudia Di Iorio,F,membre du conseil d'administration,Bureau du taxi de Montréal
2015-06-18,conseil d'agglomération,CG15 0434,Lucy Mongiovi,F,membre du conseil d'administration,Bureau du taxi de Montréal
2015-06-18,conseil d'agglomération,CG15 0434,Éricka Duchesne,F,membre du conseil d'administration,Bureau du taxi de Montréal
2015-08-05,comité exécutif,CE15 1472,Nancy Shoiry,F,directrice générale ,Société d'habitation et de développement de Montréal (SHDM) 
2015-08-14,comité exécutif,CE15 1558,Marc-André Gadoury,M,observateur,Société du parc Jean-Drapeau
2015-08-17,conseil municipal,CM15 1026,Mary Deros,F,maire suppléant,Conseil municipal
2015-08-17,conseil municipal,CM15 1027,Pierre Corriveau,M,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Raphaël Fischler,M,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Marie Lessard,F,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Manon Asselin,F,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Josée Bérubé,F,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Sophie Beaudoin,F,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Philippe Lupien,M,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1027,Christian Thiffault,M,membre,Comité Jacques-Viger
2015-08-17,conseil municipal,CM15 1028,Richard Deschamps,M,président,Commission sur le développement économique et urbain et l'habitation
2015-08-17,conseil municipal,CM15 1028,Richard Guay,M,membre,Commission sur le développement économique et urbain et l'habitation
2015-08-17,conseil municipal,CM15 1028,Marie Potvin,F,membre,Commission sur le développement économique et urbain et l'habitation
2015-08-17,conseil municipal,CM15 1028,Mary Deros,F,membre,Commission sur le développement économique et urbain et l'habitation
2015-08-17,conseil municipal,CM15 1028,Giovanni Rapanà,M,membre,Commission sur le développement social et la diversité montréalaise
2015-08-17,conseil municipal,CM15 1028,Justine McIntyre,F,membre,Commission sur le développement social et la diversité montréalaise
2015-08-17,conseil municipal,CM15 1028,Catherine Clément-Talbot,F,membre,Commission sur les finances et l'administration
2015-08-17,conseil municipal,CM15 1028,Marc-André Gadoury,M,membre,Commission sur les transports et les travaux publics
2015-08-17,conseil municipal,CM15 1028,Marc-André Gadoury,M,membre,Commission sur l'examen des contrats
2015-08-17,conseil municipal,CM15 1028,Michelle Di Genova Zammit,F,membre,"Commission sur la culture, le patrimoine et les sports"
2015-08-17,conseil municipal,CM15 1028,Giovanni Rapanà,M,membre,"Commission sur la culture, le patrimoine et les sports"
2015-08-20,conseil d'agglomération,CG15 0534,Érika Duchesne,F,représentante élue,Pôle Centre-Est
2015-08-20,conseil d'agglomération,CG15 0535,Laurence Lavigne Lalonde,F,représentante élue,Pôle Centre-Est
2015-08-20,conseil d'agglomération,CG15 0536,Richard Celzi,M,membre,Commission de la sécurité publique
2015-09-21,conseil municipal,CM15 1072,Coline Camier,F,membre,Conseil interculturel de Montréal
2015-09-21,conseil municipal,CM15 1072,Romy Schlegel,F,membre,Conseil interculturel de Montréal
2015-09-21,conseil municipal,CM15 1134,Marc Blanchet,M,membre,Commission des services électriques de la Ville de Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Marie-Eve Brunet,F,représentante de la Ville,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Karine Boivin-Roy,F,représentante de la Ville,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Louise Mainville,F,représentante de la Ville,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Érika Duchesne,F,représentante de la Ville,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Marc-André Gadoury,H,représentant de la Ville,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Richard Deschamps,H,représentant de la Ville,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0580,Robert Coutu,H,représentant des villes liées,Concertation Montréal
2015-09-24,conseil d'agglomération,CG15 0577,Magda Popeanu,F,représentante élue,Pôle Centre
2015-09-24,conseil d'agglomération,CG15 0579,Pierre Desrochers,H,représentant élu,Pôle Centre-Ouest
2015-10-29,conseil d'agglomération,CG15 0556,Lisa Baillargeon,F,présidente,Comité de vérification élargi
2015-10-29,conseil d'agglomération,CG15 0563,Frantz Benjamin,M,représentant élu,CLD Centre-Est (PME MTL Centre-Est)
2015-10-29,conseil d'agglomération,CG15 0654,Manon Barbe,F,représentante élue,CLD Grand-Sud-Ouest (PME MTL Sud-Ouest)
