OBJECTID,NOM,NO_STATION,NB_VIGNETTE,NB_PAYANT,NB_TOTAL,TYPE,GEOM
701, , ,0, ,3,90 minutes gratuites,Polygone
702,Hôtel de Ville,S-2,0,55,138,"Vignette, Horodateur",Polygone
703,Saint-Germain Est,S-3,25,40,40,"Vignette, Horodateur",Polygone
704,Saint-Germain Ouest,S-4,55,"57 doubles, 3 simples",109,"Vignette, Horodateur",Polygone
705,Belzile (Alternative),S-6,20,"12 doubles, 4 simples",28,"Vignette, Horodateur",Polygone
706,Saint Jean-Baptiste Ouest,SR-7,8,8,8,Vignette,Polygone
707,Saint Jean-Baptiste Ouest,SR-7,3,3,3,Vignette,Polygone
708,Cathédrale,SR-9,6,"2 doubles, 2 simples",12,"Vignette, Parcomètre",Polygone
709,Cathédrale (Piscine),SR-7,4,4,4,Vignette,Polygone
710,Cathédrale,SR-7,4,4,4,Vignette,Polygone
719,Évêché Est (Parc de la gare),SR-7,16,24,24,Vignette,Polygone
720,Centre culturel,S-10,14,,14,Vignette,Polygone
721,Ateliers Saint-Louis,S-9,31,35,35,Vignette,Polygone
722,Parc de la Gare,S-5,44,44,44,Vignette,Polygone
723,Grande-Place (2h),S-14,0,,44,120 minutes gratuites,Polygone
724,Grande-Place (2h),S-14,0,,91,120 minutes gratuites,Polygone
725,Anciens combattants,,0,,173,,Polygone
727,Bibliothèque Pointe-au-Père, ,0, ,31,,Polygone
728,Garage Pointe-au-Père, ,0, ,10,,Polygone
729,Parc Onondaga, ,0, ,8,,Polygone
730,Parc Pointe-à-Pouliot, ,0, ,25,,Polygone
731,Maison Lamontagne, ,0, ,14,,Polygone
732,Centre communautaire Rimouski-Est, ,0, ,66,,Polygone
733,Aéroport, ,0, ,83,,Polygone
734,Édifice municipal Rimouski-Est, ,0, ,20,,Polygone
735,Parc Saint-Germain Est, ,0, ,10,,Polygone
736,Montée Industrielle / Boulevard Jessop, ,0, ,14,,Polygone
737,Centre Communautaire Sainte-Agnès Nord, ,0, ,30,,Polygone
738,Centre Communautaire Sainte-Agnès Sud, ,0, ,17,,Polygone
739,Centre Communautaire Sainte-Odile, ,0, ,36,,Polygone
740,Parc Beauséjour-Dumoulin, ,0, ,35,,Polygone
741,#609 Tessier, ,0, ,25,,Polygone
742,La Pulpe, ,0, ,75,,Polygone
743,Écluse Price, ,0, ,18,,Polygone
744,Centre communautaire Saint-Robert, ,0, ,30,,Polygone
745,Centre Communautaire Saint-Pie-X, ,0, ,90,,Polygone
