quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
00003,MONTREAL,H1W1E5,H1W,13,1,1,2, , , , , , , , , , , , , , ,2,4, ,2,1,2,4,4,2,1,2,2,2,1,1,1,2,1,1,3,2,2,2,1,2, ,.98007152863766
00004,LACHINE,H8S,H8S,28,1,1,2, , , , , , , , , , , , , , ,6, , ,2,1,4,4,2,2,1,2,9,1,1,3,3,2,1,3,3,1,2,1,1,2, ,.91357010076408
00007,SAINT-LAURENT,H1G,H1G,14,1,1,2, , , , , , , , , , , , , , ,4, , ,2,2,3,4,3,2,2,2,2,2,1,1,1,2,1,2,3,1,2,2,1,2, ,.98007152863766
00017,MONTREAL,H1M2T8,H1M,13,1,1,1,2, , ,4,1,2,2,2,1,2,1,2,1,1, , , ,3,4,1,4,4,2,0,1,3,1,1,1,1,3,3,1,3,2,1,1,1,1,3,.81856585972332
00019,MONTREAL,H4J2L8,H4J,9,1,1,2, , , , , , , , , , , , , , ,5,3, ,3,2,2,2,4,1, ,2,1,1,1,2,2,3,1,1,2,2,2,1,1,2, ,.81856585972332
00021,LASALLE,H1N,H1N,13,1,1,2, , , , , , , , , , , , , , ,1, , ,3,4,1,1,4,5,0,2,1,1,1,1,1,3,3,1,1,2,2,1,1,2, ,.81856585972332
00030,MONTREAL,H1E3J1,H1E,3,1,1,2, , , , , , , , , , , , , , ,4, , ,4,6,1,4,4,3,0,2,1,1,1,1,1,4,4,1,3,2,2,1,1,2, ,.56147799073084
00045,OUTREMONT,H2V3X7,H2V,1,1,1,2, , , , , , , , , , , , , , ,13,1,3,4,4,3,2,4,1, ,1,2,2,1,2,2,4,3,2,2,2,1,2,1,2, ,.71318334403313
00046,MONTREAL,H2E1B6,H2E,6,1,1,2, , , , , , , , , , , , , , ,3,1, ,2,1,2,1,4,2,0,2,3,2,1,2,2,2,1,1,1,2,2,2,1,2, ,.98007152863766
00051,L'ILE-BIZARD,H9E1P6,H9E,26,1,1,1,2, , ,3,1,2,2,2,2,1,2,2,1,2, , , ,1,3,4,1,4,3,0,1,9,2,1,3,3,1,2,3,1,2,1,2,1,1,2,2.16279574167529
00058,MONTREAL,H1V3A7,H1V,13,1,1,1,2, , ,2,1,1,2,2,2,2,1,2,1,2, , , ,2,1,4,2,4,4,2,1,6,2,1,1,1,2,1,3,2,2,1,2,1,1,1,.98007152863766
00061,MONTREAL,H1X2K2,H1X,4,1,1,2, , , , , , , , , , , , , , ,1, , ,9,1,2,1,4,3,1,1,6,1,1,2,2, ,1,1,1,2,1,1,1,2, ,2.30148156975812
00072,SAINT-MICHEL,H2E,H2E,6,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,2,4,2,0,1,3,2,1,2,2,3,1,1,2,2,1,2,1,2, ,.76672607558491
00078,MONTREAL-NORD,H1G1L1,H1G,14,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,4,1,4,1, ,2,1,2,1,1,1,4,3,3,1,2,2,2,1,2, ,.71318334403313
