annee,organisme,site_internet
2016,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://alpha-montreal.com
2016,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2016,"Association de développement des arts martiaux adaptés, ADAMA",https://adamacanada.org/
2016,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2016,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
2016,"Association québécoise des personnes aphasiques, AQPA",http://aphasie.ca
2016,Association Québécoise des Traumatisés Crâniens,http://www.aqtc.ca
2016,"Association Sportive des Sourds du Québec, ASSQ",http://www.assq.org/
2016,"Autisme Montréal, ATEDM",http://www.autisme-montreal.com
2016,Centre communautaire Radisson,http://centreradisson.com
2016,"Centre d'intégration à la vie active, CIVA ",https://civa.qc.ca/
2016,Centre de jour Maison l'Échelon Inc.,http://maisonechelon.ca
2016,Centre polyvalent d'activités action,http://www.centreaction.org
2016,Centre Viomax,http://viomax.ca
2016,Club des AS,http://www.clubdesas.com/
2016,Compagnons de Montréal,http://www.compagnonsdemontreal.com
2016,Corporation l'Espoir,http://corporationespoir.org
2016,Espace multisoleil,http://www.espacemultisoleil.org
2016,La Gang à Rambrou,http://rambrou.ca
2016,La Joie des Enfants,https://www.arrondissement.com/montreal/joiedesenfantsmontreal
2016,Olympiques spéciaux Québec (section sud-ouest de l’Ile),http://www.olympiquesspeciauxquebec.ca/
2016,Regroupement pour la Trisomie 21,https://trisomie.qc.ca/
2016,Société canadienne de la sclérose en plaques (section Montréal),https://scleroseenplaques.ca/chapter/section-montreal
2016,Théâtre Aphasique,http://www.theatreaphasique.org
2016,Troupe «Atout-cœur»,http://www.troupe-atoucoeur.fr
2017,"L'ami du déficient mental, ADMI-Montréal",http://admi-montreal.org
2017,"Association d'Entraide des Personnes Handicapées Physiques de Montréal, ALPHA",http://www.alpha-montreal.com
2017,"Association de Montréal pour la déficience intellectuelle, AMDI",http://www.amdi.info
2017,"Association de développement des arts martiaux adaptés, ADAMA",https://adamacanada.org/
2017,"Association du Québec pour enfants avec problèmes auditifs – Montréal régional, AQEPA",https://aqepa.org/
2017,"Association québécoise de voile adaptée, AQVA  ",http://www.aqva.org
