"date","contractant","nature","montant","no-reference"
"2012-01-01","SOC EN COMMANDITE DU MOULIN","Location de bÃ¢timent","9743,14",""
"2012-01-04","CONSTRUCTION ARCTIC BELUGA INC","Travaux de construction","547790",""
"2012-01-04","L V M INC","Services de laboratoire","10465,67",""
"2012-01-04","RAYMOND CHABOT GRANT THORNTON","Honoraires professionnels","66500",""
"2012-01-05","ENTREPRISES JEAN YVES FOURNIER INC","Ãquipements et outillages","9000",""
"2012-01-05","CENTRE DE L AUTO METROPOLITAIN","Entretien du matÃ©riel roulant","2183,66",""
"2012-01-05","CENTRE DE L AUTO METROPOLITAIN","Entretien du matÃ©riel roulant","2168,13",""
"2012-01-05","ENTREPRISES JACLUC INC","Location matÃ©riel spÃ©cialisÃ©","14770,8",""
"2012-01-05","HANSON CONDUITE SOUS PRESSION INC","RÃ©paration d'Ã©quipement","4457",""
"2012-01-05","SIGNALISATION KALITEC INC","Ãquipement de signalisation","4440",""
"2012-01-05","TECHNO FEU INC","Entretien d'Ã©quipements","2107,76",""
"2012-01-05","ENTREPRISES GASPARD INC","Location de matÃ©riel spÃ©cialisÃ© ","2378,63",""
"2012-01-05","ENTREPRISES GASPARD INC","Location de matÃ©riel spÃ©cialisÃ© ","9267,63",""
"2012-01-05","ENTREPRISES GASPARD INC","Entretien des terrains","12422,42",""
"2012-01-05","MEDIAS TRANSCONTINENTAL S E N C","Publication d'avis public","3219,26",""
"2012-01-06","M P REPRODUCTIONS INC","Impression de panneaux et d'affiches","2442,42",""
"2012-01-06","IMPRIMERIE H F D INC","Enveloppes","2698",""
"2012-01-06","PRODUITS PERFORMANTS GENERAL CHEMICAL LTEE","Produits chimiques","1407435",""
"2012-01-09","EBSCO CANADA LTEE","Volumes","2562,54",""
"2012-01-09","ONTOR LIMITED","Ãquipement industriel","3520",""
"2012-01-09","LIBRAIRIE IMAGINE","Volumes","2673,85",""
"2012-01-09","SERV DOCUMENTAIRES MULTIMEDIA INC","Frais d'accÃ¨s","3982",""
"2012-01-09","DANILIDIS KONSTANTINOS ET MICHAILIDIS DESPINA","Terrain","585000",""
"2012-01-09","DJANOGLY GEULA ET REBECCA","Terrain","485000",""
"2012-01-09","IMMEUBLES 4 B INC","Terrain","111480",""
"2012-01-09","LE MARCHE PUBLIC 440 LTEE","Terrain","222500",""
"2012-01-09","MARKETING TRANSMONTAIGNE CANADA INC","DiÃ©sel clair","1498720",""
"2012-01-09","SUCCESSION MADELEINE BIGRAS ET AL","Terrain","118670",""
"2012-01-10","S O F I Q","Formation","3600",""
"2012-01-10","IMPRIMERIE H F D INC","Impression","3949",""
"2012-01-10","COLMATEC INC","Services spÃ©cialisÃ©s","2062,91",""
"2012-01-10","REPARATIONS MOTEURS ELECTRIQUES TROIS ETOILES INC","Entretien des Ã©quipements","2500",""
"2012-01-10","USI POMPES INC","Entretien d'Ã©quipements","5541,5",""
"2012-01-10","DEVEAU BOURGEOIS GAGNE HEBERT & ASSOCIES","Honoraires professionnels","5000",""
"2012-01-10","DEVEAU BOURGEOIS GAGNE HEBERT & ASSOCIES","Honoraires professionnels","5000",""
"2012-01-10","SOLUTIONS ZOOM INC","Ameublement","4178,54",""
"2012-01-10","SOLUTIONS ZOOM INC","Ameublement","3310,45",""
"2012-01-10","TECHNO FEU INC","Entretien d'Ã©quipements","8664,1",""
"2012-01-10","BELANGER SAUVE EN FIDEICOMMIS","RÃ©clamation","310000",""
"2012-01-11","ASS POUR LA PROTECTION DU BOISE STE DOROTHEE","Subvention","10000",""
"2012-01-11","GROUPE KATRIO","Articles promotionnels","10844,96",""
"2012-01-11","LAFERRIERE ET GRAVEL","Honoraires professionnels","3500",""
