NODENUM,TYPE_NOEUD,X,Y,GEOMETRY
7537,,298587.755,5040383.649,POINT(-73.57949575671788 45.50334666865722)
7538,,270151.188,5032449.500,POINT(-73.94282195913104 45.4311206389542)
7540,Même id_voie,275382.857,5031224.645,POINT(-73.8758881190921 45.420338592085194)
7541,Boucle,275374.889,5031192.081,POINT(-73.87598798600028 45.42004523416279)
7542,Boucle,276130.427,5031430.524,POINT(-73.86634795468544 45.42222220364582)
7543,Même id_voie,276101.335,5031455.937,POINT(-73.86672117335294 45.42244968642703)
7544,Cul de sac,270961.721,5034935.456,POINT(-73.93263434943891 45.45352962942759)
7545,,270657.611,5034710.699,POINT(-73.93650678823383 45.451492417674004)
7546,Pont,270627.132,5034582.723,POINT(-73.93688755160812 45.45033936872337)
7547,Même id_voie,273292.188,5033944.987,POINT(-73.90277583085005 45.44472606570796)
7548,Boucle,273293.516,5033903.523,POINT(-73.90275620037013 45.44435302004838)
7549,,297679.017,5039265.118,POINT(-73.59110828702988 45.49327296521917)
7550,Limite ville,297499.765,5039111.300,POINT(-73.59339940739012 45.491886991758186)
7551,,298760.095,5040134.972,POINT(-73.57728732698564 45.50111048120849)
7552,,298510.569,5040297.222,POINT(-73.58048236775879 45.50256827043743)
7553,Même id_voie,273393.009,5033243.374,POINT(-73.90144225968795 45.43841727273229)
7554,Boucle,273368.807,5033256.951,POINT(-73.9017524675177 45.43853835294696)
7555,,293091.996,5043473.916,POINT(-73.6498965393801 45.53108346566619)
7556,Réservé,296857.785,5039844.561,POINT(-73.60162477190069 45.49847817745695)
7558,MTQ,298733.601,5038758.272,POINT(-73.57760932880998 45.48872210607729)
7559,,294279.335,5032273.871,POINT(-73.63445525949193 45.430319460297774)
7560,,294218.150,5032277.386,POINT(-73.63523728389391 45.43035016698201)
7561,Boucle privée,273945.796,5031993.220,POINT(-73.89429839644447 45.427192590506266)
7562,,299297.372,5039391.044,POINT(-73.57040393073635 45.4944207405339)
7563,Même id_voie,274682.019,5032978.828,POINT(-73.88495041378405 45.43609351756397)
7564,Boucle,274742.730,5033076.043,POINT(-73.88418039483665 45.436970903830975)
7565,,293295.162,5039086.366,POINT(-73.6471924889428 45.49160597319095)
7571,,292354.950,5039812.989,POINT(-73.65923990347036 45.49812829179102)
7572,,293213.592,5040286.035,POINT(-73.64826441042406 45.5023997383591)
7573,,293020.416,5040153.842,POINT(-73.65073318667403 45.50120697754702)
7574,,289743.682,5043166.308,POINT(-73.6927550386602 45.52825121356256)
7575,,293155.780,5040323.903,POINT(-73.64900509275826 45.50273952720182)
7576,,293006.301,5040221.225,POINT(-73.65091542345456 45.50181307835371)
7577,,293938.213,5032138.407,POINT(-73.6388118294805 45.429095265894254)
7578,,297478.050,5048461.178,POINT(-73.59381701632498 45.57602041928828)
7579,,292207.074,5040041.467,POINT(-73.66113790062039 45.50018157325141)
7580,,292186.647,5040016.394,POINT(-73.66139864116846 45.49995558871909)
7581,Boucle,275976.802,5032573.695,POINT(-73.86837788494078 45.43250255722593)
7582,,293566.565,5031955.435,POINT(-73.64355724920853 45.42744292290718)
7583,,293571.732,5031983.775,POINT(-73.6434918618299 45.42769802307545)
7584,,297746.839,5048503.940,POINT(-73.5903736125153 45.57640798120622)
7585,Même id_voie,289879.971,5042912.254,POINT(-73.69100249967374 45.525968076444016)
7586,,289775.177,5042955.063,POINT(-73.69234535160815 45.52635103550807)
7587,,305173.442,5057976.100,POINT(-73.4952077521042 45.66167646059484)
7588,,305001.536,5058015.675,POINT(-73.49741374404599 45.66203263476504)
7589,,295018.519,5038546.240,POINT(-73.62513320970146 45.486771975484814)
7590,,295173.626,5038563.467,POINT(-73.62314928983794 45.48692914390521)
7591,,289800.670,5042723.069,POINT(-73.69201189413836 45.52426402264599)
7592,,289650.927,5042816.524,POINT(-73.69393168352755 45.525101723394144)
7593,,293967.584,5051734.733,POINT(-73.63886954639968 45.60543094022022)
7594,Cul de sac,293810.680,5051899.065,POINT(-73.64088472172244 45.60690717612841)
7595,,296071.158,5036213.906,POINT(-73.6116255165267 45.4657985216471)
7597,,268508.836,5030926.286,POINT(-73.9636987979781 45.41733106453427)
7599,Même id_voie,276362.965,5032604.737,POINT(-73.86344438093055 45.43279769743052)
7600,Boucle,276330.877,5032601.047,POINT(-73.86385425916558 45.43276319059404)
7601,,294716.983,5032614.420,POINT(-73.62886905817456 45.43339034414486)
7602,,294623.939,5032510.828,POINT(-73.63005609109486 45.43245682185406)
7603,,299322.583,5056555.363,POINT(-73.57027371906425 45.64887088725695)
7604,,299464.277,5056567.920,POINT(-73.56845596707687 45.64898497771716)
7605,Même id_voie,276334.225,5032690.533,POINT(-73.86381665089826 45.4335685472808)
7606,Boucle,276301.505,5032679.695,POINT(-73.86423420066603 45.433469693517445)
7607,,295923.288,5036253.448,POINT(-73.61351721096379 45.46615248194358)
7608,Même id_voie,298075.865,5048383.415,POINT(-73.58615608070285 45.57532671791311)
7612,,295774.237,5037270.946,POINT(-73.615441991817 45.47530648775987)
7613,,299223.556,5056688.182,POINT(-73.57154572292843 45.65006522905476)
7614,,299137.957,5056939.805,POINT(-73.57264688817837 45.65232868362014)
7615,Passage MTQ,296131.006,5037054.270,POINT(-73.61087500479748 45.47336126089035)
7617,,296937.996,5032937.430,POINT(-73.60048793622985 45.43632545569694)
7618,,296750.366,5032726.385,POINT(-73.60288266791396 45.43442422752191)
7619,Même id_voie privée,269514.912,5030154.798,POINT(-73.95078915357307 45.410440450833654)
7620,,269531.506,5030251.051,POINT(-73.95058404827697 45.41130740040737)
7622,Même id_voie,276849.783,5032166.364,POINT(-73.85719775171455 45.42887268567437)
7623,Boucle,276862.547,5032134.902,POINT(-73.85703284874226 45.42859008840062)
7625,,293263.505,5043680.392,POINT(-73.64770559554735 45.532944270132724)
7626,,296332.740,5035822.945,POINT(-73.60827365478686 45.462283692058634)
7627,Même id_voie,277100.808,5031975.507,POINT(-73.85397903379669 45.4271652652749)
7628,Boucle,277139.815,5031940.614,POINT(-73.85347860688057 45.4268528251227)
7629,,293316.216,5043753.119,POINT(-73.64703242655759 45.53359956396322)
7631,,300745.190,5057692.521,POINT(-73.55203155401773 45.65911301307126)
7632,,300626.308,5057779.992,POINT(-73.55355780556717 45.65989939208924)
7633,,290770.337,5042230.474,POINT(-73.67958479414796 45.519851667956765)
7634,,290698.322,5042187.524,POINT(-73.6805053719922 45.51946373552063)
7635,Même id_voie,276931.842,5032976.884,POINT(-73.85619495824697 45.43616931293744)
7636,Boucle,276881.990,5032993.380,POINT(-73.8568330568803 45.43631575918375)
7637,Boucle,277340.439,5033572.921,POINT(-73.85100586063699 45.4415488381768)
7638,Même id_voie,276217.029,5033170.577,POINT(-73.86534235434151 45.43788337525507)
7639,Boucle,276246.621,5033179.333,POINT(-73.86496463362491 45.4379633761851)
7640,,300440.539,5057773.364,POINT(-73.55594157691816 45.659838609769594)
7641,,300412.379,5058008.987,POINT(-73.55630505726047 45.66195860951863)
7643,,284747.536,5040467.704,POINT(-73.75660608514119 45.503842475143365)
7644,,284478.456,5040914.610,POINT(-73.76006791204838 45.50785609722323)
7645,Boucle,277266.839,5033787.712,POINT(-73.85195865992354 45.443478706741445)
7646,Même id_voie,277232.058,5033810.695,POINT(-73.85240454751337 45.4436841462314)
7647,Boucle,276744.910,5033976.850,POINT(-73.85864117340873 45.44515988619584)
7648,,270692.178,5029548.353,POINT(-73.93570733012866 45.405041830878424)
7649,,270597.813,50295190000,POINT(-73.93691071613667 45.40477309854005)
7650,,287449.096,5039386.342,POINT(-73.7219969761582 45.494184409285644)
7651,Même id_voie privée,270566.781,5029612.500,POINT(-73.93731360975765 45.40561292472311)
7652,Même id_voie,304290.262,5058320.273,POINT(-73.50654164647801 45.66477330333487)
7653,,298116.637,5036482.126,POINT(-73.58547135853146 45.468234664091554)
7654,,298330.339,5057032.394,POINT(-73.5830102607188 45.653154757846664)
7655,,287879.348,5042590.936,POINT(-73.71660271338217 45.523031057982536)
7656,,287734.217,5042721.416,POINT(-73.71846507317981 45.52420162051665)
7657,,270704.234,5029590.315,POINT(-73.93555622798782 45.405420005932065)
7658,,300401.743,5057852.906,POINT(-73.55644013472049 45.66055409792826)
7659,Même id_voie,277626.499,5033096.155,POINT(-73.84732300328582 45.43726990110086)
7660,Boucle,277589.645,5033134.589,POINT(-73.84779616873436 45.43761430840906)
7661,Boucle,278979.455,5034651.247,POINT(-73.83011185135473 45.451314473520505)
7662,Même id_voie,278952.821,5034622.182,POINT(-73.83045082496334 45.45105194751358)
7663,,296627.887,5034145.389,POINT(-73.60447163033368 45.44719173384657)
7664,Limite ville,296493.265,5034141.569,POINT(-73.60619256605582 45.44715577257156)
7665,,289317.531,5039936.768,POINT(-73.69810871430155 45.49918131020859)
7666,,289373.193,5039886.708,POINT(-73.69739490870771 45.49873208481644)
7667,,297516.714,5034247.269,POINT(-73.59311046569476 45.44811833059323)
7668,,297588.998,5033993.274,POINT(-73.59218265835862 45.44583350245042)
7669,,271125.682,5032926.221,POINT(-73.93040059937236 45.435457916535114)
7670,,271860.082,5032044.126,POINT(-73.92095528695349 45.4275555409345)
7671,Boucle,279819.542,5034659.730,POINT(-73.81937205633498 45.451421342565666)
7672,,279732.953,5034612.966,POINT(-73.82047668919715 45.45099743790597)
7673,Même id_voie,272159.764,5032188.757,POINT(-73.91713519225094 45.42887102486944)
7674,,272093.307,5032213.263,POINT(-73.91798610328067 45.4290884327146)
7675,,287780.363,5037785.037,POINT(-73.71770308746 45.47978340136935)
7676,,294589.876,5043059.633,POINT(-73.63071073338612 45.52737915040312)
7677,,294346.510,5043159.687,POINT(-73.63382844551086 45.52827586233325)
7678,,301026.711,5034718.975,POINT(-73.54824185525057 45.45239074358466)
7679,Même id_voie,300980.208,5034682.620,POINT(-73.54883611678164 45.452063353580186)
7680,,298034.851,5034599.310,POINT(-73.58649138707321 45.451291378625356)
7681,,297797.447,5034620.075,POINT(-73.58952685257287 45.45147589397461)
7682,Change id_voie même ville,298462.690,5037458.621,POINT(-73.58105839867831 45.47702484764808)
7683,,298361.897,5037604.449,POINT(-73.58234952092491 45.47833615558735)
7684,,285838.895,5040769.976,POINT(-73.74265207112933 45.50659294344858)
7685,,287234.042,5038723.057,POINT(-73.72472473657194 45.48821053855836)
7686,,286981.476,5038695.861,POINT(-73.7279548501454 45.487959416259265)
7687,,301019.903,5034736.189,POINT(-73.54832903393505 45.452545603715194)
7688,Boucle,279664.930,5033283.133,POINT(-73.82127839635753 45.43902865426364)
7689,Même id_voie,279643.081,5033253.820,POINT(-73.8215561795346 45.438764100165855)
7690,,287943.579,5040210.634,POINT(-73.71569865300273 45.50161381756991)
7692,,301764.122,5038587.354,POINT(-73.53883788777782 45.48720387032212)
7694,Même id_voie,301608.447,5038701.125,POINT(-73.54083017208076 45.488226938747495)
7697,,273278.685,5032224.846,POINT(-73.90283829456438 45.42924709003891)
7698,,301495.961,5038701.184,POINT(-73.54226922785303 45.488226946217324)
7699,,300885.666,5038911.558,POINT(-73.55007852785756 45.49011682994427)
7701,,303847.237,5050959.111,POINT(-73.51221274700256 45.59853543279915)
7702,,303613.931,5051053.651,POINT(-73.51520354949245 45.59938577116897)
7703,,299499.119,5039387.768,POINT(-73.567822624801 45.49439282341075)
7707,Même id_voie,283260.239,5036701.775,POINT(-73.7754731994512 45.46991098552045)
7708,Boucle,283269.042,5036744.747,POINT(-73.77536250172331 45.47029793617796)
7709,,286016.257,5038470.576,POINT(-73.74029430412864 45.48590690788315)
7710,,291865.804,5042023.364,POINT(-73.66555701975852 45.518009204007875)
7711,,291768.331,5042063.206,POINT(-73.66680571681205 45.51836589791935)
7712,,271062.387,5029571.940,POINT(-73.93097987748769 45.405272016029386)
7713,,270853.563,5029550.134,POINT(-73.9336459139867 45.405065702215076)
7714,,271305.871,5030076.611,POINT(-73.9279038742532 45.409824905617306)
7715,,291195.039,5043327.590,POINT(-73.67417894013924 45.529732322522655)
7716,,291135.761,5043480.218,POINT(-73.6749421047634 45.53110455885975)
7717,Même id_voie,291727.272,5043352.422,POINT(-73.66736566637545 45.52996595689049)
7718,,291698.718,5043186.624,POINT(-73.66772679766736 45.528473512236395)
7720,,295744.507,5046402.612,POINT(-73.61599093873208 45.55747640120126)
7723,,295375.766,5046127.266,POINT(-73.62070879099716 45.55499385473077)
7724,Boucle,284624.323,5034082.340,POINT(-73.75792055135277 45.44638097506655)
7725,Même id_voie,284618.197,5034049.661,POINT(-73.75799752030461 45.4460867372145)
7726,Même id_voie,285723.989,5033428.047,POINT(-73.74383747915566 45.44052423239972)
7727,Boucle,285751.413,5033429.971,POINT(-73.74348701000369 45.44054228800811)
7728,,271473.607,5029578.303,POINT(-73.92572733978251 45.40534897213035)
7729,Même id_voie,271482.320,5029678.795,POINT(-73.92562282949139 45.406253647642295)
7730,,271443.477,5029711.756,POINT(-73.92612125068256 45.406548392369345)
7731,,271705.037,5030341.838,POINT(-73.92282228152638 45.41223049562028)
7732,,271573.855,5030118.137,POINT(-73.92448314151207 45.41021134438879)
7733,,298980.729,5037334.441,POINT(-73.57443086867917 45.47591193279208)
7734,,271649.760,5029948.021,POINT(-73.9235019979674 45.40868418372035)
7735,,271631.951,5030022.604,POINT(-73.92373453033724 45.409354459196294)
7736,,271810.464,5030095.873,POINT(-73.92145892193543 45.41002219573228)
7737,,271580.549,5030351.517,POINT(-73.9244133526397 45.4123116920027)
7738,,294021.056,5048084.766,POINT(-73.6381034801789 45.572588392046825)
7739,,294132.516,5048115.981,POINT(-73.63667609714486 45.57287098837169)
7740,,271967.208,5030595.444,POINT(-73.91948976182987 45.41452487585495)
7741,,271716.055,5030528.052,POINT(-73.92269401881816 45.41390663113091)
7742,,294645.970,5035237.417,POINT(-73.62983078927313 45.45699235247926)
7746,,272573.378,5030102.447,POINT(-73.91171297043232 45.41011690063411)
7747,,294702.023,5035282.166,POINT(-73.62911500991069 45.45739583353478)
7749,,294708.416,5035273.681,POINT(-73.62903309817813 45.457319572671445)
7750,Même id_voie,274822.493,5034218.425,POINT(-73.88323050263756 45.44725385099934)
7751,Même id_voie,274806.050,5034234.483,POINT(-73.88344168221862 45.447397637165174)
7752,,295216.058,5047933.802,POINT(-73.62278978298647 45.57124744952444)
7753,,295086.879,5048013.822,POINT(-73.62444641972476 45.571965707082704)
7754,,300209.447,5039718.859,POINT(-73.55873736825878 45.4973771594028)
7757,,284951.286,5038989.034,POINT(-73.75393896295321 45.490542710802075)
7758,Change id_voie même ville,285638.259,5039132.142,POINT(-73.74515569444468 45.49184964505545)
7759,,285608.928,5039149.784,POINT(-73.74553164281586 45.49200759160186)
7761,,299827.141,5049692.821,POINT(-73.56373039464401 45.587123866573975)
7762,,299800.291,5049740.719,POINT(-73.56407498485117 45.58755467424667)
7763,,296971.459,5037390.383,POINT(-73.6001311217986 45.476395685825786)
7767,,272960.887,5030606.209,POINT(-73.90679499525757 45.41466766500297)
7769,Voie ferrée,301113.736,5047410.317,POINT(-73.5472246375872 45.566593195643186)
7770,,272855.144,5030586.142,POINT(-73.90814470047077 45.41448226902773)
7771,,272670.721,5030544.487,POINT(-73.91049821206488 45.41409900535916)
7772,,291164.613,5039709.093,POINT(-73.674467835213 45.49717114679944)
7773,,291026.683,5039606.757,POINT(-73.67622980456903 45.49624757808944)
7775,Réservé MTQ,297702.919,5037844.708,POINT(-73.59078194405998 45.480491728152785)
7776,,299847.384,5042165.614,POINT(-73.56339476973848 45.51939160338783)
7777,,299710.335,5042291.516,POINT(-73.56515033885144 45.52052353263049)
7778,,299598.747,5041179.230,POINT(-73.5665669203806 45.51051390977395)
7779,,299551.721,5041103.256,POINT(-73.56716795717361 45.509829912055764)
7780,Même id_voie,301944.062,5048890.920,POINT(-73.53659601024322 45.57992003587377)
7781,Boucle,301955.032,5048915.053,POINT(-73.53645557334305 45.580137236280166)
7782,,298156.020,5038563.406,POINT(-73.5849958571027 45.48696335591846)
7783,,298003.857,5038432.077,POINT(-73.58694064496665 45.485780133955465)
7784,,301236.116,5038867.222,POINT(-73.54559468099976 45.4897197523389)
7786,Cul de sac,301345.014,5045338.312,POINT(-73.54424710681408 45.54794976999895)
7787,,301155.412,5045427.296,POINT(-73.5466759517471 45.54874951627158)
7788,,272675.892,5030814.933,POINT(-73.91044977032757 45.41653280567923)
7789,Change id_voie même ville,272616.979,5031073.618,POINT(-73.9112193779947 45.4188578321993)
7790,,272823.416,5031342.559,POINT(-73.90859914664786 45.42128731833281)
7791,,272723.894,5031104.802,POINT(-73.90985533416824 45.419143346118176)
7792,Même id_voie,302128.180,5046823.007,POINT(-73.53422541690125 45.56131302148737)
7793,Boucle,302144.223,5046856.034,POINT(-73.5340200897072 45.56161026462494)
7794,,303490.623,5057082.805,POINT(-73.51680036343768 45.653637291571634)
7795,,303493.528,5057097.086,POINT(-73.51676312828322 45.65376580021982)
7796,,285116.169,5038981.187,POINT(-73.75182920133727 45.49047677060497)
7799,,278849.656,5040360.257,POINT(-73.83207288206965 45.50268116341473)
7800,,300362.549,5044239.960,POINT(-73.55681931763998 45.53806083693935)
7801,,300138.882,5044352.993,POINT(-73.55968433507479 45.53907648919269)
7802,,301388.573,5038824.938,POINT(-73.54364392349261 45.48934002379268)
7804,Même id_voie,301529.505,5038754.770,POINT(-73.54184044990092 45.4887092951976)
7805,,291192.425,5039662.152,POINT(-73.67411067435806 45.496749295948334)
7806,,294668.139,5052351.125,POINT(-73.62990139282415 45.61098795202415)
7807,,294611.967,5052406.984,POINT(-73.63062273827312 45.61148976037057)
7808,,293719.370,5047577.972,POINT(-73.64195728138509 45.56802337243751)
7809,,293776.774,5047595.390,POINT(-73.64122226154502 45.56818101542745)
7810,,300507.672,5041135.267,POINT(-73.55493389488454 45.51012449893675)
7811,,273514.471,5031312.943,POINT(-73.89976712996565 45.42105207236285)
7812,,273577.694,5031629.148,POINT(-73.89897932879443 45.42390021379019)
7813,,273210.827,5031059.429,POINT(-73.90363075309403 45.4187572228547)
7814,,273151.381,5031336.614,POINT(-73.9044081093558 45.42124873722108)
7815,,296951.385,5039522.709,POINT(-73.60042196506322 45.49558307529041)
7816,,296887.885,5039520.543,POINT(-73.6012344027614 45.495562867546404)
7817,,285180.984,5039033.102,POINT(-73.75100206011467 45.49094574571008)
7819,,300558.380,5043349.650,POINT(-73.55430409122175 45.530050714415125)
7820,,300626.221,5043470.116,POINT(-73.55343656642106 45.53113511733112)
7821,,294613.805,5052489.794,POINT(-73.63060090307046 45.6122349300007)
7822,,294699.901,5052567.401,POINT(-73.62949863988932 45.612934515484774)
7823,,285082.455,5039024.597,POINT(-73.75226226799083 45.49086643781372)
7824,,300403.896,5043584.143,POINT(-73.55628400323037 45.53215981163676)
7825,,300291.649,5043683.739,POINT(-73.55772203507827 45.53305529706146)
7826,,285153.606,5039386.884,POINT(-73.75136649337367 45.49412843312662)
7827,,285421.587,5039317.065,POINT(-73.74793506772123 45.493507674104364)
7828,,300871.795,5044143.467,POINT(-73.55029790852784 45.537195614245164)
7829,,300643.502,5044258.707,POINT(-73.55322201721111 45.53823126210638)
7830,,300420.154,5044371.947,POINT(-73.55608289576033 45.5392488692448)
7831,,296300.997,5039554.623,POINT(-73.60874413251777 45.495862630898664)
7832,,296302.936,5039567.672,POINT(-73.60871954959127 45.49598007294042)
7833,,296177.132,5039555.175,POINT(-73.61032898256786 45.49586608146002)
7834,,295794.233,5039511.577,POINT(-73.615227330249 45.49546893219888)
7835,,297549.126,5049873.625,POINT(-73.59292727950236 45.58873077311457)
7836,Boucle,297487.209,5049944.167,POINT(-73.59372186547853 45.58936488145559)
7837,Passage,285283.079,5039921.667,POINT(-73.74973122614388 45.49894423386371)
7838,,273591.411,5030488.995,POINT(-73.89873183528532 45.413641333706686)
7839,,295624.732,5039441.911,POINT(-73.61739476642661 45.49483983704941)
7840,,273799.092,5030623.687,POINT(-73.89608696273169 45.41486257357348)
7842,Limite ville,284786.308,5040333.661,POINT(-73.75610446616146 45.50263742413736)
7843,Même id_voie,295026.794,5053821.672,POINT(-73.62533253112335 45.62422540049889)
7844,Boucle,295054.372,5053833.057,POINT(-73.62497909868404 45.62432823489479)
7845,,285990.038,5039726.497,POINT(-73.74067784831729 45.49720744073355)
7846,,300551.465,5044063.794,POINT(-73.55439881633049 45.536476807301085)
7847,,300332.431,5044174.874,POINT(-73.55720436936319 45.537474976507156)
7848,Même id_voie,286778.718,5041375.485,POINT(-73.73064716805972 45.5120664373932)
7849,,300113.871,5044285.500,POINT(-73.56000394790352 45.5384689945126)
7850,,301087.899,5043349.703,POINT(-73.54752483302842 45.53005420996014)
7851,,300976.077,5043417.386,POINT(-73.54895698191838 45.53066264299526)
7853,,300181.888,5043897.530,POINT(-73.55912935978294 45.534978350217294)
7854,,300774.390,5043951.195,POINT(-73.55154353004937 45.53546492293108)
7855,,300810.677,5044013.498,POINT(-73.55107942247176 45.536025757379115)
7857,,301196.984,5042763.545,POINT(-73.54612394250935 45.52478030488092)
7858,,300756.188,5045148.451,POINT(-73.55178647602658 45.546238166124944)
7859,,300478.694,5045267.441,POINT(-73.55534121062202 45.547307214328306)
7860,,295135.806,5037777.883,POINT(-73.62361765537732 45.47985959049818)
7861,,295148.333,5037774.293,POINT(-73.62345734852155 45.4798274593709)
7862,,295064.779,5037707.459,POINT(-73.62452478535077 45.479224897114065)
7864,,300821.773,5045301.045,POINT(-73.55094781221709 45.54761163912268)
7865,,300495.140,5045441.103,POINT(-73.55513212111659 45.548869988461675)
7866,,274535.789,5031391.088,POINT(-73.88672181508502 45.42180017424231)
7867,,274243.981,5031360.124,POINT(-73.8904485845469 45.42150886232585)
7868,,301198.894,5044786.998,POINT(-73.5461143675086 45.54298811328296)
7869,,300929.268,5044902.091,POINT(-73.54956800036757 45.544022317679996)
7870,,301098.885,5044569.773,POINT(-73.54739340405845 45.5410329166928)
7871,,300833.624,5044682.971,POINT(-73.55079103191294 45.542050053981605)
7872,,301595.498,5044864.576,POINT(-73.54103612065336 45.54368811915831)
7873,,301443.063,5044930.324,POINT(-73.54298861677164 45.54427902831928)
7874,,300859.687,5045389.114,POINT(-73.55046296969137 45.54840433082376)
7875,,300502.146,5045538.196,POINT(-73.55504324843022 45.54974370880792)
7877,,301215.122,5044427.366,POINT(-73.5459039313566 45.53975209523368)
7878,,294702.002,5037802.680,POINT(-73.62916707070906 45.4800765851562)
7879,Même id_voie,294709.312,5037759.045,POINT(-73.62907267380345 45.479684047339596)
7880,,290918.946,5038636.040,POINT(-73.67758083891722 45.487510538527836)
7881,,300629.786,5044855.907,POINT(-73.55340273134645 45.54360500119617)
7882,,300369.438,5044966.611,POINT(-73.55673768389995 45.544599551895864)
7883,,275241.914,5031391.994,POINT(-73.8776990665079 45.421838517747986)
7884,,301397.759,5045249.223,POINT(-73.54357099931843 45.54714837499393)
7885,,301128.032,5045364.445,POINT(-73.54702613948966 45.54818382042244)
7886,,294248.380,5037667.469,POINT(-73.63496658976642 45.478853188142054)
7887,,294111.321,5037625.312,POINT(-73.63671879965972 45.47847175592062)
7888,Même id_voie,300838.629,5044811.619,POINT(-73.55072797666566 45.54320770220631)
7889,,300669.550,5044838.999,POINT(-73.55289338195219 45.54345309852026)
7890,,293751.135,5037568.495,POINT(-73.64132464617003 45.47795488185168)
7891,,287543.981,5042671.349,POINT(-73.7208985696213 45.52374641781771)
7892,,287386.588,5042599.114,POINT(-73.72291081408858 45.523092509518996)
7893,,293761.032,5037576.317,POINT(-73.64119822857919 45.478025426695794)
7894,,276015.547,5031833.432,POINT(-73.8678394383162 45.42584299779249)
7895,,293205.502,5042770.797,POINT(-73.64842669090301 45.524758443403364)
7896,,293091.456,5042915.460,POINT(-73.64989010541603 45.52605826765788)
7897,Même id_voie,276312.162,5032010.625,POINT(-73.86405929413112 45.42744959112156)
7898,Même id_voie,276335.783,5032091.204,POINT(-73.86376208742817 45.42817563545431)
7899,,287717.929,5042588.159,POINT(-73.7186689342723 45.52300212632702)
7900,,287731.483,5042603.172,POINT(-73.718495954081 45.52313755412171)
7901,,276433.031,5031992.486,POINT(-73.862513636787 45.42729128389448)
7902,Change id_voie même ville,276338.805,5031936.666,POINT(-73.86371454102101 45.42678516702441)
7904,,294104.694,5037718.234,POINT(-73.63680559244739 45.479307804355585)
7905,Réservé,292618.512,5035893.766,POINT(-73.65577031356031 45.46286607919881)
7907,,292465.326,5035760.030,POINT(-73.65772581065136 45.461659973015074)
7910,,276418.326,5031789.793,POINT(-73.8626898742149 45.42546678053504)
7912,Même id_voie,276164.384,5031822.523,POINT(-73.86593683975636 45.42575094711765)
7913,,276025.676,5032230.760,POINT(-73.86773321560418 45.42941871987744)
7914,Même id_voie,276160.226,5031732.042,POINT(-73.86598471294579 45.424936595425336)
7916,,302269.576,5046285.492,POINT(-73.53241138240742 45.556476803669256)
7917,,302120.295,5046355.210,POINT(-73.53432385501573 45.557103592355496)
7918,,293134.704,5036759.452,POINT(-73.64919009406177 45.470664728851006)
7919,,293089.506,5036681.805,POINT(-73.6497662897257 45.46996527147477)
7920,Même id_voie,292373.771,5037125.045,POINT(-73.65893105163242 45.47394137154197)
7921,,297568.248,5044205.978,POINT(-73.59259839000188 45.53773165469113)
7923,,274231.729,5033292.406,POINT(-73.89072509086743 45.43889564883678)
7924,,273898.525,5033138.661,POINT(-73.89497436130137 45.437497561016585)
7925,,274247.337,5033266.882,POINT(-73.89052400892622 45.43866666149511)
7926,,289520.727,5042498.773,POINT(-73.69558853195414 45.522239649788105)
7927,,289325.283,5042585.701,POINT(-73.69809312228314 45.52301754689878)
7928,,295111.555,5053588.873,POINT(-73.6242409234361 45.622131811447474)
7929,,295235.189,5053697.169,POINT(-73.62265761925086 45.623107998619446)
7930,,274547.882,5033362.324,POINT(-73.88668839867078 45.43953854818756)
7931,,274504.366,5033380.930,POINT(-73.88724576106779 45.439704086677864)
7932,,301974.160,5048083.487,POINT(-73.53620566093994 45.572654621784615)
7933,,301818.691,5048157.201,POINT(-73.53819803394559 45.57331727509293)
7934,,289290.339,5042434.109,POINT(-73.69853564868535 45.521652689047585)
7935,,289460.217,5042348.381,POINT(-73.69635840264206 45.520885041372075)
7936,,301827.683,5047774.849,POINT(-73.53808049877821 45.56987678798493)
7937,,301671.843,5047848.701,POINT(-73.54007754965846 45.57054064904511)
7938,,293235.877,5036872.349,POINT(-73.64789883550208 45.47168230887654)
7939,,293039.633,5036997.817,POINT(-73.6504116839191 45.47280804890631)
7940,,293046.064,5037007.720,POINT(-73.65032967049181 45.47289726880157)
7941,,275182.027,5032600.359,POINT(-73.8785369752133 45.432709280852436)
7942,,275055.587,5032842.025,POINT(-73.88016752436202 45.43487851006022)
7943,,274916.160,5032741.041,POINT(-73.881943390589 45.433963874736406)
7944,,274882.435,5032880.196,POINT(-73.88238286567352 45.43521459278142)
7945,,274637.580,5033412.996,POINT(-73.88554499310176 45.43999838695687)
7946,,274601.581,5033432.386,POINT(-73.88600632222484 45.44017131043524)
7947,,289282.457,5042615.526,POINT(-73.69864227821996 45.52328496738446)
7948,,289143.392,5042755.389,POINT(-73.70042693488773 45.52454039165775)
7951,,275131.405,5033040.519,POINT(-73.8792104643605 45.43666784499668)
7952,,305340.781,5061652.561,POINT(-73.49305625990212 45.69475770909349)
7953,,305234.157,5061537.060,POINT(-73.49442543740834 45.693718491348015)
7954,Même id_voie,275145.468,5033440.820,POINT(-73.87905483965217 45.44027048685324)
7955,,275239.948,5033249.955,POINT(-73.87783573002883 45.438557015907044)
7956,,301612.795,5046402.575,POINT(-73.54082463872726 45.557527660036875)
7957,,301350.714,5046524.207,POINT(-73.54418246882919 45.558620897178216)
7958,,299621.879,5050653.772,POINT(-73.56637114887118 45.59576927911032)
7959,,293219.869,5037883.345,POINT(-73.64812740141562 45.48077943304956)
