ï»¿OBJECTID,MUNICIPALITE,NOM,SHAPE.STArea(),SHAPE.STLength()
1,86042,Rollet,644186.576844715,4738.29821876001
2,86042,Cloutier,347793.6759371,3449.07566900612
3,86042,Arntfield,422233.1488328,3779.14203224409
4,86042,Montbeillard,510818.275770765,5021.79629566489
5,86042,Bellecombe,1111849.30255877,5240.43150147978
6,86042,Beaudry,794089.822750545,3922.76083695326
7,86042,McWatters,3525866.97564408,11711.1354443817
8,86042,Cadillac,902698.31413731,4129.60146274435
9,86042,Rouyn-Noranda,51806671.4276223,96220.6032535498
10,86042,D'Alembert,1222083.46411272,6419.59420433301
11,86042,ClÃ©ricy,704865.83302301,4353.87877291095
12,86042,Mont-Brun,546969.97879485,4206.98735374897
13,86042,Destor,510158.60100373,3244.26893162093
