TOPONYME,TENSION,ETAT,PROP_PO,SOURCE,VERSION,RESEAU,WKT
Poste Renaud,120,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 287305.82260000 5048453.84020000)
Poste de Sainte-Rose,120,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 284519.43270000 5053727.86300000)
Poste Landry,120,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 290962.05850000 5051852.68900000)
Poste de Chomedey,315,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 281184.45760000 5046870.72650000)
Poste de Duvernay,735,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 291379.28400000 5058089.70680000)
Poste de la Rivière-des-Prairies,69,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 292530.36220000 5049968.60480000)
Poste de Saint-François,120,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 294758.63710000 5059329.16830000)
Poste Plouffe,120,En exploitation,HQTE,HQTE,V2015-09-01,Relié,POINT  ( 285198.53860000 5046345.78120000)
