,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme montréalais","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Association de Loisirs des Personnes Handicapées Physiques de Montréal (Alpha)","www.alpha-montreal.com","14115 Prince-Arthur Est bureau 163 Montréal (Québec)","H1A 1A8",,,,"X",,,,,
"Association de Montréal pour la déficience intellectuelle","www.amdi.info","633 Crémazie Est bureau 100",,,,,"X",,,,,
"Coopérative de solidarité Mosaïques","mosaiques.ca","2105 rue Beaubien Est Montréal QC ","H2G 1M5",,,,,,,,"X",
"Corpuscule Danse","www.corpusculedanse.com","4848 de la Roche MTL","H2J 3J7",,,,,,"X",,,
"FADOQ  Fédération de l'âge d'or du Québec  région île de Montréal","http://www.montreal.fadoq.ca/","215-7378 rue Lajeunesse",,,,"X",,,,,,
"Théâtre aphasique","www.theatreaphasique.org","225 rue Sherbrooke Est","H2X 1C9",,"X",,,,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Ahuntsic-Cartierville","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Centre d'union multiculturelle et artistique des jeunes de Montréal (CUMAJ)","http://cumaj.chez.com/","10.125 rue Parthenais bureau 201","H2B 2L6",,,,,,"X",,"X",
"Ensemble vocal Musica Viva","www.musicaviva.qc.ca","314 rue Lippens Montréal ","H2M 1H6",,,,,,,,"X",
"Ensemble vocal Épiphanie","www.evevocal.com","4545 Salaberry Montréal ","H4J 1H5",,,,,,,,"X",
"Productions musicales Kaléidoscope","www.productionskaleidoscope.org","9961 Berri ","H3L 2G5",,,,,,,,"X",
"Loisirs Sophie Barat","www.loisirssophiebarat.ca","1239 Gouin Est",,,,,"X",,,,,
"Services des loisirs Sts-Martyrs-Canadiens de Montréal","www.loisirsstsmartyrs.com","10125 Parthenais",,,,,"X",,,,,
"Le Foyer de la danse",,"1405 rue Henri-Bourrassa bureau 005","H3M 3B2",,,,,,"X",,,
"Loisirs Christ Roi","www.loisirschristroi.com","9485 Berri Montréal QC","H2M1R3",,,,"X",,,,,
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
"Organisme Arrondissement Anjou","Site internet","Adresse","Code postal","Arts du cirque","Arts dramatiques","Arts médiatiques","Art visuels","Création littéraire","Danse","Métiers d'art","Musique",
"Comité d'animation culturelle de la bibliothèque d'Anjou","N/A","7500 avenue Goncourt",,,,,"X",,,,,
"Éveil musical Anjou","N/A","8200 Métropolitain Est ","H1K 1A1",,,,,,,,"X",
,,,,,,,,,,,,
,,,,"Disciplines",,,,,,,,
