ATTRIBUT,REFERENCE
MATERIAU_REF,Pierre concassée (Gravier)
MATERIAU_REF,Poussière de roche
MATERIAU_REF,Structure béton
MATERIAU_REF,Structure métal
POSITION_REF,Actif de voirie (1) de type pont situé au-dessus de cours d'eau ou d'autres actifs
POSITION_REF,Actif de voirie (2) de type viaduc situé au-dessus d'autres actifs
POSITION_REF,Actif de voirie (3) de type viaduc situé au-dessous d'un actif de voirie de position 2
POSITION_REF,Actif de voirie (4) de type viaduc situé au-dessous d'un actif de voirie de position 3
POSITION_REF,Actif de voirie (5) situé au sol
POSITION_REF,Actif de voirie (6) de type passage situé au-dessous d'autres actifs
POSITION_REF,Actif de voirie (7) de type tunnel situé au-dessous d'autres actifs
POSITION_REF,Actif de voirie (8) de type tunnel situé au-dessous d'un actif de voirie de position 7
POSITION_REF,Actif de voirie (9) de type tunnel situé au-dessous d'un actif de voirie de position 8
PRESENCEARBRE_REF,Inconnu
PRESENCEARBRE_REF,Non
PRESENCEARBRE_REF,Non applicable
PRESENCEARBRE_REF,Null
PRESENCEARBRE_REF,Oui
PROPRIETAIRE_REF,Ahuntsic - Cartierville
PROPRIETAIRE_REF,Anjou
PROPRIETAIRE_REF,Baie Urfé
PROPRIETAIRE_REF,Beaconsfield
PROPRIETAIRE_REF,Côte-Des-Neiges - Notre-Dame-de-Grâce
PROPRIETAIRE_REF,Côte-Saint-Luc
PROPRIETAIRE_REF,Dollard-des-Ormeaux
PROPRIETAIRE_REF,Dorval - Ile Dorval
PROPRIETAIRE_REF,Hampstead
PROPRIETAIRE_REF,Inconnu
PROPRIETAIRE_REF,Kirkland
PROPRIETAIRE_REF,Lachine
PROPRIETAIRE_REF,Lasalle
PROPRIETAIRE_REF,Mercier - Hochelaga-Maisonneuve
PROPRIETAIRE_REF,Ministère Transport Québec
PROPRIETAIRE_REF,Mont-Royal
PROPRIETAIRE_REF,Montreal-Nord
PROPRIETAIRE_REF,Montréal
PROPRIETAIRE_REF,Montréal-Est
PROPRIETAIRE_REF,Montréal-Ouest
PROPRIETAIRE_REF,Non applicable
PROPRIETAIRE_REF,Null
PROPRIETAIRE_REF,Outremont
PROPRIETAIRE_REF,Pierrefonds - Roxboro
PROPRIETAIRE_REF,Plateau - Mont-Royal
PROPRIETAIRE_REF,Pointe-Claire
PROPRIETAIRE_REF,Privé
PROPRIETAIRE_REF,Rivière-Des-Prairies - Pointe-Aux-Trembles
PROPRIETAIRE_REF,Rosemont - La Petite-Patrie
PROPRIETAIRE_REF,Saint-Laurent
PROPRIETAIRE_REF,Saint-Léonard
PROPRIETAIRE_REF,Sainte-Anne-de-Bellevue
PROPRIETAIRE_REF,Senneville
PROPRIETAIRE_REF,Société Transport Montréal
PROPRIETAIRE_REF,Sud-Ouest
PROPRIETAIRE_REF,Verdun
PROPRIETAIRE_REF,Ville-Marie
PROPRIETAIRE_REF,Villeray - St-Michel - Parc-Extension
PROPRIETAIRE_REF,Westmount
