ï»¿OBJECTID,MUNICIPALITE,TYPE,Shape.STArea(),Shape.STLength()
1,,Milieu humide inscrit au plan de gestion,4234.60988313,444.087790441577
2,,Milieu humide inscrit au plan de gestion,6467.68967447,787.625636878954
3,,Milieu humide inscrit au plan de gestion,3497.034944805,325.193300955973
4,,Milieu humide inscrit au plan de gestion,9261.68847991,483.207311196848
5,,Milieu humide inscrit au plan de gestion,4420.329441035,497.618794900091
6,,Milieu humide inscrit au plan de gestion,8010.69400107,386.282202907848
7,,Milieu humide inscrit au plan de gestion,871.11726652,183.315820086915
8,,Milieu humide inscrit au plan de gestion,3420.07342381,265.346841892327
9,,Milieu humide inscrit au plan de gestion,5699.729253075,414.745527812835
10,,Milieu humide inscrit au plan de gestion,2324.62010738,205.867918187644
11,,Milieu humide inscrit au plan de gestion,1873.33301144,194.30108739435
12,,Milieu humide inscrit au plan de gestion,2762.155777435,238.101736294276
13,,Milieu humide inscrit au plan de gestion,3674.467003015,376.243296682105
14,,Milieu humide inscrit au plan de gestion,5305.776032235,471.768918241276
15,,Milieu humide inscrit au plan de gestion,3448.0408104,437.868896560632
16,,Milieu humide inscrit au plan de gestion,8651.83526793,474.73049538322
17,,Milieu humide inscrit au plan de gestion,9160.748519075,490.736799926308
18,,Milieu humide inscrit au plan de gestion,6051.69003333,565.583095288058
19,,Milieu humide inscrit au plan de gestion,7415.033126905,842.970044616877
20,,Milieu humide inscrit au plan de gestion,5605.736079775,340.337230146823
21,,Milieu humide inscrit au plan de gestion,4421.0949839,489.3030332367
22,,Milieu humide inscrit au plan de gestion,3393.791523765,390.507993827556
23,,Milieu humide inscrit au plan de gestion,6757.23387426,530.988869932867
24,,Milieu humide inscrit au plan de gestion,6943.98830795,680.136825257271
25,,Milieu humide inscrit au plan de gestion,84.42887417,63.0860985684025
26,,Milieu humide inscrit au plan de gestion,8566.217582785,1009.35165638826
27,,Milieu humide inscrit au plan de gestion,9060.68492777,472.868052109578
28,,Milieu humide inscrit au plan de gestion,5618.699488695,509.88893272332
29,,Milieu humide inscrit au plan de gestion,9404.137097995,674.638591395129
30,,Milieu humide inscrit au plan de gestion,8016.01981898,634.278804212113
31,,Milieu humide inscrit au plan de gestion,77.711151295,38.3634738340439
32,,Milieu humide inscrit au plan de gestion,2849.288351865,257.023565089057
33,,Milieu humide inscrit au plan de gestion,4065.51725867,483.241424034883
34,,Milieu humide inscrit au plan de gestion,2423.11352578,324.832688457639
35,,Milieu humide inscrit au plan de gestion,5179.545264265,487.706917564565
36,,Milieu humide inscrit au plan de gestion,9710.188847565,400.786771154697
37,,Milieu humide inscrit au plan de gestion,8269.538314285,475.518111814748
38,,Milieu humide inscrit au plan de gestion,5341.465380855,404.719016652746
39,,Milieu humide inscrit au plan de gestion,2833.9258384,282.220769149308
40,,Milieu humide inscrit au plan de gestion,37.83353453,46.563603461454
41,,Milieu humide inscrit au plan de gestion,5975.17955159,376.049535848654
42,,Milieu humide inscrit au plan de gestion,7419.045144765,473.054756311919
43,,Milieu humide inscrit au plan de gestion,1822.82757898,248.901190147596
44,,Milieu humide inscrit au plan de gestion,5614.607989255,395.707587107549
45,,Milieu humide inscrit au plan de gestion,3259.73039958,353.52260428942
46,,Milieu humide inscrit au plan de gestion,9060.48813713,610.032022291193
47,,Milieu humide inscrit au plan de gestion,3892.70486667,378.132714425603
48,,Milieu humide inscrit au plan de gestion,9892.396132405,530.098304320789
49,,Milieu humide inscrit au plan de gestion,9026.773954835,1023.09929019394
50,,Milieu humide inscrit au plan de gestion,6635.659432815,439.941203173002
51,,Milieu humide inscrit au plan de gestion,3887.857726835,347.033287033653
52,,Milieu humide inscrit au plan de gestion,4437.23011403,348.230961164337
53,,Milieu humide inscrit au plan de gestion,6305.522681975,576.589504822462
54,,Milieu humide inscrit au plan de gestion,12509.239448365,649.488801264918
55,,Milieu humide inscrit au plan de gestion,7914.04873599,540.545221090086
56,,Milieu humide inscrit au plan de gestion,961.68813866,142.080618617074
57,,Milieu humide inscrit au plan de gestion,7894.301089285,568.743739546804
58,,Milieu humide inscrit au plan de gestion,6454.050252785,756.510326906319
59,,Milieu humide inscrit au plan de gestion,5185.130241455,291.543851500954
60,,Milieu humide inscrit au plan de gestion,6968.770008635,536.20773267503
61,,Milieu humide inscrit au plan de gestion,4191.5173451,422.9168196397
62,,Milieu humide inscrit au plan de gestion,273.96273646,81.0078218483742
63,,Milieu humide inscrit au plan de gestion,2226.95575465,311.31128479474
