ï»¿Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,11456498.27,14429038.5,16560.18691,0,49442457.82,3234014.422,21560468.56,100139037.8
RSS 02  Saguenay--Lac-Saint-Jean,6489355.892,13287458.21,67188.74452,0,48543212.61,5155732.836,18673977.21,92216925.5
RSS 03  Capitale Nationale,36208420.52,19872302.41,425822.8263,0,121195466.5,33839285.09,64479226.83,276020524.2
RSS 04  Mauricie et Centre-du-QuÃ©bec,15584885.01,21587804.72,485490.9638,0,119936127.3,11885752,25515205.27,194995265.2
RSS 05  Estrie,9163038.153,16479180.29,303518.8138,0,110771750,15886828.61,34089421.69,186693737.5
RSS 06  MontrÃ©al,39897555.95,68659587.31,5915158.011,0,462424313.2,24748575.39,97506745.29,699151935.1
RSS 07  Outaouais,7596765.207,13244956.75,45404.91127,0,69269789.79,6428362.114,26774200.98,123359479.7
RSS 08  Abitibi-TÃ©miscamingue,1291700.613,3349141.281,189424.3273,0,38747477.3,2276673.292,10497536.76,56351953.57
RSS 09  CÃ´te-Nord,2190269.025,6419512.781,549171.0224,0,30565832.88,1605401.995,7551466.914,48881654.62
RSS 10  Nord-du-QuÃ©bec,597733.7064,1023011.455,86680.34181,0,3623589.73,193007.6954,495470.9544,6019493.883
RSS 11  GaspÃ©sie--Ãles-de-la-Madeleine,5150050.847,8081397.089,176723.7579,0,35721814.48,3583703.251,10988738.52,63702427.94
RSS 12  ChaudiÃ¨re-Appalaches,16011415.52,15662679.95,219370.5862,0,76987811.2,9921218.907,18298116.64,137100612.8
RSS 13  Laval,10361481.52,6246502.551,275372.6614,0,99533964.39,8905128.921,15875095.94,141197546
RSS 14  LanaudiÃ¨re,10112024.26,9055992.318,286714.3415,0,98953194.46,8450499.492,13657271.69,140515696.6
RSS 15  Laurentides,11567209.67,17193737.87,1638210.804,0,93548902.37,9704115.288,31115661.28,164767837.3
RSS 16  MontÃ©rÃ©gie,19656583.41,40267677.3,1273490.596,0,281960518.1,33794108.11,71749986.85,448702364.4
RSS 17  Nunavik,5787342.883,216578.7713,0,0,6601128.747,1912635.712,42195.83591,14559881.95
RSS 18  Terres-Cries-de-la-Baie-James,73791.50332,180728.5285,37520.78996,0,4761454.201,86298.43331,1113757.834,6253551.29
TOTAL QUÃBEC,209196122,275257288.1,11991823.69,0,1752588805,181611341.5,469984545,2900629925
Pourcentage,0.072120928,0.094895693,0.004134214,0,0.604209723,0.062611,0.162028441,1
,,,,,,,,
TOTAL rÃ©gions 10. 17 et18,6458868.093,1420318.754,124201.1318,0,14986172.68,2191941.841,1651424.624,26832927.12
TOTAL moins rÃ©gions 10. 17 et18,202737253.9,273836969.3,11867622.55,0,1737602632,179419399.7,468333120.4,2873796998
