id_entente,date_signature_sys,nom_entente,arrondissement,adr_emplacement,lot,superf_resid_ajout,nb_log_ajout,contrib_social_fin,mnt_contrib_social_fin,contrib_social_tss,superf_resid_social_tss,prix_achat_tss,contrib_social_ths,superf_resid_social_prevu_ths,prix_achat_ths,contrib_social_cem,contrib_abord_fin,mnt_contrib_abord_fin,real_log_abord_ss,superf_tot_ss_entente,real_log_abord_hs,superf_tot_hs_entente,nb_log_famil_scdp
"1000472","2023-09-19",,"Ville-Marie","2036, rue Montgomery, H2K2R8",,571,7,"Oui",4136,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000200","2022-08-18","Le Styrling","Ville-Marie",,,12675,160,"Oui",985399,"Non",,,"Non",,,"Non","Oui",303047,"Non",,"Non",,8
"1000452","2023-07-05","3003097226","Le Sud-Ouest",,,575,6,"Oui",5650,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000377","2022-12-07","Projet Marin","Le Sud-Ouest",,,502,4,"Oui",1693,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000488","2023-09-13","2611 Ave Jeanne-d'Arc - Construction","Mercier - Hochelaga-Maisonneuve",,,621,6,"Oui",5845,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000378","2023-03-06","Médina Condominiums","Rosemont - La Petite-Patrie","3322, rue Masson, H1X1R4",,2914,36,"Oui",92820,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000376","2022-12-08","16096 BOUL GOUIN O","L'Île-Bizard - Sainte-Geneviève","16096, boulevard Gouin Ouest, H9H1C8",,452,4,"Oui",48,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000380","2023-01-30","CONSTRUCTION DE DIX-HUIT (18) MAISONS UNIFAMILIALES","LaSalle",,,3723,18,"Oui",93599,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000367","2022-10-31","120 chemin de la Pointe-Sud","Verdun",,,532,1,"Oui",3530,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000119","2022-03-22","8601, 8605, 8611, Avenue Chaumont et 6461 Boul, Roi-René","Anjou",,,2472,23,"Oui",52359,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000483","2023-08-28","CONDO 2236-2254 AVENUE MERCIER ","Mercier - Hochelaga-Maisonneuve","2236, avenue Mercier, H1L5H1",,819,8,"Oui",9358,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000439","2023-06-20","Projet Beamish","Pierrefonds - Roxboro",,,1012,4,"Oui",14252,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000434","2023-03-29","8130 Henri-Julien","Villeray - Saint-Michel - Parc-Extension","8130, avenue Henri-Julien, H2P2J2",,655,4,"Oui",9266,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000426","2023-03-16",,"Ville-Marie","2574, rue Rouen, H2K1M6",,842,10,"Oui",13399,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000384","2023-08-15","7695-7697-7699 18e Avenue","Villeray - Saint-Michel - Parc-Extension",,,2191,27,"Oui",46306,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000381","2023-03-21","Bishop Ambassade","Ville-Marie",,,1765,23,"Oui",85541,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000489","2023-09-14","11426, avenue L'Archevêque","Montréal-Nord","11426, avenue L'Archevêque, H1H3A9",,528,4,"Oui",1978,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000242","2022-11-21","3157 DE VERDUN","Verdun",,,495,6,"Oui",1465,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000490","2023-09-12","2630, notre dame ouest","Le Sud-Ouest","2630, rue Notre-Dame Ouest, H3J1N7",,2916,42,"Oui",123773,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000176","2022-07-28","Lab³","Le Sud-Ouest",,,3033,65,"Oui",179437,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,3
"1000386","2023-02-03",,"Ville-Marie",,,781,6,"Oui",14961,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
