"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat" 
29065;Saint-Philibert;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Ouellet;Marie-Jeanne;F;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
29065;Saint-Philibert;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Busque;Louison;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
29065;Saint-Philibert;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Drouin;René;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Morin;Claude;M;"Sortant
(même
poste)"; ;25741;0;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Thomassin;Serge;M;"Sortant
(même
poste)"; ;3716;0;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Redmond;Tom;M;"Sortant
(même
poste)"; ;2958;0;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Perron;Jean;M;"Sortant
(même
poste)"; ;3308;0;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Fortin;Esther;F;"Sortant
(même
poste)"; ;3431;0;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Bougie;Manon;F;"Sortant
(même
poste)"; ;3757;0;.;"Élu sans
opposition"
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Fortier;Jean-Pierre;M;"Sortant
(même
poste)"; ;2761;716;9;Élu
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Veilleux;Martin;M;"Nouveau
candidat"; ;2761;376;9;Non élu
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;7;CV;Conseiller;Duval;Olivier;M;"Nouveau
candidat"; ;2875;382;9;Élu
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;7;CV;Conseiller;Desmarais;Daniel;M;"Nouveau
candidat"; ;2875;284;9;Non élu
29073;Saint-Georges;Ville;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;8;CV;Conseiller;Fortier;Renaud;M;"Sortant
(même
poste)"; ;2935;0;.;"Élu sans
opposition"
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Drouin;Léon;M;"Nouveau
candidat";Équipe Léon Drouin;196;112;1;Élu
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Pomerleau;Étienne;M;"Sortant
(autre
poste)"; ;196;68;1;Non élu
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Asselin;Roch;M;"Nouveau
candidat";Équipe Léon Drouin;196;122;3;Élu
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Martel;Annie;F;"Nouveau
candidat"; ;196;56;3;Non élu
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Doyon;Louis-Jérôme;M;"Nouveau
candidat";Équipe Léon Drouin;196;0;.;"Élu sans
opposition"
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Veilleux;Adam;M;"Sortant
(même
poste)";Équipe Léon Drouin;196;0;.;"Élu sans
opposition"
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Giroux;Linda;F;"Nouveau
candidat";Équipe Léon Drouin;196;109;2;Élu
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Dancause;Benoît;M;"Sortant
(même
poste)"; ;196;70;2;Non élu
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Levesque;Denis;M;"Nouveau
candidat";Équipe Léon Drouin;196;0;.;"Élu sans
opposition"
29095;Lac-Poulin;Village;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Caron;Anne;F;"Nouveau
candidat";Équipe Léon Drouin;196;0;.;"Élu sans
opposition"
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Doyon;Jean-Marc;M;"Nouveau
candidat"; ;1384;426;10;Élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Rouillard;Eric;M;"Sortant
(même
poste)"; ;1384;196;10;Non élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Lessard;Ginette;F;"Nouveau
candidat"; ;1384;394;17;Élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Gosselin;Michel;M;"Sortant
(même
poste)"; ;1384;220;17;Non élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Cloutier;Marc;M;"Nouveau
candidat"; ;1384;0;.;"Élu sans
opposition"
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Gilbert;Pier-Luc;M;"Sortant
(même
poste)"; ;1384;381;15;Élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Raymond;Mélanie;F;"Nouveau
candidat"; ;1384;235;15;Non élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Fournier;Claude;M;"Nouveau
candidat"; ;1384;357;13;Élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Busque;Martin;M;"Nouveau
candidat"; ;1384;261;13;Non élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Pépin;Jonathan;M;"Sortant
(même
poste)"; ;1384;0;.;"Élu sans
opposition"
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Rodrigue;Coralie;F;"Nouveau
candidat"; ;1384;413;12;Élu
29100;Saint-Benoît-Labre;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Bégin;France;F;"Sortant
(même
poste)"; ;1384;206;12;Non élu
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Longchamps;André;M;"Sortant
(autre
poste)"; ;1856;0;.;"Élu sans
opposition"
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Plante;Patrick;M;"Nouveau
candidat"; ;1856;360;4;Élu
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Mathieu;Marc-André;M;"Sortant
(même
poste)"; ;1856;226;4;Non élu
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Gilbert;Carl;M;"Sortant
(même
poste)"; ;1856;0;.;"Élu sans
opposition"
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Plante;Marie-Josée;F;"Sortant
(même
poste)"; ;1856;0;.;"Élu sans
opposition"
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Busque;Josée;M;"Sortant
(même
poste)"; ;1856;0;.;"Élu sans
opposition"
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Couture;Philippe;M;"Sortant
(même
poste)"; ;1856;0;.;"Élu sans
opposition"
29112;Saint-Éphrem-de-Beauce;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Fortin;Steven;M;"Nouveau
candidat"; ;1856;0;.;"Élu sans
opposition"
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Veilleux;Alain;M;"Nouveau
candidat";Progrès Notre-Dame;1439;0;.;"Élu sans
opposition"
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Gosselin;Denis;M;"Nouveau
candidat";Progrès Notre-Dame;1439;0;.;"Élu sans
opposition"
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Le Phan;Win;F;"Nouveau
candidat";Progrès Notre-Dame;1439;256;1;Élu
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Bolduc;Alexandra;F;"Nouveau
candidat"; ;1439;138;1;Non élu
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Paquet;Isabelle;F;"Nouveau
candidat";Progrès Notre-Dame;1439;0;.;"Élu sans
opposition"
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Quirion;Pierre;M;"Sortant
(autre
poste)"; ;1439;0;.;Désistement
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Lessard;Christian;M;"Nouveau
candidat";Progrès Notre-Dame;1439;0;.;"Élu sans
opposition"
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Auclair;Stéphane;M;"Sortant
(même
poste)"; ;1439;0;.;"Élu sans
opposition"
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Gilbert;Jean-Guy;M;"Nouveau
candidat";Progrès Notre-Dame;1439;0;.;Désistement
29120;Notre-Dame-des-Pins;Paroisse;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Veilleux;Michel;M;"Nouveau
candidat";Progrès Notre-Dame;1439;0;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;0;MA;Maire;Lapointe;André;M;"Sortant
(autre
poste)"; ;0;.;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;1;CV;Conseiller;Larivière;Gilles;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;2;CV;Conseiller;Campeau;Katy;F;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;3;CV;Conseiller;Bégin;François;M;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;4;CV;Conseiller;Poulin;Chantal;F;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;5;CV;Conseiller;Busque;Jean-Yves;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
29125;Saint-Simon-les-Mines;Municipalité;290;Beauce-Sartigan;12;Chaudière-Appalaches;.; ; ;6;CV;Conseiller;Hébert;Julie;F;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Brousseau;Guy;M;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Pépin;Mathieu;M;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Audet;Chantal;F;"Sortant
(même
poste)"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Roy;Robin;M;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Faucher;Nancy;F;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Pépin;Cédric;M;"Nouveau
candidat"; ;0;.;.;Désistement
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Bédard;Daniel;M;"Nouveau
candidat"; ;0;.;.;Désistement
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Fortin;Katherine;F;"Nouveau
candidat"; ;0;.;.;"Élu sans
opposition"
30005;Saint-Augustin-de-Woburn;Paroisse;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Audet;André;M;"Sortant
(autre
poste)"; ;0;.;.;"Élu sans
opposition"
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Boucher Paquette;Dominic;M;"Nouveau
candidat";Équipe des Sommets;940;206;0;Élu
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Delongchamps;Mario;M;"Nouveau
candidat"; ;940;133;0;Non élu
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Demers;Julie;F;"Nouveau
candidat";Équipe des Sommets;124;0;.;"Élu sans
opposition"
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Pépin;Lynda;F;"Nouveau
candidat"; ;125;23;0;Élu
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Charbonneau;Nathalie;F;"Nouveau
candidat";Équipe des Sommets;125;22;0;Non élu
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Lévesque;Gilles;M;"Nouveau
candidat";Équipe des Sommets;208;58;0;Élu
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Labranche;Michel;M;"Nouveau
candidat"; ;208;15;0;Non élu
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Vallières;Marc-André;M;"Nouveau
candidat";Équipe des Sommets;153;0;.;"Élu sans
opposition"
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Deblois;Catherine;F;"Nouveau
candidat";Équipe des Sommets;171;0;.;"Élu sans
opposition"
30010;Notre-Dame-des-Bois;Municipalité;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Bérubé;Nathalie;F;"Nouveau
candidat";Équipe des Sommets;159;0;.;"Élu sans
opposition"
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Brosseau;Pierre;M;"Sortant
(même
poste)"; ;164;0;.;"Élu sans
opposition"
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Légaré;Jean;M;"Sortant
(même
poste)"; ;164;0;.;"Élu sans
opposition"
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Beaulieu;Geneviève;F;"Nouveau
candidat"; ;164;0;.;"Élu sans
opposition"
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Serge;Delongchamp;M;"Sortant
(même
poste)"; ;164;0;.;"Élu sans
opposition"
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Vachon;Frédérique;F;"Nouveau
candidat"; ;164;72;1;Élu
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Chaput;Clément;M;"Nouveau
candidat"; ;164;24;1;Non élu
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Morency;Éric;M;"Nouveau
candidat"; ;164;0;.;"Élu sans
opposition"
30015;Val-Racine;Municipalité;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Bergeron;Sylvain;M;"Sortant
(même
poste)"; ;164;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Manning;Peter;M;"Sortant
(même
poste)"; ;0;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Giroux;Mindy;F;"Nouveau
candidat"; ;0;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Charette;Nicole;F;"Sortant
(même
poste)"; ;0;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;GRENIER;GERMAIN;M;"Nouveau
candidat"; ;0;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Demange;Catherine;F;"Sortant
(même
poste)"; ;0;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Carrier;Sarah;F;"Sortant
(même
poste)"; ;0;0;.;"Élu sans
opposition"
30020;Piopolis;Municipalité;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller; ; ; ; ; ;.;.;.;"Poste
vacant"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Gendron;Gaby;M;"Sortant
(même
poste)"; ;1466;.;.;"Élu sans
opposition"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Boulanger;Lucie;F;"Sortant
(même
poste)"; ;267;.;.;"Élu sans
opposition"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Martineau;Mélanie;F;"Sortant
(même
poste)"; ;245;.;.;"Élu sans
opposition"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Pépin;René;M;"Sortant
(même
poste)"; ;263;.;.;"Élu sans
opposition"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Provost;Sonya;F;"Nouveau
candidat"; ;232;.;.;"Élu sans
opposition"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Maheux;Andy;M;"Nouveau
candidat"; ;218;.;.;"Élu sans
opposition"
30025;Frontenac;Municipalité;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Pépin;Marcel;M;"Sortant
(même
poste)"; ;241;.;.;"Élu sans
opposition"
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Morin;Julie;F;"Sortant
(même
poste)"; ;4701;0;.;"Élu sans
opposition"
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Agnès;1;CV;Conseiller;Michaud;Richard;M;"Nouveau
candidat"; ;881;0;.;"Élu sans
opposition"
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Fatima;2;CV;Conseiller;Roy;Denis;M;"Sortant
(même
poste)"; ;707;0;.;"Élu sans
opposition"
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Centre-ville;3;CV;Conseiller;Dostie;Jacques;M;"Sortant
(même
poste)"; ;854;0;.;"Élu sans
opposition"
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Québec-Central;4;CV;Conseiller;Côté;René;M;"Sortant
(même
poste)"; ;639;0;.;"Élu sans
opposition"
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Vieux-nord;5;CV;Conseiller;Breton;Huguette;F;"Nouveau
candidat"; ;733;168;3;Élu
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Vieux-nord;5;CV;Conseiller;Roy;Sébastien;M;"Nouveau
candidat"; ;733;86;3;Non élu
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Montignac;6;CV;Conseiller;Gilbert;Yves;M;"Nouveau
candidat"; ;887;206;3;Élu
30030;Lac-Mégantic;Ville;300;Le Granit;5;Estrie;.; ;Montignac;6;CV;Conseiller;Purtell;Annie;F;"Nouveau
candidat"; ;887;105;3;Non élu
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Roy;Claude;M;"Sortant
(même
poste)"; ;668;0;.;"Élu sans
opposition"
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Morin;Paul;M;"Sortant
(même
poste)"; ;668;0;.;"Élu sans
opposition"
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Bilodeau;Mario;M;"Nouveau
candidat"; ;668;135;0;Élu
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Paquet;Sabrina;F;"Nouveau
candidat"; ;668;99;0;Non élu
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Lavigne;Jean;M;"Sortant
(même
poste)"; ;668;0;.;"Élu sans
opposition"
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Roy;David;M;"Sortant
(même
poste)"; ;668;0;.;"Élu sans
opposition"
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Grenier;Katy;F;"Nouveau
candidat"; ;668;124;0;Élu
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Pépin;Sylvie;F;"Nouveau
candidat"; ;668;109;0;Non élu
30035;Marston;Canton;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Roy;Daniel;M;"Sortant
(même
poste)"; ;668;0;.;"Élu sans
opposition"
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Bergeron;Jacques;M;"Sortant
(même
poste)"; ;293;0;.;"Élu sans
opposition"
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Côté;Bianka;F;"Sortant
(même
poste)"; ;293;0;.;"Élu sans
opposition"
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Michel;Rancourt;M;"Nouveau
candidat"; ;293;88;1;Élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Grenier;Bernard;M;"Sortant
(même
poste)"; ;293;48;1;Non élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Gazaille Rouillard;Louiselle;F;"Nouveau
candidat"; ;293;70;2;Élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;La Boissière;Daniel;M;"Sortant
(même
poste)"; ;293;65;2;Non élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Turcotte;René;M;"Sortant
(même
poste)"; ;293;0;.;"Élu sans
opposition"
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Ross;Francine;F;"Nouveau
candidat"; ;293;91;2;Élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Benoît;Claude;M;"Nouveau
candidat"; ;293;44;2;Non élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Therrien;Linda;F;"Sortant
(même
poste)"; ;293;104;2;Élu
30040;Milan;Municipalité;300;Le Granit;5;Estrie;.; ; ;6;CV;Conseiller;Nadeau;Daniel;M;"Nouveau
candidat"; ;293;31;2;Non élu
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Gendron;Daniel;M;"Nouveau
candidat"; ;1163;295;1;Élu
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;0;MA;Maire;Breton;Jacques;M;"Sortant
(même
poste)"; ;1163;180;1;Non élu
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Boulet;Danielle;F;"Nouveau
candidat"; ;172;37;1;Élu
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;1;CV;Conseiller;Hébert;Bruneau;M;"Sortant
(même
poste)"; ;172;29;1;Non élu
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;2;CV;Conseiller;Côté;Sylvain;M;"Nouveau
candidat"; ;155;0;.;"Élu sans
opposition"
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;3;CV;Conseiller;Grenier;Richard;M;"Sortant
(même
poste)"; ;183;0;.;"Élu sans
opposition"
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;4;CV;Conseiller;Rodrigue;Julie;F;"Nouveau
candidat"; ;194;0;.;"Élu sans
opposition"
30045;Nantes;Municipalité;300;Le Granit;5;Estrie;.; ; ;5;CV;Conseiller;Poirier;Daniel;M;"Nouveau
candidat"; ;225;0;.;"Élu sans
opposition"
