"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat"
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Cloutier;Yannick;M;"Nouveau
candidat"; ;417;157;1;Élu
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;Vibert;Clifford;M;"Nouveau
candidat"; ;417;76;1;Non élu
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Hautcoeur;Gaétane;F;"Nouveau
candidat"; ;297;108;5;Élu
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;Arbour;Guillaume;M;"Nouveau
candidat"; ;297;67;5;Non élu
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;Réhel;Doris;F;"Sortant
(même
poste)"; ;325;0;.;"Élu sans
opposition"
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;7;CV;Conseiller;Côté;Jonathan;M;"Sortant
(même
poste)"; ;313;0;.;"Élu sans
opposition"
02005;Percé;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;8;CV;Conseiller;Ste-Croix;Nicolas;M;"Sortant
(même
poste)"; ;378;0;.;"Élu sans
opposition"
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Blondin;Roberto;M;"Sortant
(même
poste)"; ;887;306;8;Élu
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Desbois;Jacques;M;"Sortant
(autre
poste)"; ;887;241;8;Non élu
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;1;CV;Conseiller;Lelièvre;Nadine;F;"Sortant
(même
poste)"; ;176;0;.;"Élu sans
opposition"
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;2;CV;Conseiller;Lebreux;Patrick;M;"Sortant
(même
poste)"; ;159;0;.;"Élu sans
opposition"
02010;Sainte-Thérèse-de-Gaspé;Municipalité;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;Langlais Marcoux;Dorine;F;"Nouveau
candidat"; ;167;52;2;Élu
