ï»¿Date_evaluation,Valeur
30/12/2022,FÃ©riÃ©
29/12/2022,146.5668
28/12/2022,146.549
27/12/2022,FÃ©riÃ©
26/12/2022,FÃ©riÃ©
23/12/2022,FÃ©riÃ©
22/12/2022,146.4467
21/12/2022,146.4321
20/12/2022,146.4162
19/12/2022,146.3985
16/12/2022,146.3477
15/12/2022,146.3312
14/12/2022,146.3149
13/12/2022,146.2982
12/12/2022,146.2806
09/12/2022,146.2295
08/12/2022,146.2096
07/12/2022,146.2033
06/12/2022,146.2094
05/12/2022,146.1942
02/12/2022,146.1456
01/12/2022,146.1327
30/11/2022,146.1153
29/11/2022,146.1003
28/11/2022,146.0862
25/11/2022,146.0407
24/11/2022,146.025
23/11/2022,146.0096
22/11/2022,145.9929
21/11/2022,145.977
18/11/2022,145.9298
17/11/2022,145.9151
16/11/2022,145.8993
15/11/2022,145.8844
14/11/2022,145.8699
11/11/2022,145.8278
10/11/2022,145.8116
09/11/2022,145.7896
08/11/2022,145.7751
07/11/2022,145.7597
04/11/2022,145.7138
03/11/2022,145.7025
02/11/2022,145.6881
01/11/2022,145.6719
31/10/2022,145.6564
28/10/2022,145.6111
27/10/2022,145.5978
26/10/2022,145.582
25/10/2022,145.5385
24/10/2022,145.5247
21/10/2022,145.4807
20/10/2022,145.4712
19/10/2022,145.466
18/10/2022,145.4587
17/10/2022,145.4586
14/10/2022,145.4205
13/10/2022,145.4068
12/10/2022,145.3963
11/10/2022,145.3875
10/10/2022,FÃ©riÃ©
07/10/2022,145.3387
06/10/2022,145.3318
05/10/2022,145.3197
04/10/2022,145.3031
03/10/2022,145.2907
30/09/2022,145.2514
29/09/2022,145.2367
28/09/2022,145.2259
27/09/2022,145.2118
26/09/2022,145.2007
23/09/2022,145.1605
22/09/2022,145.1466
21/09/2022,145.1316
20/09/2022,145.1132
19/09/2022,145.104
16/09/2022,145.0633
15/09/2022,145.0494
14/09/2022,145.0373
13/09/2022,145.0275
12/09/2022,145.0134
09/09/2022,144.9745
08/09/2022,144.9593
07/09/2022,144.9581
06/09/2022,144.9612
05/09/2022,FÃ©riÃ©
02/09/2022,144.9095
01/09/2022,144.9
31/08/2022,144.8889
30/08/2022,144.8809
29/08/2022,144.8754
26/08/2022,144.847
25/08/2022,144.8439
24/08/2022,144.8328
23/08/2022,144.8246
22/08/2022,144.8205
19/08/2022,144.7852
18/08/2022,144.7759
17/08/2022,144.7652
16/08/2022,144.7559
15/08/2022,144.7451
12/08/2022,144.716
11/08/2022,144.7066
10/08/2022,144.6937
09/08/2022,144.6823
08/08/2022,144.6723
05/08/2022,144.6401
04/08/2022,144.6302
03/08/2022,144.6193
02/08/2022,144.6087
01/08/2022,144.5975
29/07/2022,144.5628
28/07/2022,144.5523
27/07/2022,144.541
26/07/2022,144.5312
25/07/2022,144.5207
22/07/2022,144.4876
21/07/2022,144.4817
20/07/2022,144.4709
19/07/2022,144.4587
18/07/2022,144.4473
15/07/2022,144.4219
14/07/2022,144.4129
13/07/2022,144.4152
12/07/2022,144.4531
11/07/2022,144.4544
08/07/2022,144.4295
07/07/2022,144.4208
06/07/2022,144.4155
05/07/2022,144.4124
04/07/2022,144.408
01/07/2022,FÃ©riÃ©
30/06/2022,144.3724
29/06/2022,144.3691
28/06/2022,144.3629
27/06/2022,144.3576
24/06/2022,FÃ©riÃ©
23/06/2022,144.3266
22/06/2022,144.3247
21/06/2022,144.3233
20/06/2022,144.3205
17/06/2022,144.3056
16/06/2022,144.3017
15/06/2022,144.2943
14/06/2022,144.2844
13/06/2022,144.2804
10/06/2022,144.2651
09/06/2022,144.261
08/06/2022,144.2579
07/06/2022,144.2555
06/06/2022,144.2474
03/06/2022,144.2332
02/06/2022,144.2291
01/06/2022,144.2434
31/05/2022,144.2433
30/05/2022,144.2395
27/05/2022,144.2225
26/05/2022,144.2255
25/05/2022,144.2223
24/05/2022,144.2181
23/05/2022,FÃ©riÃ©
20/05/2022,144.195
19/05/2022,144.1904
18/05/2022,144.1874
17/05/2022,144.1815
16/05/2022,144.1765
13/05/2022,144.1591
12/05/2022,144.1543
11/05/2022,144.1483
10/05/2022,144.1451
09/05/2022,144.1348
06/05/2022,144.1189
05/05/2022,144.1156
04/05/2022,144.1108
03/05/2022,144.1063
02/05/2022,144.1028
29/04/2022,144.0878
28/04/2022,144.084
27/04/2022,144.0824
26/04/2022,144.0781
25/04/2022,144.0724
22/04/2022,144.0591
21/04/2022,144.062
20/04/2022,144.0663
19/04/2022,144.0668
18/04/2022,FÃ©riÃ©
15/04/2022,FÃ©riÃ©
14/04/2022,144.0548
13/04/2022,144.0545
12/04/2022,144.0614
11/04/2022,144.0627
08/04/2022,144.0572
07/04/2022,144.0643
06/04/2022,144.0664
05/04/2022,144.0604
04/04/2022,144.065
01/04/2022,144.0608
31/03/2022,144.0601
30/03/2022,144.0611
29/03/2022,144.0634
28/03/2022,144.0592
25/03/2022,144.0564
24/03/2022,144.0517
23/03/2022,144.0486
22/03/2022,144.0482
21/03/2022,144.048
18/03/2022,144.0384
17/03/2022,144.0377
16/03/2022,144.0337
15/03/2022,144.0345
14/03/2022,144.0326
11/03/2022,144.0289
10/03/2022,144.0266
09/03/2022,144.027
08/03/2022,144.0238
07/03/2022,144.021
