ï»¿Date_evaluation,Valeur
2021-12-31,FÃ©riÃ©
2021-12-30,143.9816
2021-12-29,143.9808
2021-12-28,FÃ©riÃ©
2021-12-27,FÃ©riÃ©
2021-12-24,FÃ©riÃ©
2021-12-23,143.9764
2021-12-22,143.9748
2021-12-21,143.9736
2021-12-20,143.9761
2021-12-17,143.9726
2021-12-16,143.9734
2021-12-15,143.9734
2021-12-14,143.9742
2021-12-13,143.9745
2021-12-10,143.9730
2021-12-09,143.9706
2021-12-08,143.9694
2021-12-07,143.9683
2021-12-06,143.9689
2021-12-03,143.9672
2021-12-02,143.9649
2021-12-01,143.9604
2021-11-30,143.9582
2021-11-29,143.9598
2021-11-26,143.9570
2021-11-25,143.9487
2021-11-24,143.9481
2021-11-23,143.9467
2021-11-22,143.9454
2021-11-19,143.9433
2021-11-18,143.9445
2021-11-17,143.9432
2021-11-16,143.9417
2021-11-15,143.9408
2021-11-12,143.9399
2021-11-11,143.9388
2021-11-10,143.9379
2021-11-09,143.9367
2021-11-08,143.9358
2021-11-05,143.9353
2021-11-04,143.9340
2021-11-03,143.9329
2021-11-02,143.9331
2021-11-01,143.9317
2021-10-29,143.9294
2021-10-28,143.9281
2021-10-27,143.9304
2021-10-26,143.9286
2021-10-25,143.9282
2021-10-22,143.9255
2021-10-21,143.9257
2021-10-20,143.9268
2021-10-19,143.9267
2021-10-18,143.9254
2021-10-15,143.9241
2021-10-14,143.9232
2021-10-13,143.9225
2021-10-12,143.9218
2021-10-11,FÃ©riÃ©
2021-10-08,143.9185
2021-10-07,143.9183
2021-10-06,143.9186
2021-10-05,143.9173
2021-10-04,143.9182
2021-10-01,143.9169
2021-09-30,143.9146
2021-09-29,143.9139
2021-09-28,143.9145
2021-09-27,143.9142
2021-09-24,143.9122
2021-09-23,143.9121
2021-09-22,143.9115
2021-09-21,143.9098
2021-09-20,143.9091
2021-09-17,143.9073
2021-09-16,143.9063
2021-09-15,143.9061
2021-09-14,143.9047
2021-09-13,143.9043
2021-09-10,143.8995
2021-09-09,143.9027
2021-09-08,143.9017
2021-09-07,143.9006
2021-09-06,FÃ©riÃ©
2021-09-03,143.8961
2021-09-02,143.8952
2021-09-01,143.8953
2021-08-31,143.8938
2021-08-30,143.8930
2021-08-27,143.8900
2021-08-26,143.8900
2021-08-25,143.8903
2021-08-24,143.8893
2021-08-23,143.8876
2021-08-20,143.8865
2021-08-19,143.8853
2021-08-18,143.8864
2021-08-17,143.8850
2021-08-16,143.8848
2021-08-13,143.8826
2021-08-12,143.8816
2021-08-11,143.8813
2021-08-10,143.8807
2021-08-09,143.8816
2021-08-06,143.8764
2021-08-05,143.8761
2021-08-04,143.8768
2021-08-03,143.8763
2021-08-02,143.8762
2021-07-30,143.8741
2021-07-29,143.8735
2021-07-28,143.8736
2021-07-27,143.8730
2021-07-26,143.8723
2021-07-23,143.8703
2021-07-22,143.8691
2021-07-21,143.8689
2021-07-20,143.8686
