Nom du projet,Chantier,Phase d'avancement,Date de déploiement initial,Rôle BVIN,Leader projet,Date de déploiement révisée,Note
Déploiement du Wi‐Fi public dans les installations municipales intérieures,Wi-Fi public,Déploiement,juin 2018,Promoteur,BVIN,2020,Déploiement progressif débuté en 2017 et qui se terminera en 2020 avec une priorité sur les bâtiments à vocation publique.
Déploiement du Wi-Fi public dans le Vieux-Montréal,Wi-Fi public,Déploiement,juin 2015,Promoteur,BVIN,,Projet réalisé
Déploiement du Wi‐Fi public au Palais des congrès,Wi-Fi public,Déploiement,juin 2015,Promoteur,BVIN,,Projet réalisé
Déploiement du Wi‐Fi public dans le Montréal souterrain,Wi-Fi public,Découverte,juin 2018,Promoteur,BVIN,Abandonné,"Projet abandonné dans sa forme initiale. En attente d'une réflexion plus large avec les acteurs du milieu. Une analyse stratégique  est requise afin de coordonner l'ensemble des besoins de la Ville:  projet Montréal à pied (RÉSO), projet de communications intégrées pour la sécurité publique et sonder l'intérêt des développeurs immobiliers à collaborer avec le projet."
Déploiement du Wi‐Fi public dans certains quartiers ciblés,Wi-Fi public,Développement,juin 2018,Promoteur,BVIN,2019,Arrimage du projet avec les travaux d'aménagement dans le quartier Mile-End et le projet St-Viateur.
Déploiement du Wi‐Fi public au centre‐ville,Wi-Fi public,Déploiement,2016-2017,Promoteur,BVIN,,Projet réalisé
Déploiement du Wi‐Fi public au Quartier des spectacles,Wi-Fi public,Déploiement,juillet 2017,Promoteur,BVIN,,Projet réalisé
Déploiement du Wi‐Fi public au Quartier de l’innovation,Wi-Fi public,Test,novembre 2017,Promoteur,BVIN,juin 2018,50% des bornes Wi-Fi sont en service
Déploiement du Wi‐Fi public sur les campus universitaires,Wi-Fi public,Développement,juin 2018,Promoteur,BVIN,2019,Arrimage du projet avec les travaux de construction du Campus MIL de l'Université de Montréal - Acceuil des étudiants en septembre 2019.
Installation d’antennes Wi-Fi sur les lampadaires à DEL - Nouvelle génération,Wi-Fi public,Déploiement,2017,Soutien,SIVT,2022,"Déploiement en cours qui s'échelonnera sur plusieurs années pour convertir l'ensemble des 132,000 lampadaires "
Déploiement du Wi‐Fi public sur des artères commerciales,Wi-Fi public,Développement,juin 2018,Promoteur,BVIN,2019,
Déploiement du Wi‐Fi public dans les grands parcs,Wi-Fi public,Développement,juin 2018,Promoteur,BVIN,2019,"Parc Jarry, parc Lafontaine, parc du Mont-Royal etparc  Frédéric Back"
MTLWiFi - Expérience harmonisée de wi-fi public gratuit,Wi-Fi public,Déploiement,juin 2015,Promoteur,BVIN,,Projet réalisé
Wi‐Fi public ‐ Application des points d’accès disponibles,Wi-Fi public,Déploiement,juillet 2017,Promoteur,BVIN,,Projet réalisé
Fibre optique - Investissements municipaux,Réseau très grande vitesse,Déploiement,juin 2018,Promoteur,BVIN,2020,Le déploiement en courde la fibre optique de la Ville a débuté en 2016 et  s'échelonnera sur plusieurs années
Nouvelle politique - Télécommunications urbaines,Réseau très grande vitesse,Déploiement,2016,Promoteur,BVIN,,Projet réalisé. Une mise à niveau est prévue pour 2019.
Guichet unique - Télécommunications urbaines,Réseau très grande vitesse,Développement,juillet 2017,Promoteur,BVIN,décembre 2018,
Intégration de l'infrastructure fibre à la charte des grands projets,Réseau très grande vitesse,Découverte,juin 2018,Promoteur,BVIN,décembre 2018,
Fibre optique à domicile (FTTH),Réseau très grande vitesse,Déploiement,2017,Facilitateur,SIVT,,Projet réalisé
Portail données ouvertes Montréal,Créneau économique ville intelligente,Développement,2018,Promoteur,BVIN,,Travail en continu
Création d’interfaces de programmation (API),Créneau économique ville intelligente,Développement,2018,Soutien,STI,,
Défis Innovation Montréal,Créneau économique ville intelligente,Déploiement,2015,Promoteur,BVIN,,Projet réalisé
Défis Innovation Employés,Créneau économique ville intelligente,Découverte,2018,Promoteur,BVIN,Abandonné,
Living Labs: Laboratoires d’innovation publique,Créneau économique ville intelligente,Développement,2018,Soutien,Service de la culture,Abandonné,Ce projet sera développé par le Laboratoire d'innovation urbaine de Montréal selon un nouvel échéancier.
Ateliers numériques et Fab Labs dans les bibliothèques,Créneau économique ville intelligente,Déploiement,août 2016,Soutien,Service de la culture,,Projet réalisé
InnoCité MTL - Accélérateur de ville intelligente,Créneau économique ville intelligente,Déploiement,2015,Facilitateur,Innocité MTL,,Projet réalisé
Fonds d’investissement – Ville intelligente,Créneau économique ville intelligente,Déploiement,2016,Facilitateur,Teralys,,Projet réalisé
Festival international du startup 2015 - Volet ville intelligente,Créneau économique ville intelligente,Déploiement,juillet 2015,Facilitateur,Festival du startup de Montréal 2015,,Projet réalisé
24h de l’innovation - Volet ville intelligente,Créneau économique ville intelligente,Déploiement,mai 2015,Promoteur,BVIN,,Projet réalisé
École d'été ÉTS - Innovation et technologie,Créneau économique ville intelligente,Déploiement,juillet 2015,Facilitateur,École de technologie supérieure,,Projet réalisé
Programme de vitrine technologique de Montréal,Créneau économique ville intelligente,Découverte,2018,Promoteur,BVIN,Abandonné,Le Quartier de l'innovation (QI) joue déjà une partie de ce rôle avec le BVIN et les autres partenaires de l'écosystème de l'innovation montréalaise.
Révision des règles d’approvisionnement,Créneau économique ville intelligente,Développement,2017,Facilitateur,Service de l'approvisionnement,,Ce projet sera transféré au Laboratoire d'innovation urbaine de Montréal. L'échéacier sera révisé dans le cadre des ses opérations.
Propulser Montréal avec l'institut de valorisation des données - IVADO,Créneau économique ville intelligente,Déploiement,2016,Autre,IVADO,,Projet réalisé
Groupe d'action Mobilité Montréal 2.0 en temps réel,Mobilité intelligente,Découverte,2018,Facilitateur,Mobilité Montréal,,
Inventaire de données mobilité en temps réel,Mobilité intelligente,Déploiement,2016,Soutien,SIVT,,Projet réalisé
Plan d'action collecte de données Mobilité Montréal,Mobilité intelligente,Test,2016-2017,Promoteur,BVIN,2017,Travail en continu afin d'intégrer les réflexions et projets découlant de la stratégie de mobilité intelligente.
iBUS,Mobilité intelligente,Déploiement,2016-2017,Facilitateur,STM,,
Stationnement intelligent - Collecte de données en temps réel,Mobilité intelligente,Déploiement,2017,Facilitateur,Stationnement de Montréal,Abandonné,"Projet pilote réalisé, mais non-concluant pour poursuivre un déploiement. Les apprentissages et les résultats seront étudiés dans le cadre de la politique sur le stationnement."
Mon Réso-Mobilité / MTL Trajet,Mobilité intelligente,Déploiement,2016,Facilitateur,SIVT,,Projet réalisé
Géo-Trafic,Mobilité intelligente,Développement,2017,Facilitateur,SIVT,2019,Poursuite de la structure des donnée afin de déterminer la meilleure solution technologique intégrée
Montréal 511 ouvert ‐ Interface de programmation (API),Mobilité intelligente,Test,2017,Soutien,SIVT,2018,Poursuite de la structure des donnée afin de déterminer la meilleure solution technologique intégrée
Montréal 511 ‐ Information aux voyageurs multiplateformes,Mobilité intelligente,Découverte,2016-2017,Soutien,SIVT,Abandonné,Changement d'orientation concernant les portails de diffusion des données
Taxi intelligent,Mobilité intelligente,Déploiement,2017,Facilitateur,Bureau du taxi,,Paiement par carte acceptée. Localisation des taxis en temps réel en place. Le BTM et l'industrie sont en réflexion pour déterminer de nouveaux modèles d'affaires pour les prochaines étapes a envisagé.
Affichage dynamique vers stationnement disponible,Mobilité intelligente,Déploiement,2017,Soutien,SIVT,,Projet réalisé
Application de navigation vers stationnement disponible,Mobilité intelligente,Découverte,2017,Soutien,STM,Abandonné,Projet abandonné dans sa forme initiale
Synchronisation des feux de circulation,Mobilité intelligente,Déploiement,2017,Facilitateur,SIVT,,
Corridor de mobilité intégrée (CMI),Mobilité intelligente,Déploiement,2018-2019,Facilitateur,SIVT,2019,Portion Bonaventure se termine en 2018. Portion Notre-Dame se terminera en 2019.
ICF - Intelligent Community Forum,Démocratie participative,Déploiement,2016,Promoteur,BVIN,,Projet réalisé
Refonte de la politique des données ouvertes,Démocratie participative,Déploiement,9 décembre 2015,Promoteur,BVIN,,Projet réalisé
Automatisation des extractions de données,Démocratie participative,Déploiement,2017,Soutien,STI,,Travail en continu
Faire Montréal - Plateforme collaborative,Démocratie participative,Déploiement,juin 2015,Promoteur,BVIN,,Projet réalisé
Droit d'initiative en consultation publique en ligne,Démocratie participative,Test,2017,Soutien,Greffe,2018,Projet réalisé. Date de mise en service à venir.
Demande d’accès à l’information et réponses en ligne,Démocratie participative,Développement,2017,Facilitateur,Greffe,,La plateforme en soutien à la réalisation de ce service est en développement. Une date de réalisation sera confirmée ultérieurement.
Indicateurs de performance - Ville intelligente et numérique,Démocratie participative,Développement,2017,Promoteur,BVIN,Abandonné,
Vue sur les indicateurs de performance,Démocratie participative,Déploiement,novembre 2015,Autre,Service de la performance organisationnelle,,Projet réalisé
Vue sur les contrats,Démocratie participative,Déploiement,juin 2015,Promoteur,BVIN,,Travail en continu
Vue sur les budgets,Démocratie participative,Déploiement,2015,Promoteur,BVIN,,Travail en continu
Vue sur la sécurité publique,Démocratie participative,Déploiement,2016,Promoteur,BVIN,,Travail en continu
Citoyens testeurs,Démocratie participative,Test,2017,Promoteur,BVIN,,Travail en continu
Info-Remorquage,Services publics numériques,Déploiement,2015,Soutien,Service concertation des arrondissements,,Projet réalisé
INFO-Neige MTL - Phase 2,Services publics numériques,Déploiement,novembre 2015,Soutien,Service concertation des arrondissements,,Projet réalisé. Travail en amélioration continue pour la Phase 2 du projet
Évolution de la présence numérique de la Ville de Montréal,Services publics numériques,Déploiement,2017,Soutien,Service des communications,,Déploiement progressif débuté sur la nouvele plateforme Web.
Ajout de services publics numériques,Services publics numériques,Déploiement,2017,Soutien,Service des communications,2020,Déploiement progressif débuté en 2017.
Service 311 amélioré,Services publics numériques,Déploiement,2017,Soutien,Service concertation des arrondissements,,Projet réalisé
