ï»¿Continent_naissance;Region_naissance;Immigration_economique_personnes_non_presente;Immigration_economique_personnes_presentes;Regroupement_familial_personnes__non_presente;Regroupement_familial_personnes_presentes;Refugies_personnes_en_situation_semblable_personnes__non_presente;Refugies_personnes_en_situation_semblable_personnes_presentes;Autres_immigrants_personnes__non_presente;Autres_immigrants_personnes_presentes
Afrique;  Afrique occidentale;4765;16650;973;7361;339;2202;20;219
Afrique;  Afrique orientale;2073;5611;303;1748;760;3887;58;299
Afrique;  Afrique du Nord;10434;45903;1926;16961;266;1469;30;205
Afrique;  Afrique centrale;2882;11872;614;5021;901;6078;59;493
Afrique;  Afrique mÃ©ridionale;82;101;25;114;29;145;x;7
AmÃ©rique;  AmÃ©rique du Nord;1291;1929;842;2840;196;798;59;418
AmÃ©rique;  AmÃ©rique centrale;800;1989;564;4321;360;2848;48;369
AmÃ©rique;  AmÃ©rique du Sud;3933;13489;919;5393;483;3199;26;196
AmÃ©rique;  Antilles;1344;10838;1629;12498;707;5613;276;2979
Asie;  Moyen-Orient;5817;6676;958;3568;5100;18371;19;175
Asie;  Asie occ. et centrale;12947;10277;817;2608;1058;3814;17;77
Asie;  Asie orientale;26069;13810;1911;5853;33;75;x;41
Asie;  Asie mÃ©ridionale;11315;5444;1689;5135;1646;3347;82;284
Asie;  Asie du Sud-Est;2276;10640;704;5069;169;370;5;109
Europe;  Europe occidentale;7663;29820;1165;5303;17;80;18;68
Europe;  Europe septentrionale (excluant la Scandinavie);528;617;231;764;6;11;x;6
Europe; Scandinavie;80;109;63;147;x;x;0;x
Europe;  Europe orientale;5121;12882;1004;3831;100;428;38;133
Europe;  Europe mÃ©ridionale;574;1818;391;1814;45;190;10;75
OcÃ©anie et autres pays;OcÃ©anie ;125;248;126;346;0;0;0;x
Autres pays;Autre pays;x;10;6;14;x;x;0;0
