ï»¿Rang,Pays_naissance,Immigration_economique_personnes_admises,Immigration_economique_personnes_presentes,Regroupement_familial_personnes_admises,Regroupement_familial_personnes_presentes,Refugies_personnes_en_situation_semblable_personnes_admises,Refugies_personnes_en_situation_semblable_personnes_presentes,Autres_immigrants_personnes_admises,Autres_immigrants_personnes_presentes
1,Chine,38 307,12 940,6 453,4 772,98,70,23,22
2,France,35 557,28 240,4 765,3 917,56,46,47,37
3,AlgÃ©rie,25 493,22 168,6 852,6 215,409,365,121,112
4,HaÃ¯ti,10 575,9 821,10 189,9 204,5 473,4 911,2 928,2 712
5,Maroc,19 686,15 946,8 168,7 274,161,140,38,33
6,Iran,20 606,8 870,1 622,1 090,457,321,29,25
7,Syrie,1 572,992,799,643,16 897,14 048,67,61
8,Cameroun,12 796,10 108,3 503,3 112,1 131,1 024,57,52
9,Inde,11 567,4 102,3 201,2 208,1 335,891,184,140
10,Colombie,9 628,7 450,2 329,1 989,3 124,2 645,99,88
11,Philippines,11 944,10 135,2 868,2 553,32,28,75,68
12,CÃ´te d'Ivoire,9 257,7 310,2 766,2 465,634,552,34,32
13,Tunisie,8 925,7 637,3 483,3 166,158,135,28,24
14,Ãgypte,9 293,5 373,958,677,569,485,27,21
15,Liban,6 987,4 220,2 473,1 945,825,718,60,53
16,Mexique,2 575,1 784,3 363,2 926,2 174,1 924,324,289
17,Ãtats-Unis,3 368,1 974,3 584,2 704,1 015,807,462,407
18,Moldova,6 935,5 755,643,550,30,23,11,9
19,RÃ©p. dÃ©m. du Congo,1 570,1 303,1 390,1 242,4 057,3 435,385,339
20,BrÃ©sil,5 022,3 826,972,810,x,x,x,x
21,SÃ©nÃ©gal,3 923,2 947,1 811,1 604,259,215,14,12
22,Pakistan,2 494,537,1 572,1 210,1 789,1 435,62,46
23,Roumanie,4 297,2 791,1 303,988,46,32,22,15
24,Ukraine,4 280,3 090,828,673,84,66,42,36
25,Maurice,4 409,2 895,366,298,x,x,x,x
26,Cuba,1 735,1 326,2 525,2 090,365,299,27,25
27,Afghanistan,56,18,589,519,3 891,3 109,13,10
28,Venezuela,2 953,2 172,726,607,432,390,34,28
29,Burundi,1 282,967,471,408,1 707,1 453,189,163
30,Russie,2 409,1 535,898,687,173,140,38,29
Autres pays,Autres pays,46 511,29 612,29 121,24 063,18 274,13 588,1 540,1 291
Total,Total,326 012,217 844,110 591,92 609,65 674,53 311,6 993,6 192
