Categorie;Detail1;Detail2;n_2011;n_2012;n_2013;n_2014;n_2015;n_2016;n_2017;n_2018;n_2019;n_2020
Immigration économique;Travailleurs qualifiés;Travailleurs qualifiés;31510;34265;30318;28975;23373;25858;24865;24130;19099;11475
Immigration économique;Gens d'affaires;Entrepreneurs;172;122;114;146;187;131;222;143;115;46
Immigration économique;Gens d'affaires;Travailleurs autonomes;84;76;88;85;119;76;36;38;60;5
Immigration économique;Gens d'affaires;Investisseurs;3706;4449;3791;3662;5112;4427;4331;4023;3212;1056
Immigration économique;Autres économiques;Aides familiaux;564;645;517;548;1109;1112;815;859;644;189
Immigration économique;Autres économiques;Autres économiques;53;70;13;13;x;0;0;0;0;0
Regroupement familial;Regroupement familial;Époux, conjoints, partenaires;6856;7124;9064;9041;8687;9093;9313;9677;6973;6517
Regroupement familial;Regroupement familial;Enfants;554;550;563;635;631;639;730;751;512;355
Regroupement familial;Regroupement familial;Adoption internationale;184;87;86;80;65;55;49;45;48;17
Regroupement familial;Regroupement familial;Parents ou grands-parents;1427;1401;2117;1407;1063;1266;1972;1718;2103;871
Regroupement familial;Regroupement familial;Autres parents;1016;1094;590;174;46;72;72;95;50;34
Réfugiés et personnes en situation semblable;Réfugiés sélectionnés à l'étranger;Réfugiés pris en charge par l'État;1647;1109;1049;1498;1649;2972;1535;1396;1204;401
Réfugiés et personnes en situation semblable;Réfugiés sélectionnés à l'étranger;Réfugiés parrainés (et autres réfugiés);398;523;701;790;2957;4173;4799;4289;3610;1330
Réfugiés et personnes en situation semblable;Réfugiés sélectionnés à l'étranger;Autres réfugiés;0;0;0;0;0;0;0;x;0;0
Réfugiés et personnes en situation semblable;Réfugiés reconnus sur place;Réfugiés reconnus sur place;2135;1872;1846;1990;2131;1570;1852;2176;1741;2062
Réfugiés et personnes en situation semblable;Réfugiés reconnus sur place;Membres de la famille d'un réfugié;838;1104;607;583;875;711;968;972;693;394
Autres immigrants;Autres immigrants;Autres immigrants;571;543;514;612;968;1086;846;811;502;475
