ï»¿Rang;Pays_naissance;Immigration_economique_personnes_non_presente;Immigration_economique_personnes_presentes;Regroupement_familial_personnes_non_presente;Regroupement_familial_personnes_presentes;Refugies_personnes_en_situation_semblable_personnes_non_presente;Refugies_personnes_en_situation_semblable_personnes_presentes;Autres_immigrants_personnes_non_presente;Autres_immigrants_personnes_presentes;;
1;Chine;24456;12067;1694;4745;32;68;x;24;;
2;France;6880;27665;831;4068;9;47;10;43;;
3;AlgÃ©rie;2715;20177;557;6156;46;414;11;107;;
4;HaÃ¯ti;667;8870;791;7801;537;4717;246;2687;;
5;Maroc;2840;13346;786;6859;19;145;x;34;;
6;Iran;11658;8260;528;1134;137;321;x;20;;
7;Syrie;496;828;144;670;3215;14515;6;64;;
8;Cameroun;2452;9915;386;3236;112;996;6;52;;
9;Inde;7758;4195;958;2218;407;823;33;148;;
10;Philippines;1771;9460;307;2540;5;23;5;64;;
11;Colombie;1764;6447;314;1973;375;2365;14;92;;
12;CÃ´te d'Ivoire;1912;7453;309;2449;85;544;x;34;;
13;Tunisie;1196;7565;285;3197;21;136;x;29;;
14;Ãgypte;3499;4627;272;667;98;526;6;21;;
15;Liban;2101;3578;476;2038;124;728;6;54;;
16;Ãtats-Unis;1275;1845;834;2827;196;790;58;410;;
17;Mexique;678;1610;383;2756;213;1764;39;272;;
18;RÃ©p. dÃ©m. du Congo;237;1287;158;1232;563;3351;34;354;;
19;Moldova;1028;4453;88;554;5;22;x;9;;
20;Pakistan;1895;525;363;1191;373;1416;17;46;;
21;SÃ©nÃ©gal;849;2624;206;1577;38;227;x;11;;
22;BrÃ©sil;959;3374;168;850;6;13;0;5;;
23;Roumanie;1380;2445;281;909;12;28;6;15;;
24;Ukraine;1107;2762;143;660;16;64;7;34;;
25;Cuba;377;1210;420;2044;67;282;x;26;;
26;Afghanistan;37;15;65;557;778;2924;x;10;;
27;Venezuela;689;2031;98;631;62;535;x;37;;
28;Maurice;1201;2412;68;304;0;x;x;8;;
29;Burundi;321;940;59;445;255;1533;18;145;;
30;Russie;768;1320;191;650;25;131;9;27;;
31;Vietnam;258;843;232;1388;31;87;0;5;;
32;BÃ©nin;367;1811;57;478;14;62;0;x;;
33;Iraq;358;159;57;132;850;1096;0;6;;
34;Togo;274;1530;53;533;13;142;0;7;;
35;GuinÃ©e;289;767;105;863;47;415;x;63;;
36;PÃ©rou;288;886;179;1015;23;122;x;32;;
37;Arabie saoudite;844;529;60;148;298;641;0;6;;
38;CorÃ©e du Sud;723;1189;72;435;0;5;0;6;;
39;Bangladesh;666;353;176;860;36;310;5;19;;
40;RÃ©p. dominicaine;88;312;201;1614;13;72;x;22;;
41;Ãmirats arabes unis;647;355;32;92;353;688;x;12;;
42;Belgique;348;1181;82;415;x;13;x;16;;
43;Burkina Faso;257;1117;46;446;8;87;x;14;;
44;Rwanda;123;620;27;272;134;666;22;81;;
45;Turquie;579;306;102;407;89;413;x;22;;
46;Royaume-Uni;456;515;205;691;6;10;x;5;;
47;Sri Lanka;239;132;165;816;76;290;27;71;;
48;NÃ©pal;755;238;24;47;312;215;0;0;;
49;Bulgarie;312;814;82;190;0;x;x;x;;
50;Mali;220;565;40;338;18;196;x;18;;
51;El Salvador;23;76;45;630;75;504;x;27;;
52;Italie;175;647;84;437;x;x;x;11;;
53;Madagascar;119;903;27;246;x;19;x;11;;
54;Allemagne;231;419;136;445;5;11;x;6;;
55;NigÃ©ria;399;327;64;194;60;162;8;40;;
56;IsraÃ«l;372;494;71;185;5;55;x;19;;
57;RÃ©p. centrafricaine;15;42;11;48;56;957;x;x;;
58;Jordanie;437;297;43;118;59;167;x;0;;
59;Union soviÃ©tique;225;403;71;332;x;22;x;10;;
60;Saint-Vincent-et-les Grenadines;x;5;43;319;67;407;15;148;;
61;Congo;56;252;27;275;36;312;x;37;;
62;Espagne;142;431;60;259;x;9;1;10;;
63;KoweÃ¯t;275;209;29;84;84;205;0;10;;
64;Albanie;103;385;64;207;17;67;x;6;;
65;Kirghizistan;223;527;x;45;x;12;x;x;;
66;Honduras;35;82;29;299;41;300;x;26;;
67;Cambodge;37;89;62;504;15;90;0;14;;
68;Kazakhstan;200;413;38;118;x;20;x;8;;
69;Japon;129;192;81;372;x;0;0;x;;
70;Tanzanie;22;13;10;32;53;634;0;5;;
71;Suisse;127;355;62;215;0;x;2;x;;
72;Guatemala;18;44;49;345;24;235;x;27;;
73;Bhoutan;x;0;x;x;442;293;0;0;;
74;BÃ©larus;168;413;31;104;x;6;0;x;;
75;ArmÃ©nie;82;441;30;128;0;32;x;6;;
76;Tchad;22;64;13;81;122;378;7;24;;
77;TaÃ¯wan;328;152;29;170;0;0;0;5;;
78;Djibouti;119;249;16;91;30;169;x;5;;
