ï»¿OBJECTID,MUNICIPALITE,NO_ZONE,SHAPE.STArea(),SHAPE.STLength()
1,86042,7029,178674.496250825,5542.58961544941
2,86042,7014,46785.22974728,1213.99592116372
3,86042,7043,131864.931860775,2652.13359943324
4,86042,4031,8869.71843836,404.951410425378
5,86042,9132,548479.089913335,3758.67113117826
6,86042,9021,172782794.867514,100696.826944249
7,86042,9000,15573344.8247862,23252.8505725443
8,86042,7561,7477.736697755,364.859106037434
9,86042,4097,36218.892892865,834.365650682487
10,86042,7044,858320.445024015,15070.742810622
11,86042,3064,43883.36893198,963.728312963891
12,86042,7032,1242248.69243841,6159.9691305893
13,86042,4048,116952.20440912,1651.39898796538
14,86042,5023,3006183.8653509,12521.4535046236
15,86042,7183,268153.98402544,3192.60549393896
16,86042,7000,146363.9683401,3803.42241380257
17,86042,7526,17730224.6296009,27939.4177610021
18,86042,9022,146940664.218213,79639.5670702045
19,86042,4022,117638.619154835,1898.42809455572
20,86042,7513,1609139.48010131,5284.18481575612
21,86042,9001,6573119.0382684,16577.0691051171
22,86042,4102,123599.820917495,1997.4083622954
23,86042,4079,81385.700993685,1340.4373329772
24,86042,7527,4389737.59107544,10688.3044306173
25,86042,4054,87347.91450227,1530.07882453049
26,86042,7042,1562169.4289486,12013.3731405585
27,86042,3126,177432.141686665,2158.93251764379
28,86042,5028,3115484.00552774,9646.34656383985
29,86042,9002,17979486.8308581,26950.3163004935
30,86042,5079,2018089.45710824,5920.61174182376
31,86042,8000,296964718.555819,175373.17423088
32,86042,7516,788629.912864135,4206.16180961592
33,86042,7170,387538.442682155,3969.87995709277
34,86042,3057,218666.28390294,2170.12370720809
35,86042,7057,2477508.2539972,14731.8176066628
36,86042,9081,1703857.01223233,9646.23470327068
37,86042,5029,1025306.92137076,4265.96969793674
38,86042,7517,213347.618059935,2154.77917839808
39,86042,5064,942306.588059375,4602.58315027441
40,86042,7528,2931815.04170831,7746.77264447291
41,86042,9082,107167549.292573,122362.219802827
42,86042,7123,1715919.80116237,33545.4610793014
43,86042,7124,721519.04116179,10171.6192644268
