variableID,NomVariable,UniteMesure,AnneeDonne,Valeur,Ville,noVariablePourFormule
6243,Coût de l’activité de traitement des eaux usées (MAMH),$,2010,56548000,Montréal,VEAU100012
6244,Amortissement pour le traitement des eaux usées (MAMH),$,2010,67828000,Montréal,VEAU100013
6526,Nombre de mètres cubes d’eaux usées traités par station d'épuration (MAMH),m3,2010,910000000,Montréal,VEAU900031
6819,Coût de la formation,$,2010,27030207,Montréal,VRHU100021
6820,Rémunération totale,$,2010,1480198000,Montréal,VRHU100022
6243,Coût de l’activité de traitement des eaux usées (MAMH),$,2011,57811000,Montréal,VEAU100012
6244,Amortissement pour le traitement des eaux usées (MAMH),$,2011,65958000,Montréal,VEAU100013
6526,Nombre de mètres cubes d’eaux usées traités par station d'épuration (MAMH),m3,2011,948000000,Montréal,VEAU900031
6819,Coût de la formation,$,2011,29258535,Montréal,VRHU100021
6820,Rémunération totale,$,2011,1545618000,Montréal,VRHU100022
6243,Coût de l’activité de traitement des eaux usées (MAMH),$,2012,62688000,Montréal,VEAU100012
6244,Amortissement pour le traitement des eaux usées (MAMH),$,2012,67688000,Montréal,VEAU100013
6526,Nombre de mètres cubes d’eaux usées traités par station d'épuration (MAMH),m3,2012,818672000,Montréal,VEAU900031
6819,Coût de la formation,$,2012,35605465,Montréal,VRHU100021
6820,Rémunération totale,$,2012,1618466000,Montréal,VRHU100022
6229,Coût de l’activité de distribution de l’eau potable (MAMH),$,2013,78883004,Montréal,VEAU100001
6230,Amortissement du réseau de distribution de l’eau potable (MAMH),$,2013,41944695,Montréal,VEAU100002
6237,Coût de l’activité des réseaux d’égout (MAMH),$,2013,37191270,Montréal,VEAU100009
6238,Amortissement des réseaux d’égout (MAMH),$,2013,46485772,Montréal,VEAU100010
6243,Coût de l’activité de traitement des eaux usées (MAMH),$,2013,61791285,Montréal,VEAU100012
6244,Amortissement pour le traitement des eaux usées (MAMH),$,2013,68370715,Montréal,VEAU100013
6259,Nombre de kilomètres de conduite d'égout,km,2013,4320,Montréal,VEAU900023
6322,Coût de l'activité voirie municipale (MAMH),$,2013,128154385,Montréal,VTRA100017
6323,Amortissement relatif à la voirie (MAMH),$,2013,187161000,Montréal,VTRA100018
6324,Coût de l'activité enlèvement de la neige (MAMH),$,2013,191186805,Montréal,VTRA100019
6524,Amortissement relatif à l'enlèvement de la neige (MAMH),$,2013,7608000,Montréal,VTRA100021
6526,Nombre de mètres cubes d’eaux usées traités par station d'épuration (MAMH),m3,2013,867048000,Montréal,VEAU900031
6581,Services rendus relatifs aux réseaux d’égout (MAMH),$,2013,458958,Montréal,VEAU100033
6812,Services rendus relatifs au réseau de distribution de l’eau potable (MAMH),$,2013,622301,Montréal,VEAU100035
6816,Services rendus pour la voirie municipale  (MAMH),$,2013,3321988,Montréal,VTRA100023
6817,Services rendus pour l’enlèvement de la neige (MAMH),$,2013,1484509,Montréal,VTRA900024
6819,Coût de la formation,$,2013,36196509,Montréal,VRHU100021
6820,Rémunération totale,$,2013,1663304000,Montréal,VRHU100022
7022,Longueur de kilomètre des conduites de distribution / transmission d’eau potable,km,2013,4320,Montréal,VEAU900063
110078,Nombre de kilomètres de voie (MAMH),km,2013,11560,Montréal,VTRA900050
6064,Population de la Ville de Montréal,habitants,2014,1731245,Montréal,VPOP900002
6229,Coût de l’activité de distribution de l’eau potable (MAMH),$,2014,81593000,Montréal,VEAU100001
6230,Amortissement du réseau de distribution de l’eau potable (MAMH),$,2014,47081000,Montréal,VEAU100002
6232,Coût de l’activité d’approvisionnement et de traitement de l’eau potable (MAMH),$,2014,53340000,Montréal,VEAU100004
6233,Amortissement de l’activité d’approvisionnement et de traitement de l’eau potable (MAMH),$,2014,19809000,Montréal,VEAU100005
6234,Nombre total de mètres cubes d’eau potable traités (MAMH),m3,2014,629914000,Montréal,VEAU900006
6237,Coût de l’activité des réseaux d’égout (MAMH),$,2014,36914000,Montréal,VEAU100009
6238,Amortissement des réseaux d’égout (MAMH),$,2014,50487000,Montréal,VEAU100010
6243,Coût de l’activité de traitement des eaux usées (MAMH),$,2014,58921000,Montréal,VEAU100012
6244,Amortissement pour le traitement des eaux usées (MAMH),$,2014,69883000,Montréal,VEAU100013
6259,Nombre de kilomètres de conduite d'égout,km,2014,5024,Montréal,VEAU900023
6263,Coût des activités collecte transport et élimination des déchets domestiques et assimilés (MAMH),$,2014,97448000,Montréal,VGMR100008
6264,Amortissement pour la collecte des déchets (MAMH),$,2014,2425000,Montréal,VGMR100009
6267,Tonnes de matières résiduelles résidentielles valorisées,tonne,2014,230645,Montréal,VGMR900012
6268,Tonnes de matières résiduelles résidentielles éliminées,tonne,2014,515318,Montréal,VGMR900013
6311,Services rendus pour l’activité de sécurité incendie (MAMH),$,2014,290000,Montréal,VINC100008
6322,Coût de l'activité voirie municipale (MAMH),$,2014,126619000,Montréal,VTRA100017
6323,Amortissement relatif à la voirie (MAMH),$,2014,196400000,Montréal,VTRA100018
6324,Coût de l'activité enlèvement de la neige (MAMH),$,2014,138265000,Montréal,VTRA100019
6516,Coûts d’exploitation pour l’activité de sécurité incendie (MAMH),$,2014,341903000,Montréal,VINC100015
6517,Amortissement relatif à l’activité de sécurité incendie (MAMH),$,2014,13572000,Montréal,VINC100016
6524,Amortissement relatif à l'enlèvement de la neige (MAMH),$,2014,6959000,Montréal,VTRA100021
6526,Nombre de mètres cubes d’eaux usées traités par station d'épuration (MAMH),m3,2014,869295000,Montréal,VEAU900031
6581,Services rendus relatifs aux réseaux d’égout (MAMH),$,2014,333000,Montréal,VEAU100033
6812,Services rendus relatifs au réseau de distribution de l’eau potable (MAMH),$,2014,639000,Montréal,VEAU100035
6815,Richesse foncière uniformisée,$,2014,275927587129,Montréal,VADM100025
6816,Services rendus pour la voirie municipale  (MAMH),$,2014,4358000,Montréal,VTRA100023
6817,Services rendus pour l’enlèvement de la neige (MAMH),$,2014,926000,Montréal,VTRA900024
6818,Services rendus pour la collecte des déchets (MAMH),$,2014,163000,Montréal,VGMR100020
6819,Coût de la formation,$,2014,32824968,Montréal,VRHU100021
