KPIID,Domaine,NomIndicateur,UniteMesure,noIndicateur,TypeIndicateur,ville,DateDonnee,Valeur,Calcul_Formule
2598,Gestion de l'eau,Coût de traitement par mètre cube eaux usées (incluant l'amortissement),$,IEAU100021,MAMH,Montréal,2010,"0,1367",( VEAU100012 + VEAU100013 ) / VEAU900031
2604,Ressources humaines,Pourcentage du coût de la formation par rapport à la rémunération totale,Ratio,IRHU100005,MAMH,Montréal,2010,"0,0183",VRHU100021 / VRHU100022
2598,Gestion de l'eau,Coût de traitement par mètre cube eaux usées (incluant l'amortissement),$,IEAU100021,MAMH,Montréal,2011,"0,1306",( VEAU100012 + VEAU100013 ) / VEAU900031
2604,Ressources humaines,Pourcentage du coût de la formation par rapport à la rémunération totale,Ratio,IRHU100005,MAMH,Montréal,2011,"0,0189",VRHU100021 / VRHU100022
2598,Gestion de l'eau,Coût de traitement par mètre cube eaux usées (incluant l'amortissement),$,IEAU100021,MAMH,Montréal,2012,"0,1593",( VEAU100012 + VEAU100013 ) / VEAU900031
2604,Ressources humaines,Pourcentage du coût de la formation par rapport à la rémunération totale,Ratio,IRHU100005,MAMH,Montréal,2012,"0,022",VRHU100021 / VRHU100022
2481,Infrastructures routières,Coût de l’enlèvement de la neige par kilomètre de voie (incluant l’amortissement),$,ITRA100001,MAMH,Montréal,2013,17068,( VTRA100019 - VTRA900024 + VTRA100021 ) / VTRA900050
2529,Gestion de l'eau,Coût de distribution de l'eau potable par kilomètre de conduite (incluant l'amortissement),$,IEAU100002,MAMH,Montréal,2013,27825,( VEAU100001 - VEAU100035 + VEAU100002 ) / VEAU900063
2559,Infrastructures routières,Coût de la voirie municipale par kilomètre de voie (incluant l’amortissement),$,ITRA100008,MAMH,Montréal,2013,26989,( VTRA100017 - VTRA100023 + VTRA100018 ) / VTRA900050
2598,Gestion de l'eau,Coût de traitement par mètre cube eaux usées (incluant l'amortissement),$,IEAU100021,MAMH,Montréal,2013,"0,1501",( VEAU100012 + VEAU100013 ) / VEAU900031
2600,Gestion de l'eau,Coût des réseaux d'égouts par kilomètre de conduite (incluant l'amortissement),$,IEAU100023,MAMH,Montréal,2013,19263,( VEAU100009 - VEAU100033 + VEAU100010 ) / VEAU900023
2604,Ressources humaines,Pourcentage du coût de la formation par rapport à la rémunération totale,Ratio,IRHU100005,MAMH,Montréal,2013,"0,0218",VRHU100021 / VRHU100022
2623,Gestion de l'eau,Coût des réseaux d'égouts par mètre cube d'eaux usées (incluant l'amortissement),$,IEAU100025,MAMH,Montréal,2013,"0,096",( VEAU100009 - VEAU100033 + VEAU100010 ) / VEAU900031
2481,Infrastructures routières,Coût de l’enlèvement de la neige par kilomètre de voie (incluant l’amortissement),$,ITRA100001,MAMH,Montréal,2014,12483,( VTRA100019 - VTRA900024 + VTRA100021 ) / VTRA900050
2529,Gestion de l'eau,Coût de distribution de l'eau potable par kilomètre de conduite (incluant l'amortissement),$,IEAU100002,MAMH,Montréal,2014,29079,( VEAU100001 - VEAU100035 + VEAU100002 ) / VEAU900063
2558,Sécurité incendie,Coût de la sécurité incendie par 100 $ d’évaluation (incluant l’amortissement),$,IINC100017,MAMH,Montréal,2014,"0,1287",( VINC100015 - VINC100008 + VINC100016 ) / VADM100025 * 100
2559,Infrastructures routières,Coût de la voirie municipale par kilomètre de voie (incluant l’amortissement),$,ITRA100008,MAMH,Montréal,2014,27566,( VTRA100017 - VTRA100023 + VTRA100018 ) / VTRA900050
2591,Gestion de l'eau,Coût d'approvisionnement et de traitement par mètre cube d'eau (incluant l'amortissement),$,IEAU100016,MAMH,Montréal,2014,"0,1161",( VEAU100004 + VEAU100005 ) / ( VEAU900006 )
2596,Gestion de l'eau,Coût de distribution par mètre cube d’eau (incluant l’amortissement),$,IEAU100019,MAMH,Montréal,2014,"0,2033",( VEAU100001 - VEAU100035 + VEAU100002 ) / VEAU900006
2598,Gestion de l'eau,Coût de traitement par mètre cube eaux usées (incluant l'amortissement),$,IEAU100021,MAMH,Montréal,2014,"0,1482",( VEAU100012 + VEAU100013 ) / VEAU900031
2600,Gestion de l'eau,Coût des réseaux d'égouts par kilomètre de conduite (incluant l'amortissement),$,IEAU100023,MAMH,Montréal,2014,17330,( VEAU100009 - VEAU100033 + VEAU100010 ) / VEAU900023
2602,Gestion des matières résiduelles,Rendement moyen annuel de la collecte sélective,Ratio,IGMR100011,MAMH,Montréal,2014,"0,1332",VGMR900012 / VPOP900002
2604,Ressources humaines,Pourcentage du coût de la formation par rapport à la rémunération totale,Ratio,IRHU100005,MAMH,Montréal,2014,"0,0198",VRHU100021 / VRHU100022
2623,Gestion de l'eau,Coût des réseaux d'égouts par mètre cube d'eaux usées (incluant l'amortissement),$,IEAU100025,MAMH,Montréal,2014,"0,1002",( VEAU100009 - VEAU100033 + VEAU100010 ) / VEAU900031
2678,Gestion des matières résiduelles,Taux annuel de diversion pour la gestion des matières résiduelles,Ratio,IGMR900013,MAMH,Montréal,2014,"0,3092",VGMR900012 / (VGMR900012 + VGMR900013)
2481,Infrastructures routières,Coût de l’enlèvement de la neige par kilomètre de voie (incluant l’amortissement),$,ITRA100001,MAMH,Montréal,2015,13284,( VTRA100019 - VTRA900024 + VTRA100021 ) / VTRA900050
2529,Gestion de l'eau,Coût de distribution de l'eau potable par kilomètre de conduite (incluant l'amortissement),$,IEAU100002,MAMH,Montréal,2015,31427,( VEAU100001 - VEAU100035 + VEAU100002 ) / VEAU900063
