OBJECTID,TOPONYME,SUP_HA,SUP_KM2,GEOM
406,Rimouski (Sainte-Blandine),78.87758165,0.78877582,Polygone
407,Rimouski (Le Bic),259.97331622,2.59973316,Polygone
408,Rimouski,4249.71905563,42.49064935,Polygone
410,Rimouski (Rivière Hâtée),157.53989791,1.57539898,Polygone
