Cote (reportage),Titre / Photographe / Dates,Description,Fichiers TIFF - 300 dpi (CLIQUEZ SUR LE LIEN),Mention de crédits
VM94-B001,"Vues diverses
 / Yvon Bellemare
. - 15 mars 1966","Le reportage photographique comprend les lieux et bâtiments suivants :
Autoroute des Cantons de l'Est (1); 
Place Ville-Marie, Hôtel Windsor (2); 
Rue Sherbrooke (3); 
Boulevard René-Lévesque (Dorchester) (4); 
Centre-ville (5, 8-9, 11-12, 19-27); 
Rue Notre-Dame (6); Rive Sud (7); 
Rue Sainte-Catherine (10); 
Port de Montréal, île Sainte-Hélène (13-16); 
Côte-des-Neiges (17-18); 
Place de la Bourse, Place Ville-Marie, Place Bonaventure, Hôtel Windsor (28);
Boulevard René-Lévesque (Dorchester) (29); 
Place des Arts (30).",http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-001.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-002.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-003.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-004.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-005.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-006.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-007.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-008.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-009.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-010.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-011.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-012.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
,,,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B001-013.tif,Cote. Nom du photographe. Archives de la Ville de Montréal
