OBJECTID,MUNICIPALITE,USAGE,ADRESSE,DATE_CREATION,HAUTEUR,ALTITUDE_TOIT,TYPE,SUPERFICIE,GEOM,Suivit_JP
238463,10043,Résidentielle,"370, Bosquet (Rue du)",20061010,0.56489222,56.93510056,4,49.439151805,Polygone,
238464,10043,Résidentielle,"175, Alsace (Rue d')",20061010,-0.16638606,72.43840027,4,43.1479075,Polygone,
238465,10043,Résidentielle,"176, Alsace (Rue d')",20160501,0.89679759,70.37505341,4,33.703361125,Polygone,
238466,10043,Résidentielle,"527, Écarts (Rue des)",20160501,0.05913077,20.96088219,4,23.82483189,Polygone,
238467,10043,Résidentielle,"171, Alsace (Rue d')",20061010,0.2684731,71.45465088,4,41.2413003784375,Polygone,
238468,10043,Services,"386, Bosquet (Rue du)",20061010,0.8279674,52.1312027,4,48.56170911,Polygone,
238469,10043,Résidentielle,"128, Touraine (Rue de la)",20061010,0.82016867,71.32543182,4,23.732977045,Polygone,
238470,10043,Résidentielle,"585, De Montmagny (Rue)",20061010,1.43233667,46.9761734,4,30.86663702,Polygone,
238471,10043,Résidentielle,"432, Tourterelles (Rue des)",20061010,0.84648674,20.63508224,4,52.4819843,Polygone,
238472,10043,Résidentielle,"139, Adolphe-Tremblay (Rue)",20061010,-0.44343284,64.13512421,4,46.6278,Polygone,
238473,10043,Résidentielle,"601, De Montmagny (Rue)",20061010,1.12238856,46.68253708,4,33.852043475,Polygone,
238474,10043,Résidentielle,"455, Jésuites (Rue des)",20061010,0.56949967,51.34786224,4,32.659832605,Polygone,
238475,10043,Résidentielle,"77, Charente (Rue de la)",20061010,-0.47238605,76.31449127,4,42.4996,Polygone,
238476,10043,Résidentielle,"75, Charente (Rue de la)",20061010,0.67863403,76.82810211,4,33.98280846,Polygone,
238477,10043,Résidentielle,"521, Gilles-Hocquart (Rue)",20061010,0.31713025,41.18456268,4,43.97887705,Polygone,
238478,10043,Résidentielle,"203, Boucher (Rue)",20061010,1.7130733,32.13912964,4,42.02550819,Polygone,
238479,10043,Résidentielle,"507, Eudore-Couture (Rue)",20061010,0.39257005,56.9830246,4,46.1204,Polygone,
238480,10043,Résidentielle,"524, Gilles-Hocquart (Rue)",20160501,0.75520687,40.26709366,4,42.706929305,Polygone,
238481,10043,Résidentielle,"93, Adolphe-Tremblay (Rue)",20160501,0.48997601,60.68084335,4,33.33267983,Polygone,
238482,10043,Résidentielle,"535, Cathédrale (Avenue de la)",20061010,0.65160805,80.06851196,4,48.9424,Polygone,
238483,10043,Résidentielle,"285, Coteau (Rue du)",20061010,0.79660098,46.33047485,4,41.80775409,Polygone,
238484,10043,Résidentielle,"235, Repos (Rue du)",20061010,0.95756927,51.54756927,4,32.67058722,Polygone,
238485,10043,Résidentielle,"397, Dubé (Rue)",20061010,0.78740083,17.92965889,4,30.7141223,Polygone,
238486,10043,Résidentielle,"499, Eudore-Couture (Rue)",20061010,0.93977245,57.68459702,4,25.79331954,Polygone,
238487,10043,Résidentielle,"376, 2e Ouest (Rue)",20061010,1.25556097,18.27892303,4,40.33592008,Polygone,
238488,10043,Résidentielle,"495, Eudore-Couture (Rue)",20061010,0.78801495,57.53565598,4,33.05784428,Polygone,
238489,10043,Résidentielle,"492, Monseigneur-Langis (Rue)",20061010,0.54934411,55.00954819,4,45.76119772,Polygone,
238490,10043,Résidentielle,"68, Normandie (Rue de la)",20061010,0.23286568,60.06848145,4,40.368330175,Polygone,
238491,10043,Résidentielle,"362, Louis-Bertrand (Rue)",20061010,0.76842223,21.44150734,4,43.966300555,Polygone,
238492,10043,Résidentielle,"486, Monseigneur-Langis (Rue)",20061010,1.80100637,55.57674408,4,45.729698655,Polygone,
238493,10043,Résidentielle,"531, Cathédrale (Avenue de la)",20160501,0.95895984,74.31373596,4,42.278825305,Polygone,
238494,10043,Résidentielle,"69, Adolphe-Tremblay (Rue)",20061010,0.67120835,57.44901657,4,23.928739805,Polygone,
238495,10043,Résidentielle,"21, Gascogne (Rue de la)",20061010,-0.30087973,79.53350067,4,67.5784,Polygone,
238496,10043,Résidentielle,"274, Coteau (Rue du)",20061010,1.30597744,46.07976532,4,15.428364535,Polygone,
238497,10043,Résidentielle,"520, Touraine (Rue de la)",20061010,-0.06433728,63.92215729,4,70.8752,Polygone,
238498,10043,Résidentielle,"376, Sirois (Avenue en)",20061010,0.32530436,23.66938972,4,25.27069579,Polygone,
238499,10043,Résidentielle,"513, De Denonville (Rue)",20160501,0.51639143,38.52083588,4,32.2389513,Polygone,
238500,10043,Résidentielle,"263, Mélèzes (Rue des)",20160501,1.00887963,43.21602249,4,30.56533704,Polygone,
238501,10043,Résidentielle,"483, Monseigneur-Courchesne (Rue)",20160501,-0.98576866,52.48826981,4,68.6724,Polygone,
238502,10043,Résidentielle,"185, Braves (Rue des)",20160501,0.66606579,22.10312462,4,32.86519079,Polygone,
238503,10043,Résidentielle,"313, Dubé (Rue)",20061010,0.85145097,17.68844604,4,60.18924304,Polygone,
238504,10043,Résidentielle,"424, William-Price (Rue)",20061010,-0.78439119,9.38457108,4,45.9996,Polygone,
238505,10043,Résidentielle,"488, Monseigneur-Courchesne (Rue)",20061010,-0.64344457,54.71621323,4,55.2438,Polygone,
238506,10043,Résidentielle,"233, Coteau (Rue du)",20061010,0.69857459,40.53530121,4,32.25694126,Polygone,
238507,10043,Résidentielle,"468, 15e Ouest (Rue)",20061010,-0.54179354,50.45630646,4,62.758,Polygone,
