ï»¿id,municipalite,numero,proprio,longitude,latitude,geom
36930,94068,C-GN-48650,Public,-71.03811757944517,48.447290653104304,POINT (-71.03811757944517 48.447290653104304)
36931,94068,C-GN-51229,Public,-71.02256873140587,48.452479794926376,POINT (-71.02256873140587 48.452479794926376)
36932,94068,B-BA-31449,Public,-70.9026259766861,48.34551133039825,POINT (-70.9026259766861 48.34551133039825)
36933,94068,C-PN-48491,Public,-71.06823109834804,48.44002277947942,POINT (-71.06823109834804 48.44002277947942)
36934,94068,L-36429,Public,-71.02807809414514,48.34672680394679,POINT (-71.02807809414514 48.34672680394679)
36935,94068,C-PE-46765,Public,-71.05755975880074,48.4212912988068,POINT (-71.05755975880074 48.4212912988068)
36936,94068,B-GB-30967,Public,-70.85330094013216,48.309468710391684,POINT (-70.85330094013216 48.309468710391684)
36937,94068,B-PA-31562,Public,-70.91480753476526,48.32100502310427,POINT (-70.91480753476526 48.32100502310427)
36938,94068,J-JE-52931,Public,-71.24425643120908,48.42053838018411,POINT (-71.24425643120908 48.42053838018411)
36939,94068,J-JE-52886,Public,-71.24658446952047,48.39880133031686,POINT (-71.24658446952047 48.39880133031686)
36940,94068,C-GN-48620,Public,-71.04541885771276,48.44189595391991,POINT (-71.04541885771276 48.44189595391991)
36941,94068,C-PE-46530,Public,-71.08206695155913,48.39702132084819,POINT (-71.08206695155913 48.39702132084819)
36942,94068,C-PN-48401,Public,-71.08664399356788,48.44195850022305,POINT (-71.08664399356788 48.44195850022305)
36943,94068,L-59517,Public,-71.1447784883141,48.33636733241232,POINT (-71.1447784883141 48.33636733241232)
36944,94068,J-PH-61908,Public,-71.18298601827787,48.41930027729344,POINT (-71.18298601827787 48.41930027729344)
36945,94068,C-GS-50273,Public,-71.0753409561707,48.425912060511884,POINT (-71.0753409561707 48.425912060511884)
36946,94068,B-BA-31467,Public,-70.89995439275373,48.343264962088504,POINT (-70.89995439275373 48.343264962088504)
36947,94068,C-PE-58300,Public,-71.1369070933638,48.39638634734401,POINT (-71.1369070933638 48.39638634734401)
36948,94068,B-GB-31008,Public,-70.85726184879955,48.31381857386491,POINT (-70.85726184879955 48.31381857386491)
36949,94068,B-GB-44636,Public,-70.8582419515164,48.314836345907096,POINT (-70.8582419515164 48.314836345907096)
36950,94068,C-GS-45456,Public,-71.06257414717372,48.4263169520396,POINT (-71.06257414717372 48.4263169520396)
36951,94068,C-PE-46615,Public,-71.07275525382292,48.40441157961537,POINT (-71.07275525382292 48.40441157961537)
36952,94068,B-BA-31858,Public,-70.97198905732617,48.30998726250744,POINT (-70.97198905732617 48.30998726250744)
36953,94068,J-PH-53545,Public,-71.18415621596043,48.41001313791903,POINT (-71.18415621596043 48.41001313791903)
36954,94068,B-PA-31825,Public,-70.89065620342126,48.300129014655006,POINT (-70.89065620342126 48.300129014655006)
36955,94068,L-36414,Public,-71.08342053013794,48.31497585833051,POINT (-71.08342053013794 48.31497585833051)
36956,94068,B-BA-44708,Public,-70.99393317613307,48.34301107186049,POINT (-70.99393317613307 48.34301107186049)
36957,94068,B-BA-44874,Public,-70.98676772986148,48.341517135720046,POINT (-70.98676772986148 48.341517135720046)
36958,94068,L-36421,Public,-71.04755067805952,48.32797320325801,POINT (-71.04755067805952 48.32797320325801)
36959,94068,J-JE-52447,Public,-71.27025026784077,48.3761286466344,POINT (-71.27025026784077 48.3761286466344)
36960,94068,S-SN-39559,Public,-71.26605079013112,48.50708522474198,POINT (-71.26605079013112 48.50708522474198)
36961,94068,J-JE-52775,Public,-71.2531109301988,48.40120838740964,POINT (-71.2531109301988 48.40120838740964)
36962,94068,C-PE-46986,Public,-71.03417170356472,48.42496381972564,POINT (-71.03417170356472 48.42496381972564)
36963,94068,C-PE-46511,Public,-71.08469794465823,48.397489155230815,POINT (-71.08469794465823 48.397489155230815)
36964,94068,J-PB-53635,Public,-71.1775737802308,48.43204487270072,POINT (-71.1775737802308 48.43204487270072)
36965,94068,B-PA-58254,Public,-70.93529693734355,48.31357498679646,POINT (-70.93529693734355 48.31357498679646)
36966,94068,C-PE-51675,Public,-71.10045700143243,48.40642735746081,POINT (-71.10045700143243 48.40642735746081)
36967,94068,C-PE-46695,Public,-71.06464154337837,48.40925892191891,POINT (-71.06464154337837 48.40925892191891)
36968,94068,C-PN-48507,Public,-71.06533038914048,48.45201236221287,POINT (-71.06533038914048 48.45201236221287)
36969,94068,PRJ-PB-5339,PrivÃ©,-71.1954249592682,48.43025858700664,POINT (-71.1954249592682 48.43025858700664)
36970,94068,J-JE-52615,Public,-71.26163146049707,48.398776727039696,POINT (-71.26163146049707 48.398776727039696)
36971,94068,B-BA-31184,Public,-70.88782544283673,48.34996193905964,POINT (-70.88782544283673 48.34996193905964)
36972,94068,J-PH-57354,Public,-71.17318497807021,48.40432650776736,POINT (-71.17318497807021 48.40432650776736)
36973,94068,J-JE-53300,Public,-71.21004496666795,48.38038339393232,POINT (-71.21004496666795 48.38038339393232)
36974,94068,J-JE-52913,Public,-71.24526404970572,48.42184398067773,POINT (-71.24526404970572 48.42184398067773)
36975,94068,J-PH-59757,Public,-71.17617158564119,48.40162160931234,POINT (-71.17617158564119 48.40162160931234)
36976,94068,C-PE-49768,Public,-70.99231323727143,48.39573153155713,POINT (-70.99231323727143 48.39573153155713)
36977,94068,B-BA-58847,Public,-70.881965411053,48.34166230636706,POINT (-70.881965411053 48.34166230636706)
36978,94068,C-GN-48473,Public,-71.07173654444824,48.43768050637943,POINT (-71.07173654444824 48.43768050637943)
36979,94068,J-K-53112,Public,-71.23437460370171,48.42994465280928,POINT (-71.23437460370171 48.42994465280928)
36980,94068,J-PB-58265,Public,-71.1793118295246,48.4302827066804,POINT (-71.1793118295246 48.4302827066804)
