# accreditation;Nom_employeur;Adresse_employeur;Nom_association;Syndicat;Statut_arret_de_travail;Secteur_Prive_Public;Secteur_activite_economique;Code_activite_economique;Region_administrative;Nombre_de_travailleurs_touches;Nombre_de_jours_personnes_perdus_dans_annee;Debut_du_conflit;Date_de_fin;Date_expiration_derniere_convention_collective;Nombre_ jours_personnes_perdus_depuis_debut_du_conflit;Duree_jours_ouvrables_depuis_debut 
AM10018533;Flexmaster Canada Ltd. - Division Techose;1000. rue Neveu.  Saint-Cesaire J0L1T0;Syndicat des salaries de Heeg (CSD);CSD;Greve et lock-out;Prive;Industrie des produits du caoutchouc;1521;Monteregie;25;24;2024-03-06;;2023-03-15;23;1
AM20015903;Terrapure BR LP;1200. rue Garnier.  Sainte-Catherine J5C1B4;Syndicat des travailleurs du plomb ville Sainte-Catherine - CSN;CSN;Lock-out;Prive;Autres services publics;4999;Monteregie;153;8721;2024-03-11;;2023-09-30;8721;57
AM20000463;Ville de Mont-Laurier;300. boulevard Albiny-Paquette.  Mont-Laurier J9L1J9;Syndicat des travailleurs et des travailleuses  de la Ville de Mont-Laurier (CSN);CSN;Greve;Public;Services des administrations locales;8351;Laurentides;105;315;2024-03-12;;2022-12-31;315;3
AQ10035414;Autobus Boulay inc.;76. chemin Principal.  Pointe-aux-Outardes G0H1M0;Syndicat des chauffeurs scolaires de Pointe-aux-Outardes (CSN);CSN;Greve;Prive;Transports;4573;Cote-Nord;12;130;2024-03-12;;2022-06-30;130;11
AQ20014848;Societe quebecoise des infrastructures;1075. rue de l'Amerique-Francaise.  Quebec G1R5P8;Syndicat des professionnels et professionnelles de la SQI - SCFP 5522;FTQ;Greve;Public;Services de l'administration provinciale;8259;Capitale-Nationale;735;28665;2024-03-12;;2020-03-31;28665;39
AM20009104;Ville de Longueuil;Direction des ressources humaines 4250 chemin de la Savane Saint-Hubert (Quebec)  J3Y 9G4 ;Les Syndicats regroupes des employes municipaux (SREM) du Syndicat canadien de la fonction publique (SCFP) section locale 306;FTQ;Greve;Public;Services des administrations locales;8351;Monteregie;1200;7200;2024-03-13;;2015-12-31;7200;6
AM10009514;Produits Kruger inc.;100. 1re Avenue.  Crabtree J0K1B0;Syndicat des travailleuses et travailleurs des pates et papiers de Crabtree inc.;CSN;Greve;Prive;Industries du papier et des produits en papier;2793;Lanaudiere;482;2022;2024-03-22;;2018-04-30;2021;4
AQ20019920;Innvest Hotels I LP operant sous le nom de Comfort Inn Baie-Comeau;745. boulevard Lafleche.  Baie-Comeau G5C1C6;Syndicat des Metallos. section locale 7065;FTQ;Greve;Prive;Hebergement;9111;Cote-Nord;17;850;2024-03-22;;2023-08-19;850;50
AM10022407;Universite McGill;Direction des ressources humaines 688. rue Sherbrooke Ouest. bureau 1520 Montreal QC  H3A 3R1 ;Association des etudiant-e-s diplome-e-s employe-e-s de McGill / Association of Graduate Students Employed at McGill;CSN;Greve;Public;Services d'enseignement;8531;Montreal;17;272;2024-03-25;2024-04-15;2023-07-31;272;16
AM20013317;Autobus Magog inc.;279. rue de Copenhague.  Saint-Augustin-de-Desmaures G3A2V1;L'Union des employes des industries diverses et connexes a la construction. Teamsters Local 1791 (F.T.Q.);FTQ;Greve;Prive;Transports;4573;Estrie;30;1350;2024-04-01;;2022-10-14;1350;45
AM10008315;Gil-Ber inc.;500. rue Gilles-Moreau.  Saint-Lin-Laurentides J5M0C9;Syndicat des travailleurs des Autobus Gil-Ber (CSN);CSN;Greve;Prive;Transports;4573;Lanaudiere;55;1100;2024-04-10;2024-05-07;2023-06-30;1100;20
AM20008882;Stericycle ULC;355. rue Burrard. bureau 1800  Vancouver BC V6C2G8;Syndicat des travailleuses et travailleurs de Shred-It - CSN;CSN;Greve;Prive;Services aux entreprises;7799;Montreal;34;510;2024-04-10;;2023-11-30;510;15
AC30001264;Autobus Ideal inc.;8601. BOUL Henri-BourassaE.  Montreal H1E1P4;Syndicat des travailleuses et travailleurs des Autobus Ideal - CSN;CSN;Greve;Prive;Transports;4573;Montreal;145;1450;2024-04-16;;2023-06-30;1450;10
AM10030049;Autobus B. Dion (Windsor) ltee;10. rue Berthe-Dion.  Windsor J1S0B9;Syndicat des travailleuses et  travailleurs des Autobus B. Dion-CSN;CSN;Greve;Prive;Transports;4573;Estrie;26;78;2024-04-18;;2023-06-30;78;3
AM10053945;Autobus des Cantons inc.;3001. rue King Est.  Fleurimont J1H5H2;Syndicat des travailleuses et des travailleurs du transport scolaire des autobus des Cantons-CSN;CSN;Greve;Prive;Transports;4573;Estrie;66;198;2024-04-18;;2023-06-30;198;3
AM20000126;Autobus Coaticook inc.;5480. rue Rideau.  Quebec G2E5V2;Syndicat des travailleuses et  travailleurs d'Autobus Coaticook-CSN;CSN;Greve;Prive;Transports;4573;Estrie;41;123;2024-04-18;;2023-06-30;123;3
AM20000520;Universite Concordia;1455 boulevard De Maisonneuve Ouest bureau BC-327   H3G1M8;Syndicat des travailleuses et travailleurs des metiers de Concordia - CSN;CSN;Greve;Public;Services d'enseignement;8531;Montreal;30;30;2024-04-18;;2023-05-31;30;1
AM20002526;Transdev Quebec inc. (Division Autobus de l'Estrie);1075. rue Talbot.  Sherbrooke J1G2P3;Syndicat des travailleuses et travailleurs des Autobus de l'Estrie - CSN;CSN;Greve;Prive;Transports;4573;Estrie;90;990;2024-04-18;;2023-06-30;990;11
AM20014733;Transdev Quebec inc. (Division Autobus La Sapiniere);720. rue Trotter.  Saint-Jean-sur-Richelieu J3B8T2;Syndicat des travailleuses et travailleurs des Autobus La Sapiniere - CSN;CSN;Greve;Prive;Transports;4589;Estrie;35;35;2024-04-18;;2023-06-30;35;1
AM20017196;Universite Concordia;1455. boulevard De Maisonneuve Ouest.  Montreal H3G1M8;Syndicat des travailleuses et travailleurs des metiers de Concordia - CSN;CSN;Greve;Public;Services d'enseignement;8531;Montreal;63;63;2024-04-18;;2023-05-31;63;1
AM20018356;Transport scolaire La Quebecoise inc.;5480. rue Rideau.  Quebec G2E5V2;Syndicat des travailleuses et  travailleurs d'Autobus Coaticook-CSN;CSN;Greve;Prive;Transports;4573;Estrie;5;5;2024-04-18;;2021-06-30;5;1
AQ20004949;Camille Mailloux R.D.L. inc.;329 rue Temiscouata Riviere-du-Loup QC  G5R2Y9;Syndicat du transport de la region Grand Portage (CSN);CSN;Greve;Prive;Transports;4573;Bas-Saint-Laurent;40;520;2024-04-18;;2023-06-30;520;13
AM10009305;Ville de Saint-Constant;147. rue Saint-Pierre.  Saint-Constant J5A2G9;Syndicat canadien de la fonction publique Section locale 2566;FTQ;Greve;Public;Services des administrations locales;8351;Monteregie;35;1050;2024-04-20;;2021-12-31;1050;30
AM10009309;Ville de Saint-Constant;147. rue Saint-Pierre.  Saint-Constant J5A2G9;Syndicat canadien de la fonction publique Section locale 2566;FTQ;Greve;Public;Services des administrations locales;8351;Monteregie;40;1200;2024-04-20;;2021-12-31;1200;30
AM10015246;Societe des alcools du Quebec;905. avenue De Lorimier.  Montreal H2K3V9;Syndicat des employes de magasin et de bureau de la Societe des alcools du Quebec;CSN;Greve;Public;Commerces de gros de produits alimentaires. de boissons. de medicaments et de tabac;5222;Montreal;5000;10000;2024-04-24;;2023-03-31;10000;2
AM10009029;Autobus Germain Perreault inc.;500. rue Gilles-Moreau.  Saint-Lin-Laurentides J5M0C9;Syndicat des travailleurs des Autobus Germain Perreault (CSN);CSN;Greve;Prive;Transports;4573;Lanaudiere;11;55;2024-05-01;2024-05-07;2023-06-30;55;5
AM20013693;Rona inc.;220. chemin Du Tremblay.  Boucherville J4B8H7;Syndicat des travailleuses et travailleurs de Rona l'entrepot Anjou - CSN;CSN;Greve et lock-out;Prive;Autres commerces de detail;6533;Montreal;117;1638;2024-05-04;2024-05-23;2024-01-31;1638;14
AC30002229;Autobus Quebec Metro 2000 inc.;2050. avenue Industrielle.  Quebec G3K1L7;Regroupement des travailleurs du Quebec R T Q;IND LOC;Greve;Prive;Transports;4573;Capitale-Nationale;64;1152;2024-05-08;;;1152;18
AM20012957;Corporation MacDonald. Dettwiler et Associes;21025. autoroute Transcanadienne.  Sainte-Anne-de-Bellevue H9X3R2;Syndicat des travailleuses et travailleurs de MDA Espace - CSN;CSN;Greve;Prive;Industries des produits electriques et electroniques;3351;Montreal;160;2880;2024-05-08;;2023-11-30;2880;18
AM20005305;Safran Systemes d'atterrissage Canada inc.;13000. rue du Parc.  Mirabel J7J0W6;Syndicat des travailleuses et travailleurs de Safran - CSN;CSN;Greve;Prive;Industries du materiel de transport;3211;Laurentides;165;832;2024-05-22;;2023-12-31;831;5
AQ20013720;Viterra inc.;1 avenue Holiday suite 140   H9R5N3;Unifor. section locale 2022;FTQ;Greve;Prive;Industries des aliments;1099;Centre-du-Quebec;80;400;2024-05-26;;2024-04-16;400;5
