# accreditation;Nom_employeur;Adresse_employeur;Nom_association;Syndicat;Statut_arret_de_travail;Secteur_Prive_Public;Secteur_activite_economique;Code_activite_economique;Region_administrative;Nombre_de_travailleurs_touches;Nombre_de_jours_personnes_perdus_dans_annee;Debut_du_conflit;Date_de_fin;Date_expiration_derniere_convention_collective;Nombre_ jours_personnes_perdus_depuis_debut_du_conflit;Duree_jours_ouvrables_depuis_debut 
AM10028651;Placements M.G.O. inc.;5855. rue Boulard.  Laval H7B1A3;Syndicat quebecois des employees et employes de service. section locale 298 (FTQ);FTQ;Greve;Prive;Services de sante et services sociaux;8628;Laval;1;0;2023-11-06;2024-02-23;2020-03-31;4;1
AM10030250;Eastern Townships School Board;340. rue Saint-Jean-Bosco.  Magog J1X1K9;Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ);CSQ;Greve;Public;Transports;4573;Estrie;80;0;2023-11-06;2024-02-16;2023-03-31;672;8
AM10030251;Eastern Townships School Board;340. rue Saint-Jean-Bosco.  Magog J1X1K9;Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Estrie;447;0;2023-11-06;2024-02-16;2023-03-31;3754;8
AM10052233;Prodimax inc.;1050. 15e Avenue.  Laval H7R4N9;Syndicat quebecois des employees et employes de service. section locale 298 (FTQ);FTQ;Greve;Prive;Services de sante et services sociaux;8614;Laval;5;0;2023-11-06;2024-02-23;2022-12-31;5;1
AM10053678;Centre de services scolaire des Patriotes;1740. RUE Roberval.  Saint-Bruno-de-Montarville J3V3R3;Syndicat de Champlain (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Monteregie;29;0;2023-11-06;2024-02-23;;243;8
AM20003354;Centre hospitalier universitaire Sainte-Justine;3175. chemin de la Cote-Sainte-Catherine.  Montreal H3T1C5;Syndicat des techniciens-nes et des professionnels-les de la sante et des services sociaux du Quebec S.T.E.P.S.S.S.Q. (FP-CSN);CSN;Greve;Public;Services de sante et services sociaux;8600;Montreal;71;0;2023-11-06;2024-02-23;2023-03-31;785;11
AM20008162;Prodimax inc.;1050. 15e Avenue.  Laval H7R4N9;Syndicat quebecois des employees et employes de service. section locale 298 (FTQ);FTQ;Greve;Prive;Services de sante et services sociaux;8614;Laval;2;0;2023-11-06;2024-02-23;2022-12-31;1;1
AM20009512;2863-9839 Quebec inc. / Manoir Harwood;170. rue Boileau.  Vaudreuil-Dorion J7V8A3;Syndicat quebecois des employees et employes de service.  section locale 298 - (SQEES-298 - FTQ);FTQ;Greve;Prive;Services de sante et services sociaux;8628;Monteregie;10;0;2023-11-06;2024-02-23;2023-05-02;10;1
AM20010658;Centre de services scolaire du Val-des-Cerfs;55. rue Court. C.P. 9000   J2G9H7;Syndicat du personnel technique. administratif et educatif du Val-des-Cerfs - CSN;CSN;Greve;Public;Services d'enseignement;8511;Monteregie;2;0;2023-11-06;2024-02-23;;16;8
AM20010931;Commission scolaire Kativik;9800. boulevard Cavendish. bureau 400.  Montreal H4M2V9;Association des employes du Nord quebecois (CSQ);CSQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;565;0;2023-11-06;2024-02-16;2023-03-31;4746;8
AM20020902;CHU de Quebec - Universite Laval;11. cote du Palais.  Quebec G1R2J6;Syndicat des employees et employes du CHU de Quebec. SCFP 1108;FTQ;Greve;Public;Services de sante et services sociaux;8600;Montreal;0;0;2023-11-06;2024-02-23;;0;11
AM20021418;College d'enseignement general et professionnel de la Gaspesie et des iles;96. rue Jacques-Cartier.  Gaspe G4X2S8;Syndicat du personnel enseignant du Cegep de la Gaspesie et des iles a Montreal (CSQ)  (SPECGIM-CSQ);CSQ;Greve;Public;Services d'enseignement;8521;Montreal;127;0;2023-11-06;2024-02-23;;1079;9
AQ10035200;Commission scolaire du Littoral;789 rue Beaulieu Case postale 787   G4R1P8;Lower North Shore English Teachers Association;IND PRO;Greve;Public;Services d'enseignement;8511;Cote-Nord;38;0;2023-11-06;2024-02-23;2023-03-31;319;8
AQ20002585;Universite Laval;Vice-rectorat aux ressources humaines Pavillon Jean-Charles-Bonenfant 2345. allee des Bibliotheques. bureau 5446. Quebec QC ;Syndicat des chargees et charges de cours de l'Universite Laval;CSN;Greve;Public;Services d'enseignement;8531;Capitale-Nationale;1600;11200;2023-11-06;2024-03-07;2022-12-31;12000;8
AQ20017797;Centre integre universitaire de sante et de services sociaux de la Capitale-Nationale;2915. avenue du Bourg-Royal.  Quebec G1C3S2;Syndicat des professionneles. techniciennes et techniciens de la sante et des services sociaux Capitale-Nationale-CSN (SPTSSS-CSN);CSN;Greve;Public;Services de sante et services sociaux;8600;Capitale-Nationale;374;0;2023-11-06;2024-02-23;2023-03-31;4109;11
AQ20021426;Cegep de Baie-Comeau;537 boul. Blanche. Baie-Comeau G5C2B2;Syndicat du personnel enseignant du Cegep Baie-Comeau;CSQ;Greve;Public;Services d'enseignement;8521;Cote-Nord;129;0;2023-11-06;2024-02-20;2023-03-31;645;9
AR10046980;Comite patronal de negociation des commissions scolaires francophones (CPNCF);150 boulevard Rene-Levesque Est 16e etage Quebec QC;Federation des employees et employes de services publics - (FEESP - CSN);CSN;Greve;Public;Services d'enseignement;8510;Plus d'une region;6939;0;2023-11-06;2024-02-23;2023-03-31;58287;8
AR10046981;Comite patronal de negociation des colleges (CPNC);1410 rue Stanley 7e etage Montreal;Federation des employees et employes de services publics inc. (FEESP-CSN);CSN;Greve;Public;Services d'enseignement;8521;Plus d'une region;708;0;2023-11-06;2024-02-23;2023-03-31;6018;9
AR10046982;Comite patronal de negociation des colleges (CPNC);1410 rue Stanley 7e etage Montreal;Federation nationale des enseignantes et enseignants du Quebec - CSN;CSN;Greve;Public;Services d'enseignement;8521;Plus d'une region;1528;0;2023-11-06;2024-02-20;2023-03-31;12988;9
AR10046985;Comite patronal de negociation des commissions scolaires francophones (CPNCF);150 boulevard Rene-Levesque Est 16e etage Quebec QC;Syndicat canadien de la fonction publique -(SCFP - FTQ);FTQ;Greve;Public;Services d'enseignement;8521;Plus d'une region;3571;0;2023-11-06;2024-02-23;2023-03-31;29996;8
AR10046990;Comite patronal de negociation des colleges (CPNC);1410 rue Stanley 7e etage Montreal;Syndicat canadien de la fonction publique -(SCFP - FTQ);FTQ;Greve;Public;Services d'enseignement;8521;Plus d'une region;619;0;2023-11-06;2024-02-23;2023-03-31;5261;9
AR10046991;Comite patronal de negociation des commissions scolaires francophones (CPNCF);150 boulevard Rene-Levesque Est 16e etage Quebec QC;Centrale des syndicats du Quebec pour le compte des syndicats de professionnelles et professionnels;CSQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;995;0;2023-11-06;2024-02-23;2023-03-31;8358;8
AR10046993;Comite patronal de negociation des commissions scolaires francophones (CPNCF);150 boulevard Rene-Levesque Est 16e etage Quebec QC;Centrale des syndicats du Quebec;CSQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;5030;0;2023-11-06;2024-02-16;2023-03-31;42252;8
AR10046994;Comite patronal de negociation des commissions scolaires francophones (CPNCF);150 boulevard Rene-Levesque Est 16e etage Quebec;Centrale des syndicats du Quebec;CSQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;6527;0;2023-11-06;2024-02-23;2023-03-31;54826;8
AR10046998;Comite patronal de negociation des colleges (CPNC);1410 rue Stanley 7e etage Montreal;Federation du personnel professionnel des colleges - (FPPC - CSQ);CSQ;Greve;Public;Services d'enseignement;8521;Plus d'une region;120;0;2023-11-06;2024-02-21;2023-03-31;1020;9
AR10047002;Comite patronal de negociation des colleges (CPNC);1410 rue Stanley 7e etage Montreal;Federation des enseignantes et enseignants de CeGEP - (FEC - CSQ);CSQ;Greve;Public;Services d'enseignement;8521;Plus d'une region;634;0;2023-11-06;2024-02-20;2023-03-31;5389;9
AR10047007;Comite patronal de negociation des colleges (CPNC);1410. rue Stanley. 7e etage. Montreal;Syndicats des professionnelles et professionnels du gouvernement du Quebec (SPGQ);CSN;Greve;Public;Services d'enseignement;8521;Plus d'une region;781;0;2023-11-06;2024-03-02;2023-03-31;680;9
AR10047008;Comite patronal de negociation des colleges (CPNC);1410 rue Stanley 7e etage Montreal;Federation du personnel de soutien scolaire - (FPSS - CSQ);CSQ;Greve;Public;Services d'enseignement;8521;Plus d'une region;1021;0;2023-11-06;2024-02-16;2023-03-31;8678;9
AR10048827;Comite patronal de negociation des commissions  scolaires anglophones (CPNCA);1410 rue Stanley bureau 900 Montreal;Association provinciale des enseignantes et enseignants du Quebec (APEQ);IND PRO;Greve;Public;Services d'enseignement;8511;Plus d'une region;2000;0;2023-11-06;2024-02-23;2023-03-31;16800;8
AR10049443;Comite patronal de negociation des commissions  scolaires anglophones (CPNCA);1410 rue Stanley bureau 900 Montreal;Federation des professionnelles et professionnels de l'education du Quebec;CSQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;249;0;2023-11-06;2024-02-23;2023-03-31;2091;8
AR20000515;Comite patronal de negociation pour les centres de services scolaires francophones (CPNCF);150. boulevard Rene-Levesque Est. 16e etage. Quebec;Syndicat  des employees et employes professionnel(le)s et de bureau - (SEPB - FTQ);FTQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;5309;0;2023-11-06;2024-02-23;2023-03-31;44595;8
AR20007489;Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS);3700. rue Berri. bureau 300. Montreal;Federation de la sante et des services sociaux - (FSSS - CSN);CSN;Greve;Public;Services de sante et services sociaux;8600;Plus d'une region;517;0;2023-11-06;2024-02-23;2023-03-31;5688;11
AR20007490;Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS);1410. rue Stanley. 6e etage. bureau 602. Montreal;Syndicat quebecois des employees et employes de service.  section locale 298 - (SQEES-298 - FTQ);FTQ;Greve;Public;Services de sante et services sociaux;8600;Plus d'une region;258;0;2023-11-06;2024-02-23;2023-03-31;2836;11
AR20007492;Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS);3700. rue Berri. bureau 300. Montreal;Syndicat canadien de la fonction publique -(SCFP - FTQ);FTQ;Greve;Public;Services de sante et services sociaux;8624;Plus d'une region;441;0;2023-11-06;2024-02-23;2023-03-31;4855;11
AR20007493;Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS);3700 rue Berri. bureau 300 Montreal;Alliance du personnel professionnel et technique de la sante et des services sociaux(APTS);IND PRO;Greve;Public;Services de sante et services sociaux;8600;Plus d'une region;1222;0;2023-11-06;2024-02-23;2023-03-31;13443;11
AR20007494;Comite patronal de negociation du secteur de la sante et des services sociaux (CPNSSS);1410. rue Stanley. 6e etage. bureau 602. Montreal;Union quebecoise des infirmieres et infirmiers - (UQII - CSQ);CSQ;Greve;Public;Services de sante et services sociaux;8631;Plus d'une region;236;0;2023-11-06;2024-02-23;2023-03-31;2600;11
AR20008372;Comite patronal de negociation des commissions  scolaires anglophones (CPNCA);1410 rue Stanley bureau 900 Montreal;Syndicat  des employees et employes professionnel(le)s et de bureau - (SEPB - FTQ);FTQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;1872;0;2023-11-06;2024-02-23;2023-03-31;10108;5
AR20008844;Comite patronal de negociation des commissions scolaires anglophones (CPNCA);1410. rue Stanley. bureau 900. Montreal;Union des employes et employees de service (UES- 800 - FTQ);FTQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;595;0;2023-11-06;2024-02-23;2023-03-31;4998;8
AR20008854;Comite patronal de negociation pour les centres de services scolaires francophones (CPNCF);150. boulevard Rene-Levesque Est. 16e etage Quebec QC;Syndicat canadien de la fonction publique -(SCFP - FTQ);FTQ;Greve;Public;Services d'enseignement;8511;Plus d'une region;277;0;2023-11-06;2024-02-23;2023-03-31;2326;8
AR20022480;Comite patronal de negociation des colleges (CPNC);1410. rue Stanley. 7e etage. Montreal;Federation nationale des enseignantes et enseignants du Quebec - CSN;CSN;Greve;Public;Services d'enseignement;8521;Plus d'une region;12;0;2023-11-06;2024-02-20;2023-03-31;102;9
AM20007081;Corporation MacDonald. Dettwiler et Associes;21025. autoroute Transcanadienne.  Sainte-Anne-de-Bellevue H9X3R2;Association des ingenieurs et scientifiques  des systemes spatiaux (AISSS);IND NAT;Greve;Prive;Industries des produits electriques et electroniques;3351;Montreal;166;18260;2023-07-17;;2023-03-31;38180;230
AM20007082;Corporation MacDonald. Dettwiler et Associes;21025. autoroute Transcanadienne.  Sainte-Anne-de-Bellevue H9X3R2;Association des ingenieurs et scientifiques  des systemes spatiaux (AISSS);IND NAT;Greve;Prive;Industries des produits electriques et electroniques;3351;Montreal;110;12100;2023-07-17;;2023-03-31;25300;230
AQ20008059;MRC de Maskinonge;651. boulevard Saint-Laurent Est.  Louiseville J5V1J1;Syndicat regional des employes(es) municipaux de la Mauricie (CSN);CSN;Greve;Public;Services des administrations locales;8351;Mauricie;20;0;2023-11-17;2024-02-20;2022-12-31;60;3
