ï»¿OBJECTID,NOM,NO_TUILE,URL_TIFF,TAILLE_TIFF_Go,SHAPE.STArea(),SHAPE.STLength()
1,2021-3150,3150,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3150.tif,"1,74",1000000,4000
2,2021-3250,3250,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3250.tif,"1,74",1000000,4000
3,2021-3149,3149,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3149.tif,"1,74",1000000,4000
4,2021-3049,3049,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3049.tif,"1,74",1000000,4000
5,2021-3050,3050,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3050.tif,"1,74",1000000,4000
6,2021-2950,2950,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-2950.tif,"1,74",1000000,4000
7,2021-3251,3251,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3251.tif,"1,74",1000000,4000
8,2021-3351,3351,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3351.tif,"1,74",1000000,4000
9,2021-3352,3352,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3352.tif,"1,74",1000000,4000
10,2021-3452,3452,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3452.tif,"1,74",1000000,4000
11,2021-2951,2951,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-2951.tif,"1,74",1000000,4000
12,2021-2851,2851,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-2851.tif,"1,74",1000000,4000
13,2021-3051,3051,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3051.tif,"1,74",1000000,4000
14,2021-3151,3151,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/rimouski/2021-3151.tif,"1,74",1000000,4000
