Génotoxicité de l'eau de surface collectées aux stations d'échantillonnage le long des rives de l'île des Sœurs et dans le delta des îles de Sorel,,,,,,,,,,,,,,,,,,,,,,,
Nom,Latitude,Longitude,Date,"CSEO 5J (TA98 -S9) (%, v/v)","CMEO 5J (TA98 -S9) (%, v/v)","CSE 5J (TA98 -S9) (%, v/v)",UG (TA98 -S9),Conclusion (TA98 -S9),"CSEO 5J (TA98 +S9) (%, v/v)","CMEO 5J (TA98 +S9) (%, v/v)","CSE 5J (TA98 +S9) (%, v/v)",UG (TA98 +S9),Conclusion (TA98 +S9),"CSEO 5J (TA100 -S9) (%, v/v)","CMEO 5J (TA100 -S9) (%, v/v)","CSE 5J (TA100 -S9) (%, v/v)",UG (TA100 -S9) ,Conclusion (TA100 -S9),"CSEO 5J (TA100 +S9) (%, v/v)","CMEO 5J (TA100 +S9) (%, v/v)","CSE 5J (TA100 +S9) (%, v/v)",UG (TA100 +S9),Conclusion (TA100 +S9)
"I-03, r1","45,4646","-73,5564",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"I-03, r2","45,4646","-73,5564",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"I-03, r3","45,4646","-73,5564",2016-06-14,"1,0",10,"3,2","32,0",T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"S-01, r1","46,0519","-73,1625",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"S-01, r2","46,0519","-73,1625",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"S-01, r3","46,0519","-73,1625",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"S-04, r1","46,1144","-73,0386",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"S-04, r2","46,1144","-73,0386",2016-06-14,< 0.1,"0,1",< 0.1,> 1000,T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
"S-04, r3","46,1144","-73,0386",2016-06-14,"10,0",100,"31,6","3,2",T,< 0.1,"0,1",< 0.1,> 1000,T,"87,5",> 87.5,> 87.5,< 1.1,ND,"75,0",> 75.0,> 75.0,< 1.3,ND
