ï»¿OBJECTID,MUNICIPALITE,TOPONYME,SUPERFICIE,SHAPE.STArea(),SHAPE.STLength()
40,86042,D'Alembert,"407550208,142456",407550208.141302,107304.60229966
41,86042,Arntfield,"465607241,952271",465607241.949634,96877.4015380754
42,86042,Cadillac,"403700363,230347",403700363.229021,106207.509094936
43,86042,Destor,"270019843,864868",270019843.865746,71311.8230439276
44,86042,Cloutier,"104388680,634033",104388680.634359,48669.6977148693
45,86042,Bellecombe,"734221486,293579",734221486.292909,119123.817428122
46,86042,McWatters,"464883918,282471",464883918.285612,120707.392427546
47,86042,Lac-Dufault,"45394163,7241211",45394163.7237084,42099.972787333
48,86042,ClÃ©ricy,"192796529,306885",192796529.306603,62286.7263927679
49,86042,Ãvain,"206298030,543335",206298030.541973,81480.177521725
50,86042,TNO,"1523391142,92432",1523391142.92207,173201.796705627
51,86042,Rollet,"417763033,797607",417763033.798409,101362.46478473
52,86042,Montbeillard,"369228995,962158",369228995.962215,84450.2957702435
53,86042,Beaudry,"123368127,02356",123368127.025113,57403.2984774486
54,86042,Granada,"124456559,272217",124456559.27222,59131.7118628668
55,86042,Noranda,"73537965,6757813",73537965.6790609,44443.9609171864
56,86042,Mont-Brun,"522589425,316162",522589425.315005,113299.324973725
57,86042,Rouyn,"34046529,7955322",34046529.7939617,39051.2256966385
