Numero_reference,Nom_jeu,Municipalite,Nom_particulier,Statut,Hyperlien,Remarque,Norme
1,Requ̻tes citoyennes,Gatineau,,possible,,,
1,Requ̻tes citoyennes,Laval,,possible,,,
1,Requ̻tes citoyennes,L̩vis,,possible,,,
1,Requ̻tes citoyennes,Longueuil,,possible,,,
1,Requ̻tes citoyennes,Montr̩al,Demande de services citoyennes (requ̻tes 311),publi̩,https://www.donneesquebec.ca/recherche/fr/dataset/vmtl-requete-311,,non
1,Requ̻tes citoyennes,Repentigny,,possible,,,
1,Requ̻tes citoyennes,Sherbrooke,,possible,,,
2,Catalogue des donn̩es,Laval,,possible,,,
2,Catalogue des donn̩es,L̩vis,,impossible,,,
2,Catalogue des donn̩es,Longueuil,,possible,,,
2,Catalogue des donn̩es,Montr̩al,Inventaire de donn̩es,publi̩,https://www.donneesquebec.ca/recherche/fr/dataset/vmtl-inventaire-donnees-ouvertes,,
2,Catalogue des donn̩es,Repentigny,,impossible,,,
2,Catalogue des donn̩es,Rimouski,,possible,,,
2,Catalogue des donn̩es,Sherbrooke,,impossible,,,
3,Budget annuel,Gatineau,,possible,,,
3,Budget annuel,Laval,,possible,,,
3,Budget annuel,L̩vis,,possible,,,
3,Budget annuel,Montr̩al,Budget de fonctionnement,publi̩,https://www.donneesquebec.ca/recherche/dataset/vmtl-budget,,
3,Budget annuel,Repentigny,,possible,,,
3,Budget annuel,Rimouski,,possible,,,
3,Budget annuel,Shawinigan,,possible,,,
3,Budget annuel,Sherbrooke,,possible,,,
4,Contrats octroy̩s,Laval,Contrats octroy̩s,publi̩,https://www.donneesquebec.ca/recherche/dataset/contrats-octroyes,,
4,Contrats octroy̩s,Longueuil,Ententes 25 000 $ et plus,publi̩,https://www.donneesquebec.ca/recherche/dataset/ententes-25-000,,
4,Contrats octroy̩s,Montr̩al,Contrats et subventions -API,publi̩,https://www.donneesquebec.ca/recherche/dataset/vmtl-contrats-et-subventions-api,,
4,Contrats octroy̩s,Repentigny,,possible,,,
4,Contrats octroy̩s,Rimouski,,possible,,,
4,Contrats octroy̩s,Saguenay,,planifi̩,,,
4,Contrats octroy̩s,Sherbrooke,,possible,,,
5,Paiements effectu̩s,Gatineau,,possible,,,
5,Paiements effectu̩s,Laval,,possible,,,
5,Paiements effectu̩s,Montr̩al,,possible,,,
5,Paiements effectu̩s,Repentigny,,possible,,,
5,Paiements effectu̩s,Rimouski,,possible,,,
5,Paiements effectu̩s,Sherbrooke,,possible,,,
6,Infractions l̩gales - Contravention,Gatineau,,possible,,,
6,Infractions l̩gales - Contravention,Laval,,possible,,,
6,Infractions l̩gales - Contravention,Montr̩al,,en pr̩paration,,,
6,Infractions l̩gales - Contravention,Qu̩bec,,possible,,,
6,Infractions l̩gales - Contravention,Repentigny,,impossible,,,
