NO_REF_BIO,SUPERFICIE,NO_REG_ADM,NM_REG_ADM,MODE_GEST,STATUT,DTMAJ,DATE_PUBLI
03551R021,72.2,12,Chaudière-Appalaches,59,Refuge biologique désigné,20230228000000,2023-04-01
087-015,32.6,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08551R033,163.6,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08652R021,350,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08652R013,243.3,10,Nord-du-Québec,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R051,300,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
11257R187,2247.9,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02751R023,232.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
085-008,30.8,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
01151R024,104.6,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08764R025,351.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
02551R066,790.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08666R009,126.4,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08151R036,147,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20230220000000,2023-04-01
09451R101,131.2,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R039,139.6,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04151R093,107.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R068,207.5,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
002-002,97,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
