PrjName,RecordNo,JOUR,PERIO,QC,QB,Q13,Q1AM1,Q1AM1O,Q1AM2,Q1AM2O,Q1AM3,Q1AM3O,Q1AM4,Q1AM4O,Q1AM5,Q1AM5O,Q1B,Q1BO,Q1C,Q2AA,Q2AB,Q2AC,Q2AD,Q2AE,Q2BA,Q2BB,Q2BC,Q2BD,Q2BE,Q3,Q4M1,Q4M1O,Q4M2,Q4M2O,Q4M3,Q4M3O,Q4M4,Q4M4O,Q4M5,Q4M5O,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10,Q11,Q12,Q14,Q14O,Q15,Q16,Q16B,Q16BO,Q16C,Q16CO,Q17,LANG;,,,,,
12000_112B,1001,5,2,H2K2V8,18,3,1, , , , , , , , , , , ,3,2,1,2,2,2, ,3, , , ,2, , , , , , , , , , ,1,2, ,2,2,1,1,1,1,2,1,1,2,2,7,2, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,1003,5,2,H2M2C1,1,1,4, ,7,chantier devant chez vous qui touchait a l'eau puisqu'il n'y avait pas d'ouvrier j'ai appellé, , , , , , ,4, ,5,2,1,2,2,2, ,2, , , ,1,3, ,11,tres long pour un problème important, , , , , , ,2,2, ,3,4,3,4,3,3,4,2,2,3,3,7,5, ,2,2,4, ,1, ,2,FR;,,,,,
12000_112B,1004,2,2,H1E5A8,12,6,1, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,9,1,1,1,1,1,1,2,1,2,1, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,1006,3,2,H3M2S7,1,1,1,Pour un bac de recyclage., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,2,1,1,1,1,1,2,1,5,1, ,2,3,1, ,9, ,2,FR;,,,,,
12000_112B,1008,3,1,H1N1K6,7,3,23,"""""Il avait commencer la renovation a la maison sans permis "," pour obtenir un permis car il avait recu une amende et souhaitait l'annuler.""""", , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,1,1,2,2,1,1,1,2,1,1,1,2,2,8,2, ,1,4,2, ,2, ,2,"FR"";",,,,
12000_112B,1009,2,2,H3G2G3,18,6,4,Affichage sur le mobilier urbain., , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,1,1,1,2,1,1,2,1,2,2,6,1, ,1,4,2, ,1, ,1,FR;,,,,,
12000_112B,1018,5,2,H8P2L9,5,4,7, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,2,1,1,1,1,1,1,1,2,2,1,4, ,2,3,6, ,1, ,2,FR;,,,,,
12000_112B,1019,2,2,H3E1H2,17,2,21,Animal perdu, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,3,3,2,2,2,3,2,2,3,3,3,7,4, ,2,3,1, ,2, ,2,EN;,,,,,
12000_112B,1020,1,2,H1Y2W6,13,5,11, , , , , , , , , , , ,2,1,2,2,2,2,1, , , , ,1,11,cela a pris plus de 3 minutes lorsque j'ai appellé 311, , , , , , , , ,9,9, ,1,3,9,2,2,1,2,2,2,2,1,10,4, ,2,2,6, ,1, ,2,FR;,,,,,
12000_112B,1021,3,1,H1V1W5,7,4,7, ,9, , , , , , , ,9, ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,4,1,1,2,1,1,1,1,1,2,1,3,2, ,1,4,4, ,2, ,2,FR;,,,,,
