id,permit_permit_id,contractnumber,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"669fe38f1f07c70019904c7a","OCC-2407SA21278510",,"St-Laurent","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-16T19:59:59Z","Autre","Marcel-Laurin entre Henri-Bourassa et Laurentien","Organisation publique ou son sous-traitant","NouvLR","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.70846145550885,45.52310829051513
"669fb8891f07c700199046a0","OCC-2407VN21460294",,"Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2024-07-24T20:00:00Z","2024-11-14T18:59:59Z","Autre","Clark entre Liège et Bellarmin","CSEM (Commission des services électriques de Montréal) ou son sous-traitant
","Telecon","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2024-07-27T00:01:17Z",-73.63856734521467,45.540080375985575
"66a1155b152aad001c85fd76","OCC-2407RN21382304","1662288","Lachine","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-11-30T18:59:59Z","Autre","44e entre Broadway et Brewster","Entrepreneur sous contrat avec la Ville de Montréal","Les Entreprises Ventec Inc","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.70498798942825,45.43725595756577
"667dd38381b9700019fc2aba","OCC-2407AB21179209",,"Le Plateau-Mont-Royal","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-16T19:59:59Z","Construction/rénovation sans excavation","Fairmount entre Waverly et Esplanade","Entreprise","LE COLLÈGE FRANÇAIS (1965) INC.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.59639114807949,45.52193893798309
"66a12633152aad001c860014","OCC-2407BV21426787","1602896","Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-30T19:59:59Z","Forage/excavation exploratoire","Louvain entre Olivier-Maurault et Christophe-Colomb","Entrepreneur sous contrat avec la Ville de Montréal","Les Services EXP inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-07-27T00:01:17Z",-73.64718775045762,45.55705261833119
"66a1178f152aad001c85fde4","OCC-2407AU21434348","466713","Le Sud-Ouest","Travaux","Permis émis","2024-07-23T20:00:00Z","2024-09-13T19:59:59Z","Construction/rénovation avec excavation","Atwater entre Lionel-Groulx et Saint-Jacques","Entrepreneur sous contrat avec la Ville de Montréal","Roxboro Excavation Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.57931386205452,45.48369251461715
"66a12096152aad001c85ff61","OCC-2407JX21422338","1602896","Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-30T19:59:59Z","Forage/excavation exploratoire","Louvain entre Saint-Hubert et Louvain","Entrepreneur sous contrat avec la Ville de Montréal","Les Services EXP inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-07-27T00:01:17Z",-73.64918380993973,45.55393237454021
"66a241a59ddfb6001953af2e","OCC-2407OF21421876","1653046","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-07-28T20:00:00Z","2024-08-30T19:59:59Z","Trottoirs - Construction","De Contrecoeur entre Myra-Cree et Jean-Pierre-Ronfard","Entrepreneur sous contrat avec la Ville de Montréal","Construction Larotek inc","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.53359966103211,45.61325385938508
"66a1419239ccdb00195765f8","OCC-2407IJ21424853","1602896","Ahuntsic-Cartierville","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-30T19:59:59Z","Forage/excavation exploratoire","Louvain entre Louvain et Olivier-Maurault","Entrepreneur sous contrat avec la Ville de Montréal","Les Services EXP inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-07-27T00:01:17Z",-73.647662421195,45.55611901869276
"66a1503a9ddfb6001953aaf7","OCC-2407CI21189176","509903","Anjou","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-09-04T19:59:59Z","Égouts et aqueducs - Réhabilitation","Alsace entre Montesquieu et Galeries-d'Anjou","Entrepreneur sous contrat avec la Ville de Montréal","Foraction","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.58178047219636,45.604303299930194
"66a2409298d4d40019087029","OCC-2407DK21415514","1653046","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-07-28T20:00:00Z","2024-08-30T19:59:59Z","Trottoirs - Construction","De Contrecoeur entre De Grosbois et Jean-Pierre-Ronfard","Entrepreneur sous contrat avec la Ville de Montréal","Construction Larotek inc","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.53160358467008,45.61288100767203
"669ebc331f07c70019903d1c","OCC-2407QV21175208",,"Le Plateau-Mont-Royal","Travaux","Permis émis","2024-08-04T20:00:00Z","2024-08-16T19:59:59Z","Construction/rénovation sans excavation","Waverly entre Fairmount et Groll","Entreprise","LE COLLÈGE FRANÇAIS (1965) INC.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.59644653768773,45.52213349041276
"66a10e0439ccdb0019576081","OCC-2407SU21163126","167931","Saint-Léonard","Travaux","Permis émis","2024-08-11T20:00:00Z","2024-10-31T19:59:59Z","Autre","Coutances entre Albanel et Chaminade","Entrepreneur sous contrat avec la Ville de Montréal","Eurovia Québec Grands Projets","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-07-27T00:01:17Z",-73.59365599113883,45.59413404391298
"66a15a5c98d4d40019086ace","OCC-2407WK21230359",,"Ville-Marie","Travaux","Permis émis","2024-08-11T20:00:00Z","2024-08-12T19:59:59Z","Construction/rénovation sans excavation","Mansfield entre Saint-Antoine et De La Gauchetière","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:00","16:00","09:00","16:00","09:00","16:00","09:00","16:00","09:00","16:00",,,"2024-07-27T00:01:17Z",-73.56618730020878,45.49880147553943
"66a15c759ddfb6001953aca9","OCC-2407AQ21233239",,"Ville-Marie","Travaux","Permis émis","2024-08-12T20:00:00Z","2024-08-14T19:59:59Z","Construction/rénovation sans excavation","Guy entre Wrexham et Saint-Antoine","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:30","16:00","09:30","16:00","09:30","16:00","09:30","16:00","09:30","16:00",,,"2024-07-27T00:01:17Z",-73.57193008511994,45.49244300241776
