id_request,streetid,streetimpactwidth,streetimpacttype,nbfreeparkingplace,sidewalk_blockedtype,backsidewalk_blockedtype,bikepath_blockedtype,name,shortname,fromname,fromshortname,toname,toshortname,length,isarterial,stmimpact_blockedtype,otherproviderimpact_blockedtype,reservedlane_blockedtype
"667038d837943f0019febe86","rue Rachel Est ","0-3 mètres","Aucun impact / non applicable",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Rachel Est ","Rachel","avenue du Parc-La Fontaine ","Parc-La Fontaine","avenue Christophe-Colomb ","Christophe-Colomb",29.03,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66703a6237943f0019febf21","rue Rachel Est ","0-3 mètres","Aucun impact / non applicable",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Aucun impact / non applicable","rue Rachel Est ","Rachel","avenue Papineau ","Papineau","rue Cartier ","Cartier",89.51,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66145e0f7987d700193bae35","avenue Clanranald ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","avenue Clanranald ","Clanranald","avenue Isabella ","Isabella","avenue Dupuis ","Dupuis",338.35,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666b443001d06b00197e2334","rue De La Roche ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue De La Roche ","De La Roche","rue Saint-Grégoire ","Saint-Grégoire","rue De La Roche ","De La Roche",114.92,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666a15991e902e001234c2de","avenue Oscar ","3-6 mètres","Voie de stationnement et voie de circulation obstruées",10,"Barré","Aucun impact / non applicable","Aucun impact / non applicable","avenue Oscar ","Oscar","rue Doric ","Doric","boulevard Henri-Bourassa Est ","Henri-Bourassa",122.73,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666b4d1081fc91001972359e","avenue Laurier Est ","3-6 mètres","Voie de stationnement et voie de circulation obstruées",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Obstruée","avenue Laurier Est ","Laurier","avenue Bourbonnière ","Bourbonnière","avenue d'Orléans ","Orléans",73.35,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666c424c6c01c50019fde992","rue Peel ","0-3 mètres","Voie de stationnement obstruée",3,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Peel ","Peel","place Mount-Royal ","Mount-Royal","boulevard De Maisonneuve Ouest ","De Maisonneuve",127.26,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666c692c8497ac0019f30f4d","rue de Terrebonne ","0-3 mètres","Voie de stationnement et voie de circulation obstruées",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue de Terrebonne ","Terrebonne","rue West Broadway ","West Broadway","avenue Patricia ","Patricia",161.1,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666c56cc8497ac0019f309f0","chemin de la Côte-de-Liesse ","3-6 mètres","Voie de circulation obstruée",0,"Barré","Barré","Aucun impact / non applicable","chemin de la Côte-de-Liesse ","Côte-de-Liesse","boulevard Crémazie Ouest ","Crémazie","rue Gagnon ","Gagnon",441.82,"t","Déplacer","Aucun impact / non applicable","Aucun impact / non applicable"
"666c56cc8497ac0019f309f0","rue Gagnon ","3-6 mètres","Rue barrée",0,"Barré","Barré","Aucun impact / non applicable","rue Gagnon ","Gagnon","rue Gagnon ","Gagnon","chemin de la Côte-de-Liesse ","Côte-de-Liesse",42.9,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666c6a848497ac0019f30fda","avenue Somerled ","0-3 mètres","Voie de stationnement et voie de circulation obstruées",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","avenue Somerled ","Somerled","rue West Broadway ","West Broadway","avenue Patricia ","Patricia",161.25,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666999c41e902e001234a353","rue Bélanger ","0-3 mètres","Aucun impact / non applicable",1,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Bélanger ","Bélanger","rue Cartier ","Cartier","rue Chabot ","Chabot",74.53,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666c786f8497ac0019f311a3","boulevard Pie-IX ","9-12 mètres","Voie de circulation obstruée",60,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Obstruée","boulevard Pie-IX ","Pie-IX","rue Notre-Dame Est ","Notre-Dame","avenue Pierre-De Coubertin ","Pierre-De Coubertin",4377.25,"t","Déplacer","Aucun impact / non applicable","Aucun impact / non applicable"
"666c786f8497ac0019f311a3","rue Ontario Est ","0-3 mètres","Voie de circulation obstruée",5,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Obstruée","rue Ontario Est ","Ontario","boulevard Pie-IX ","Pie-IX","avenue Desjardins ","Desjardins",90.29,"t","Déplacer","Aucun impact / non applicable","Aucun impact / non applicable"
"666ad92201d06b00197e05d4","avenue De Lorimier ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","avenue De Lorimier ","De Lorimier","rue Dubuc ","Dubuc","rue Larivière ","Larivière",89.4,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666ada606c27e8001916507a","avenue De Lorimier ","0-3 mètres","Voie de stationnement obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","avenue De Lorimier ","De Lorimier","rue Larivière ","Larivière","rue de Rouen ","Rouen",82.45,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66699ad31e902e001234a3af","rue Bélanger ","0-3 mètres","Voie de stationnement obstruée",1,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Bélanger ","Bélanger","6e avenue  ","6e","8e avenue  ","8e",121.1,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"6669a1df1e902e001234a4f6","chemin de la Côte-de-Liesse ","6-9 mètres","Voie de circulation obstruée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","chemin de la Côte-de-Liesse ","Côte-de-Liesse","rue Isabey ","Isabey","chemin de la Côte-de-Liesse ","Côte-de-Liesse",629.41,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
