id_request,streetid,streetimpactwidth,streetimpacttype,nbfreeparkingplace,sidewalk_blockedtype,backsidewalk_blockedtype,bikepath_blockedtype,name,shortname,fromname,fromshortname,toname,toshortname,length,isarterial,stmimpact_blockedtype,otherproviderimpact_blockedtype,reservedlane_blockedtype
"666316124d903f0019736322","rue Henri-Fabre ","0-3 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Henri-Fabre ","Henri-Fabre","boulevard Gouin Ouest ","Gouin","rue Fraser ","Fraser",275.28,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666316124d903f0019736322","rue Hertel ","0-3 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Hertel ","Hertel","rue Paramount ","Paramount","rue Louis-XV ","Louis-XV",292.44,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666316124d903f0019736322","rue Purcell ","9-12 mètres","Rue barrée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Purcell ","Purcell","rue Hertel ","Hertel","rue Henri-Fabre ","Henri-Fabre",217.88,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66631f6fa0cfca001999850b","rue Lavoie ","3-6 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Lavoie ","Lavoie","rue Joron ","Joron","boulevard Gouin Ouest ","Gouin",295.11,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66631f6fa0cfca001999850b","rue Bastien ","3-6 mètres","Voie de circulation obstruée",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue Bastien ","Bastien","rue Nancy ","Nancy","boulevard Gouin Ouest ","Gouin",49.46,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"66631f6fa0cfca001999850b","boulevard Gouin Ouest ","3-6 mètres","Voie de circulation obstruée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","boulevard Gouin Ouest ","Gouin","rue Langevin ","Langevin","rue Perron ","Perron",623.64,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666371afa0cfca0019999c87","rue Boyer ","0-3 mètres","Voie de stationnement obstruée",0,"Barré","Barré","Aucun impact / non applicable","rue Boyer ","Boyer","rue Beaubien Est ","Beaubien","rue Saint-Zotique Est ","Saint-Zotique",320.8,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666328afa0cfca0019998904","rue Deguire ","3-6 mètres","Voie de circulation obstruée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Deguire ","Deguire","rue Filion ","Filion","rue Dépatie ","Dépatie",160.48,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666328afa0cfca0019998904","rue Guertin ","9-12 mètres","Rue barrée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","rue Guertin ","Guertin","rue Clément ","Clément","rue Deguire ","Deguire",415.99,"f","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666348bda0cfca00199991ef","avenue Christophe-Colomb ","0-3 mètres","Voie de stationnement obstruée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Aucun impact / non applicable","Aucun impact / non applicable","avenue Christophe-Colomb ","Christophe-Colomb","boulevard Saint-Joseph Est ","Saint-Joseph","avenue Laurier Est ","Laurier",160.33,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"666371afa0cfca0019999c87","rue Beaubien Est ","0-3 mètres","Voie de stationnement obstruée",0,"Barré","Barré","Aucun impact / non applicable","rue Beaubien Est ","Beaubien","rue Saint-André ","Saint-André","rue Boyer ","Boyer",43.24,"t","Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable"
"6661c650e07b250012ef758e","rue du Centre ","0-3 mètres","Aucun impact / non applicable",0,"Aucun impact / non applicable","Aucun impact / non applicable","Aucun impact / non applicable","rue du Centre ","Centre","rue D'Argenson ","D'Argenson","avenue Atwater ","Atwater",182.21,"t","Déplacer","Aucun impact / non applicable","Aucun impact / non applicable"
"66041b750e045c00198ba778","boulevard Gouin Ouest ","3-6 mètres","Voie de circulation obstruée",0,"Obstrué (un passage piéton de 1,5 m est conservé)","Obstrué","Aucun impact / non applicable","boulevard Gouin Ouest ","Gouin","avenue LeMesurier ","LeMesurier","avenue Wood ","Wood",340.17,"t","Déplacer","Aucun impact / non applicable","Aucun impact / non applicable"
