TRONCON,BV_PRIMAIRE,QUANTILE,REFERENCE,H30_RCP4,H30_RCP8,H50_RCP4,H50_RCP8,H80_RCP4,H80_RCP8
"ABI0002","Rivi̬re Harricana",10,69.14,77.48,77.89,80.78,84.33,81.65,91.57
"ABI0002","Rivi̬re Harricana",25,75.57,85.18,85.64,88.98,93.31,90.2,103.76
"ABI0002","Rivi̬re Harricana",50,83.22,94.93,95.25,99.5,104.99,101.22,119.94
"ABI0002","Rivi̬re Harricana",75,91.86,105.88,105.63,111.35,118.27,114.49,137.52
"ABI0002","Rivi̬re Harricana",90,100.26,117,116.07,123.78,131.4,128.66,154.62
"ABI0003","Rivi̬re Turgeon",10,30.16,33.47,33.6,34.76,36.23,35.3,39.91
"ABI0003","Rivi̬re Turgeon",25,33.02,36.73,36.83,38.26,39.85,38.79,44.73
"ABI0003","Rivi̬re Turgeon",50,36.38,40.66,40.66,42.5,44.47,43.29,50.92
"ABI0003","Rivi̬re Turgeon",75,40.05,45.19,44.94,47.4,49.75,48.62,58
"ABI0003","Rivi̬re Turgeon",90,43.85,49.81,49.45,52.57,54.95,54.09,64.9
"ABI0004","Rivi̬re Martigny",10,0.58,0.62,0.63,0.64,0.67,0.65,0.76
"ABI0004","Rivi̬re Martigny",25,0.63,0.68,0.69,0.7,0.73,0.72,0.85
"ABI0004","Rivi̬re Martigny",50,0.7,0.75,0.76,0.78,0.82,0.8,0.96
"ABI0004","Rivi̬re Martigny",75,0.77,0.83,0.84,0.87,0.91,0.89,1.11
"ABI0004","Rivi̬re Martigny",90,0.84,0.91,0.92,0.95,1,0.98,1.26
"ABI0011","Rivi̬re Turgeon",10,29.2,32.4,32.53,33.61,35,34.26,38.76
"ABI0011","Rivi̬re Turgeon",25,31.93,35.55,35.64,37.01,38.66,37.64,43.53
"ABI0011","Rivi̬re Turgeon",50,35.21,39.44,39.46,41.29,43.12,42.02,49.42
"ABI0011","Rivi̬re Turgeon",75,38.83,43.94,43.74,46.05,48.26,47.17,56.19
"ABI0011","Rivi̬re Turgeon",90,42.52,48.37,48.17,51.01,53.5,52.68,62.82
"ABI0012","Rivi̬re Turgeon",10,21.94,24.39,24.55,25.47,26.34,25.77,29.19
"ABI0012","Rivi̬re Turgeon",25,23.97,26.8,26.89,28.06,29.13,28.49,32.96
"ABI0012","Rivi̬re Turgeon",50,26.42,29.83,29.77,31.17,32.67,31.94,37.75
"ABI0012","Rivi̬re Turgeon",75,29.19,33.2,33.03,34.82,36.59,35.99,42.97
"ABI0012","Rivi̬re Turgeon",90,31.91,36.6,36.18,38.61,40.66,40.44,48.05
"ABI0013","Rivi̬re Turgeon",10,20.36,22.77,22.77,23.68,24.53,24.05,27.36
"ABI0013","Rivi̬re Turgeon",25,22.23,24.95,24.97,26.05,27.11,26.54,30.82
"ABI0013","Rivi̬re Turgeon",50,24.49,27.76,27.69,29.05,30.45,29.73,35.23
"ABI0013","Rivi̬re Turgeon",75,27.05,30.93,30.79,32.49,34.3,33.56,40.29
"ABI0013","Rivi̬re Turgeon",90,29.6,34.18,33.73,36.02,38.09,37.72,45.24
"ABI0014","",10,2.94,3.3,3.33,3.45,3.62,3.52,4.01
"ABI0014","",25,3.2,3.63,3.66,3.82,4.01,3.9,4.58
"ABI0014","",50,3.52,4.05,4.07,4.29,4.55,4.39,5.32
"ABI0014","",75,3.89,4.54,4.53,4.83,5.17,4.99,6.19
"ABI0014","",90,4.25,5.06,4.98,5.4,5.78,5.69,7.08
"ABI0016","",10,2.83,3.18,3.22,3.35,3.49,3.42,3.89
"ABI0016","",25,3.08,3.5,3.54,3.7,3.89,3.79,4.44
"ABI0016","",50,3.4,3.91,3.94,4.14,4.4,4.26,5.18
"ABI0016","",75,3.76,4.39,4.38,4.66,5.01,4.85,6.02
"ABI0016","",90,4.11,4.89,4.82,5.21,5.63,5.53,6.85
"ABI0020","",10,2.75,3.1,3.13,3.26,3.42,3.32,3.79
"ABI0020","",25,3,3.42,3.45,3.6,3.8,3.68,4.32
"ABI0020","",50,3.31,3.82,3.83,4.06,4.3,4.16,5.03
"ABI0020","",75,3.65,4.29,4.27,4.58,4.88,4.74,5.84
"ABI0020","",90,3.99,4.78,4.71,5.14,5.48,5.4,6.64
"ABI0028","",10,2.43,2.76,2.78,2.91,3.03,2.95,3.31
"ABI0028","",25,2.66,3.05,3.06,3.21,3.37,3.27,3.8
"ABI0028","",50,2.94,3.41,3.4,3.6,3.82,3.7,4.43
"ABI0028","",75,3.24,3.83,3.8,4.06,4.36,4.22,5.15
"ABI0028","",90,3.54,4.27,4.18,4.55,4.9,4.83,5.87
"ABI0029","",10,2.06,2.33,2.35,2.45,2.57,2.5,2.8
"ABI0029","",25,2.25,2.57,2.58,2.72,2.86,2.77,3.2
"ABI0029","",50,2.48,2.88,2.88,3.05,3.24,3.13,3.73
"ABI0029","",75,2.74,3.24,3.21,3.45,3.68,3.59,4.33
"ABI0029","",90,3,3.63,3.53,3.87,4.14,4.12,4.92
"ABI0030","",10,2,2.26,2.28,2.38,2.47,2.41,2.71
"ABI0030","",25,2.18,2.48,2.51,2.63,2.75,2.67,3.1
"ABI0030","",50,2.4,2.78,2.79,2.95,3.12,3.02,3.62
"ABI0030","",75,2.65,3.12,3.11,3.33,3.56,3.46,4.2
"ABI0030","",90,2.9,3.5,3.43,3.74,4,3.95,4.77
"ABI0031","",10,1.7,1.92,1.93,2.01,2.1,2.05,2.26
"ABI0031","",25,1.86,2.12,2.12,2.23,2.33,2.27,2.58
"ABI0031","",50,2.05,2.37,2.37,2.5,2.64,2.57,2.99
"ABI0031","",75,2.27,2.66,2.64,2.82,3.01,2.93,3.47
"ABI0031","",90,2.47,2.97,2.9,3.16,3.37,3.34,3.93
"ABI0032","",10,1.61,1.83,1.84,1.91,1.98,1.94,2.12
"ABI0032","",25,1.77,2.01,2.02,2.12,2.21,2.15,2.42
"ABI0032","",50,1.95,2.25,2.25,2.37,2.51,2.43,2.8
"ABI0032","",75,2.15,2.53,2.51,2.68,2.86,2.78,3.24
"ABI0032","",90,2.35,2.83,2.76,3,3.21,3.18,3.67
"ABI0033","",10,1.18,1.33,1.34,1.4,1.45,1.41,1.52
"ABI0033","",25,1.29,1.47,1.47,1.55,1.61,1.57,1.74
"ABI0033","",50,1.42,1.64,1.64,1.73,1.82,1.77,2.01
"ABI0033","",75,1.57,1.84,1.83,1.95,2.07,2.02,2.32
"ABI0033","",90,1.72,2.07,2.02,2.18,2.32,2.31,2.64
"ABI0041","Rivi̬re Turgeon",10,16.84,18.77,18.81,19.53,20.34,19.71,22.42
"ABI0041","Rivi̬re Turgeon",25,18.39,20.64,20.58,21.51,22.44,21.87,25.17
"ABI0041","Rivi̬re Turgeon",50,20.28,22.9,22.87,23.98,25.1,24.41,28.71
"ABI0041","Rivi̬re Turgeon",75,22.42,25.47,25.37,26.77,28.12,27.49,32.72
"ABI0041","Rivi̬re Turgeon",90,24.45,28.08,27.87,29.72,31.25,30.86,36.74
"ABI0042","Rivi̬re Turgeon",10,14.58,16.33,16.38,17.01,17.67,17.18,19.53
"ABI0042","Rivi̬re Turgeon",25,15.94,17.92,17.95,18.74,19.51,19,22.06
"ABI0042","Rivi̬re Turgeon",50,17.6,19.93,19.92,20.91,21.94,21.36,25.24
"ABI0042","Rivi̬re Turgeon",75,19.41,22.22,22.12,23.39,24.65,24.13,28.85
"ABI0042","Rivi̬re Turgeon",90,21.23,24.49,24.28,25.88,27.4,27.08,32.32
"ABI0043","",10,0.77,0.86,0.86,0.9,0.92,0.9,0.92
"ABI0043","",25,0.84,0.95,0.95,1,1.03,1,1.07
"ABI0043","",50,0.92,1.06,1.06,1.11,1.16,1.13,1.25
"ABI0043","",75,1.02,1.19,1.18,1.25,1.32,1.29,1.45
"ABI0043","",90,1.11,1.32,1.29,1.39,1.48,1.47,1.66
"ABI0046","Rivi̬re Turgeon",10,13.62,15.22,15.22,15.82,16.49,16.04,18.29
"ABI0046","Rivi̬re Turgeon",25,14.88,16.7,16.7,17.43,18.21,17.71,20.54
"ABI0046","Rivi̬re Turgeon",50,16.42,18.59,18.52,19.45,20.39,19.84,23.5
"ABI0046","Rivi̬re Turgeon",75,18.1,20.73,20.49,21.67,22.9,22.37,26.82
"ABI0046","Rivi̬re Turgeon",90,19.77,22.84,22.48,24.05,25.38,24.99,29.99
"ABI0054","Rivi̬re Turgeon",10,12.92,14.41,14.47,14.98,15.59,15.17,17.36
"ABI0054","Rivi̬re Turgeon",25,14.14,15.86,15.9,16.53,17.22,16.78,19.52
"ABI0054","Rivi̬re Turgeon",50,15.6,17.62,17.62,18.45,19.28,18.76,22.3
"ABI0054","Rivi̬re Turgeon",75,17.24,19.62,19.55,20.61,21.68,21.19,25.47
"ABI0054","Rivi̬re Turgeon",90,18.81,21.62,21.37,22.83,23.99,23.66,28.42
"ABI0055","",10,6.38,7.17,7.16,7.48,7.73,7.53,8.33
"ABI0055","",25,6.95,7.88,7.87,8.24,8.56,8.3,9.39
"ABI0055","",50,7.69,8.77,8.73,9.19,9.62,9.34,10.76
"ABI0055","",75,8.47,9.76,9.69,10.25,10.85,10.55,12.31
"ABI0055","",90,9.24,10.77,10.63,11.37,12.05,11.87,13.89
"ABI0056","",10,2.28,2.59,2.6,2.72,2.79,2.72,3.01
"ABI0056","",25,2.49,2.85,2.87,3,3.12,3.04,3.48
"ABI0056","",50,2.75,3.19,3.2,3.36,3.55,3.46,4.05
"ABI0056","",75,3.04,3.59,3.57,3.78,4.05,3.95,4.69
"ABI0056","",90,3.32,4,3.94,4.21,4.58,4.49,5.33
"ABI0057","",10,1.15,1.31,1.32,1.37,1.42,1.39,1.53
"ABI0057","",25,1.25,1.45,1.45,1.52,1.6,1.56,1.77
"ABI0057","",50,1.39,1.62,1.63,1.71,1.82,1.77,2.08
"ABI0057","",75,1.53,1.82,1.82,1.92,2.08,2.02,2.43
"ABI0057","",90,1.67,2.02,2,2.15,2.33,2.29,2.77
"ABI0058","",10,1.12,1.28,1.29,1.34,1.39,1.35,1.49
"ABI0058","",25,1.22,1.41,1.42,1.48,1.55,1.51,1.73
"ABI0058","",50,1.35,1.58,1.59,1.67,1.77,1.72,2.04
"ABI0058","",75,1.49,1.77,1.77,1.88,2.03,1.96,2.38
"ABI0058","",90,1.63,1.97,1.95,2.09,2.28,2.22,2.71
"ABI0064","",10,0.86,0.98,0.98,1.03,1.06,1.04,1.15
"ABI0064","",25,0.94,1.08,1.08,1.14,1.19,1.16,1.33
"ABI0064","",50,1.04,1.21,1.21,1.28,1.36,1.32,1.56
"ABI0064","",75,1.14,1.36,1.36,1.44,1.55,1.5,1.83
"ABI0064","",90,1.25,1.51,1.49,1.61,1.75,1.7,2.09
"ABI0077","",10,3.33,3.7,3.7,3.87,3.98,3.87,4.3
"ABI0077","",25,3.64,4.07,4.07,4.25,4.41,4.28,4.82
"ABI0077","",50,4.02,4.52,4.5,4.72,4.92,4.79,5.48
"ABI0077","",75,4.42,5.02,4.98,5.27,5.51,5.4,6.24
"ABI0077","",90,4.84,5.55,5.45,5.81,6.11,6.05,7
"ABI0081","",10,2.72,3.02,3.03,3.12,3.23,3.14,3.41
