TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",30.7,19.4,18,21.3,22.9,23.8,12.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",34.1,17.7,14.4,15.9,17.6,19.7,0.3,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0004",275,"Aucune influence","Mod̩r̩e",37.1,12.9,8,10.6,11.8,12.5,-4.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",33.9,17.9,14.6,16.4,17.9,19.9,1.1,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",33.5,18.3,15.5,17.7,19.2,21.1,2.7,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",32.9,19.3,16.2,20.1,20.5,22.8,6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",28,18.5,18.3,21.9,24.2,26.6,16,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",27.5,19.5,19.6,23.4,25.3,28,18.2,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",27.2,20,20,24,26.5,28.5,19.3,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",26,21.4,22.3,27.2,28.7,31.8,24.4,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",24.4,24.1,25.9,31.3,34.1,37.3,33.1,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",24,25.6,27.5,32.7,36.5,39.1,36.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",25.8,22.9,23.3,27.3,31.1,32.5,26.9,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",25,24.6,24.7,29,33.1,34.8,30.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0033",420,"Aucune influence","Limit̩e",27.1,19.6,19.7,22.7,27.6,26.4,18.5,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",33.7,18.5,16,20.3,20.3,22.3,6.9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",33.3,19.8,17,22.3,22.5,23.8,9.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0043",263,"Aucune influence","Limit̩e",29.9,14.2,12.6,13.9,18.4,15.2,2.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",33.6,20.1,17.3,22.7,22.7,23.6,9,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Absence de consensus"
"ABI0054",4523,"Aucune influence","Mod̩r̩e",34,19.9,17.2,22.5,22.3,23.2,8.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Absence de consensus"
