TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",3.1,9.2,9.6,10.4,16.2,11.8,24,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",2.8,7.3,7.3,9.6,11.4,9.5,21.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0004",275,"Aucune influence","Mod̩r̩e",2.3,6,6,7.9,11.2,10.1,22.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",2.8,7.4,7.4,9.5,11.7,9.5,20.7,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",2.8,7.7,7.4,9.9,11.7,9.2,22.4,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",2.9,7.8,7.5,10.1,11.5,9.2,22,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",2.8,7.8,7.6,10.6,9.9,9.3,20.9,"Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",2.8,7.7,7.6,10.5,10.1,9.2,20.8,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",2.8,7.7,7.6,10.3,10.2,8.8,20.1,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",2.9,7.6,7.1,9.8,9.3,7.9,15.3,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",3,7.5,7,9.8,8.9,7.2,13.6,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",3,7.5,7.1,9.7,9.1,7.1,13.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",3,6.7,6.2,8.5,8.6,5.4,8.4,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",3,6.6,6.2,8.6,8.4,5.5,5.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus","Absence de consensus"
"ABI0033",420,"Aucune influence","Limit̩e",2.9,6.2,5.5,7.9,7.5,4.9,3.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus","Absence de consensus"
