TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",4.5,22.3,25.3,34.6,48.1,38.7,111.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",4,26.5,30.6,43,63.6,51.1,145.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0004",275,"Aucune influence","Mod̩r̩e",3.3,28.7,39.4,50.3,78.5,61.7,194,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",4,26.3,30.3,42.4,63.6,50.4,144.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",4.1,25.5,29.6,41.2,61.8,48.6,138.5,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",4.2,25.1,28.6,39.7,57.8,46.7,134.8,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",4.2,24.2,28.5,35.9,52.5,43,127.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",4.2,24.3,27.9,35.3,51,42.1,125.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",4.3,24.3,27.6,35,49.9,41.5,123.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",4.4,24.3,25.8,34.4,45.3,39.8,113.2,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",4.4,24.4,24.2,32.7,43.4,38.7,106.3,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",4.5,24.4,23.7,32.2,42.4,37.6,104.6,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",4.4,23.8,23.4,32.5,42.9,39.4,105.4,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",4.5,23.7,22.8,31.1,41.1,38.4,102.1,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
"ABI0033",420,"Aucune influence","Limit̩e",4.4,23.7,23.1,32.6,42.3,38.9,102.7,"Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable"
