"Établissement","Adresse","TYPE","DATE","Heure","pH","T°","Cd (mg/L)","Cr (mg/L)","Cu (mg/L)","Ni (mg/L)","Pb (mg/L)","Zn (mg/L)","M. t. (mg/L)","Sn (mg/L)","CN (mg/L)","CPt. (mg/L)","H&G t. (mg/L)","H&G m. (mg/L)","Al (mg/L)","As (mg/L)","Hg (mg/L)","F (mg/L)","Se (mg/L)","S-2 (mg/L)","BPC (µg/L)","NH3 (mg/L)","Ag (mg/L)","Co (mg/L)","Mo (mg/L)","Cl- (mg/L)","NTK (mg/L)","Benzène (µg/L)","Éthylbenzène (µg/L)","Xylènes totaux (µg/L)","Toluène (µg/L)","Fluoranthène (µg/L)","Naphtalène (µg/L)","Phénanthrène (µg/L) ","Anthracène (µg/L)","Benzo[a]anthracène (µg/L)","Benzo[a]pyrène (µg/L)","Benzo[bjk]fluoranthène (µg/L)","Benzo[ghi]pérylène (µg/L)","Chrysène (µg/L)","Dibenzo[ah]anthracène (µg/L)","Dibenzo[ai]pyrène (µg/L)","Fluorène (µg/L)","Indéno[123cd]pyrène (µg/L)","Benzo[e]pyrène (µg/L)","Pyrène (µg/L)","Chloroforme (µg/L)","1,1,2,2Tétrachloroéthane (µg/L)","Tétrachloroéthène (perchloroéthylène) (µg/L)","Trichloroéthylène (µg/L)","Chlorure de méthylène (µg/L)","1,2Dichlorobenzène (µg/L)","1,2Dichloroéthylène (µg/L)","1,3Dichloropropylène (µg/L)","1,4Dichlorobenzène (µg/L)","Cr6+ (mg/L)","NP (ng/L)","NPE (µg/L)","3,3Dichlorobenzidine (µg/L)","Bis(2-ethylhexyl)phthalate (µg/L)","Pentachlorophénol (µg/L)","Phtalate di-butyle (µg/L)","Acénaphtène (µg/L)","HAP G (µg/L)","HAP H (µg/L)"
"8911126 Canada Inc.","7471 avenue Léonard-De Vinci  Montréal H2A 2P3","I",11/11/2015,"9h09","6,15","39,7","<0,0005","0,926","0,0612","0,0023","0,0015","<0,035","0,991","<0,005",,"0,063","61","39","0,041","<0,001",,,"<0,0025","0,24",,,"0,0007","<0,0005","<0,005",,,"<3","<3","<6","<3",,,,,,,,,,,,,,,,"7,7","<3","<3","<3","<3","<3","<6","<6","<3",,,,,,,,,,
"AB Mauri (Canada) Limitée","31 rue Airlie  LaSalle H8R 1Z8","C",13/11/2015,"10h00","N.D.",,,,,,,,,,,,,,,,,,,,,,,,,,"209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AB Mauri (Canada) Limitée","31 rue Airlie  LaSalle H8R 1Z8","C",16/11/2015,"9h15","N.D.","24,6",,,,,,,,,,,,,,,,,,,,,,,,,"209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aliments Da Vinci Ltée (Les)","5655 rue Beaulieu  Montréal H4E 3E4","I",13/11/2015,"10h30","6,95",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alsco Canada Corporation","2500 rue Senkus  LaSalle H8N 2X9","I",11/11/2015,"11h30","9,63","29,5","<0,0005","0,002","0,124","0,0039","0,0078","0,059","0,1979","<0,005",,,"64","<6","23,3","0,0012",,,"<0,0025",,,,"<0,0005","0,0008","0,0094",,,"<3","3,6","26,8","9,8",,,,,,,,,,,,,,,,"71,6","<3","<3","<3","<3","<3","<6","<6","<3",,,,,,,,,,
"Alumico Métal et Oxydation Inc.","4343 rue Hochelaga  Montréal H1V 1C2","I",11/11/2015,10:53,"8,84","18,6","<0,0005","0,116","0,177","0,0757","0,0118","0,118","0,4985","3,42",,,,,"1270","<0,001",,"<0,1","<0,0025",,,,"<0,0005","0,0034","0,0098","28,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alumico Métal et Oxydation Inc.","4343 rue Hochelaga  Montréal H1V 1C2","I",11/11/2015,11:35,"8,71","18,6","<0,0005","0,0015","0,0101","0,0015","<0,001","<0,035","0,0131","0,0242",,,,,"12,6","<0,001",,"<0,1","<0,0025",,,,"<0,0005","0,0005","0,0078","27,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasserie McAuslan Inc. (La)","5080 rue Saint-Ambroise  Montréal H4C 2G1","I",12/11/2015,"12h01","10,80","18,6",,,,,,,,,,,,,,,,,,,,,,,,,"37,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buanderie Centrale de Montréal Inc.","7250 rue Joseph-Daoust  Montréal H1N 3N9","I",12/11/2015,"9h55","10,94","28,2","<0,0005","<0,0015","0,0543","0,0041","0,003","0,343","0,4044","<0,005","0,009","0,053","48","6","0,228","<0,001","0,052","0,17","<0,0025",,,"0,9","<0,0005","<0,0005","<0,005","58,7","7,4","<3","<3","<6","<3",,,,,,,,,,,,,,,,"61","<3","<3","<3","4,1","<3","<6","<6","<3",,,,,,,,,,
"Canada Malting Co. Limited","205 rue Riverside  Montréal H3C 2H9","I",12/11/2015,"11h15","6,18","15,5",,,,,,,,,,,,,,,,,,,,,,,,,"16,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
